"brand","Series","PartNo","DetailLink","dataSheet","Package version","frange [min]","frange [max]","PL(1dB)","VDS","η","GP","Test signal","Product status"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF174XR","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF174XR.html","http://www.nxp.com/documents/data_sheet/BLF174XR_BLF174XRS.pdf","SOT1214A","10","128","600","50","73","29","Pulsed RF; Pulsed RF","Production"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF174XRS","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF174XRS.html","http://www.nxp.com/documents/data_sheet/BLF174XR_BLF174XRS.pdf","SOT1214B","10","128","600","50","73","29","Pulsed RF; Pulsed RF","Production"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF178P","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF178P.html","http://www.nxp.com/documents/data_sheet/BLF178P.pdf","SOT539A","10","128","1200","50","75","28.5","Pulsed RF; Pulsed RF","Production"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF178XR","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF178XR.html","http://www.nxp.com/documents/data_sheet/BLF178XR_BLF178XRS.pdf","SOT539A","10","128","1400","50","72","28","Pulsed RF; Pulsed RF","Production"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF178XRS","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF178XRS.html","http://www.nxp.com/documents/data_sheet/BLF178XR_BLF178XRS.pdf","SOT539B","10","128","1400","50","72","28","Pulsed RF; Pulsed RF","Production"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF182XR","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF182XR.html","http://www.nxp.com/documents/data_sheet/BLF182XR_BLF182XRS.pdf","SOT1121A","10","600","200","50","75","28","Pulsed RF; Pulsed RF","Qualification"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF182XRS","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF182XRS.html","http://www.nxp.com/documents/data_sheet/BLF182XR_BLF182XRS.pdf","SOT1121B","10","600","200","50","75","28","Pulsed RF; Pulsed RF","Qualification"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF183XR","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF183XR.html","http://www.nxp.com/documents/data_sheet/BLF183XR_BLF183XRS.pdf","SOT1121A","10","600","350","50","75","28","Pulsed RF; Pulsed RF","Production"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF183XRS","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF183XRS.html","http://www.nxp.com/documents/data_sheet/BLF183XR_BLF183XRS.pdf","SOT1121B","10","600","350","50","75","28","Pulsed RF; Pulsed RF","Production"
"nxp","MOSFETs---RF power transistors (LDMOS)---RF Energy - ISM---0-500 MHz ISM/XR products","BLF184XR","http://www.nxp.com/products/mosfets/rf_power_transistors_ldmos/rf_energy_ism/0_500_mhz_ism_xr_products/BLF184XR.html","http://www.nxp.com/documents/data_sheet/BLF184XR_BLF184XRS.pdf","SOT1214A","10","600","700","50","73.5","23.9","Pulsed RF; Pulsed RF","Production"
