"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","Flash","RAM","EEPROM","GPIO","Ethernet","USB","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","Timers","Timer","SCTimer / PWM","RTC","PWM","QEI","Package name","Temperature range","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Core---ARM9","LPC2917FBD144","http://www.nxp.com/products/microcontrollers/core/arm9/LPC2917FBD144.html","http://www.nxp.com/documents/data_sheet/LPC2917_19_01.pdf","ARM9","125","512","48","16","108","","","","2","2","2","","","2","10","4","32","1","1","4","1","LQFP144","-40 °C to +85 °C","N","","","Production","OM11027","160-LPC2900-"
"nxp","Microcontrollers---Core---ARM9","LPC2919FBD144","http://www.nxp.com/products/microcontrollers/core/arm9/LPC2919FBD144.html","http://www.nxp.com/documents/data_sheet/LPC2917_19_01.pdf","ARM9","125","768","48","16","108","","","","2","2","2","","","2","10","4","32","1","1","4","1","LQFP144","-40 °C to +85 °C","N","","","Production","OM11027","160-LPC2900-"
"nxp","Microcontrollers---Core---ARM9","LPC2925FBD100","http://www.nxp.com/products/microcontrollers/core/arm9/LPC2925FBD100.html","http://www.nxp.com/documents/data_sheet/LPC2921_23_25.pdf","ARM9","125","512","40","40","60","","1","","2","2","2","","","2","10","4","32","1","","4","1","LQFP100","-40 °C to +85 °C","N","","","Production","OM11027","160-LPC2900-"
"nxp","Microcontrollers---Core---ARM9","LPC2926FBD144","http://www.nxp.com/products/microcontrollers/core/arm9/LPC2926FBD144.html","http://www.nxp.com/documents/data_sheet/LPC2926_27_29.pdf","ARM9","125","256","56","16","104","","1","","2","2","2","","","3","10","4","32","1","","4","1","LQFP144","-40 °C to +85 °C","N","","","Production","OM11025; OM11027","160-LPC2900-"
"nxp","Microcontrollers---Core---ARM9","LPC2929FBD144","http://www.nxp.com/products/microcontrollers/core/arm9/LPC2929FBD144.html","http://www.nxp.com/documents/data_sheet/LPC2926_27_29.pdf","ARM9","125","768","56","16","104","","1","","2","2","2","","","3","10","4","32","1","","4","1","LQFP144","-40 °C to +85 °C","N","","","Production","OM11025; OM11027","160-LPC2900-"
"nxp","Microcontrollers---Core---ARM9","LPC2930FBD208","http://www.nxp.com/products/microcontrollers/core/arm9/LPC2930FBD208.html","http://www.nxp.com/documents/data_sheet/LPC2930.pdf","ARM9","125","","56","16","152","","2","","2","2","2","","","3","10","4","32","1","","4","1","LQFP208","-40 °C to +85 °C","N","","","Production","OM11025; OM11027","160-LPC2900-"
"nxp","Microcontrollers---Core---ARM9","LPC2939FBD208","http://www.nxp.com/products/microcontrollers/core/arm9/LPC2939FBD208.html","http://www.nxp.com/documents/data_sheet/LPC2939.pdf","ARM9","125","768","56","16","152","","2","","2","2","2","","","3","10","4","32","1","","4","1","LQFP208","-40 °C to +85 °C","N","","","Production","OM11025; OM11027","160-LPC2900-"
"nxp","Microcontrollers---Core---ARM9","LPC3130FET180","http://www.nxp.com/products/microcontrollers/core/arm9/LPC3130FET180.html","http://www.nxp.com/documents/data_sheet/LPC3130_31.pdf","ARM9","180","","96","","97","","1","","","1","2","1","2","4","10","4","32","1","","1","","TFBGA180","-40 °C to +85 °C","N","1.8","3.3","Production","","170-LPC3100/200-"
"nxp","Microcontrollers---Core---ARM9","LPC3131FET180","http://www.nxp.com/products/microcontrollers/core/arm9/LPC3131FET180.html","http://www.nxp.com/documents/data_sheet/LPC3130_31.pdf","ARM9","180","","192","","97","","1","","","1","2","1","2","4","10","4","","1","","1","","TFBGA180","-40 °C to +85 °C","N","1.8","3.3","Production","","170-LPC3100/200-"
"nxp","Microcontrollers---Core---ARM9","LPC3141FET180","http://www.nxp.com/products/microcontrollers/core/arm9/LPC3141FET180.html","http://www.nxp.com/documents/data_sheet/LPC3141_43.pdf","ARM9","270","","192","","97","","2","","","1","2","1","2","4","10","4","32","1","","1","","TFBGA180","-40 °C to +85 °C","N","1.8","3.3","Production","OM11037","170-LPC3100/200-"
"nxp","Microcontrollers---Core---ARM9","LPC3143FET180","http://www.nxp.com/products/microcontrollers/core/arm9/LPC3143FET180.html","http://www.nxp.com/documents/data_sheet/LPC3141_43.pdf","ARM9","270","","192","","97","","","","","1","2","1","2","4","10","4","32","1","","1","","TFBGA180","-40 °C to +85 °C","N","1.8","3.3","Production","OM11037","170-LPC3100/200-"
"nxp","Microcontrollers---Core---ARM9","LPC3154FET208","http://www.nxp.com/products/microcontrollers/core/arm9/LPC3154FET208.html","http://www.nxp.com/documents/data_sheet/LPC3152_54.pdf","ARM9","180","","192","","77","","1","","","1","2","1","2","3","10","4","32","1","","1","","TFBGA208","-40 °C to +85 °C","N","1.8","3.3","Production","OM11029","170-LPC3100/200-"
"nxp","Microcontrollers---Core---ARM9","LPC3180FEL320","http://www.nxp.com/products/microcontrollers/core/arm9/LPC3180FEL320.html","http://www.nxp.com/documents/data_sheet/LPC3180.pdf","ARM9","208","","64","16","55","","1","","","7","2","2","0","3","10","2","","1","1","2","","LFBGA320","-40 °C to +85 °C","N","1.8","3.6","Production","","170-LPC3100/200-"
