"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","Security","GPIO","Ethernet","USB","USB (speed)","USB (type)","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","ADC sample rate","Comparators","DAC","Timers","Timer","SCTimer / PWM","RTC","PWM","QEI","Package name","Temperature range","Temperature sensor","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4310FBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4310FBD144.html","http://www.nxp.com/documents/data_sheet/LPC4350_30_20_10.pdf","Cortex-M4F & M0","204","430","0","168","0","N","83","0","0","","","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13027; OM13031; OM13040","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4310FET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4310FET100.html","http://www.nxp.com/documents/data_sheet/LPC4350_30_20_10.pdf","Cortex-M4F & M0","204","430","0","168","0","N","49","0","0","","","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","1","TFBGA100","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13027; OM13031; OM13040","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4312JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4312JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","83","0","0","","","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4312JET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4312JET100.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","49","0","0","","","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4313JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4313JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","83","0","0","","","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4313JET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4313JET100.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","49","0","0","","","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4315JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4315JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","768","136","16","N","83","0","0","","","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4315JET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4315JET100.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","768","136","16","N","49","0","0","","","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4317JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4317JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","1024","136","16","N","83","0","0","","","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4317JET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4317JET100.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","1024","136","16","N","49","0","0","","","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4320FBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4320FBD144.html","http://www.nxp.com/documents/data_sheet/LPC4350_30_20_10.pdf","Cortex-M4F & M0","204","430","0","200","0","N","83","0","1","HS","host/device","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13027; OM13031; OM13040","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4320FET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4320FET100.html","http://www.nxp.com/documents/data_sheet/LPC4350_30_20_10.pdf","Cortex-M4F & M0","204","430","0","200","0","N","49","0","1","HS","host/device","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","1","TFBGA100","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13027; OM13031; OM13040","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4322JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4322JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","83","0","1","HS","host/device","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4322JET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4322JET100.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","49","0","1","HS","host/device","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4323JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4323JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","83","0","1","HS","host/device","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4323JET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4323JET100.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","512","104","16","N","49","0","1","HS","host/device","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4325JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4325JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","768","136","16","N","83","0","1","HS","host/device","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4325JET100","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4325JET100.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","768","136","16","N","49","0","1","HS","host/device","","2","4","2","3","2","4","10","400 ksps","0","10","1; 4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
"nxp","Microcontrollers---Core---Cortex-M0 & M4F","LPC4327JBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m0_m4f/LPC4327JBD144.html","http://www.nxp.com/documents/data_sheet/LPC435X_3X_2X_1X.pdf","Cortex-M4F & M0","204","430","1024","136","16","N","83","0","1","HS","host/device","","2","4","2","3","2","8","10","400 ksps","0","10","1; 4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13027","190-LPC4300-"
