"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","Security","GPIO","Ethernet","USB","USB (speed)","USB (type)","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","ADC sample rate","Comparators","DAC","Timers","Timer","SCTimer / PWM","RTC","PWM","QEI","Package name","Temperature range","Temperature sensor","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1311FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1311FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","8","4","0","","28","","0","","","","","1","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1313FBD48","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1313FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","32","8","0","","42","","0","","","","","1","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","","11","","LQFP48","-40 °C to +85 °C","","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1313FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1313FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","32","8","0","","28","","0","","","","","1","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1315FBD48","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1315FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","32","8","2","","40","","0","","","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","LQFP48","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1315FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1315FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","32","8","2","","28","","0","","","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1316FBD48","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1316FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","48","8","4","","40","","0","","","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","LQFP48","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1316FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1316FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","48","8","4","","28","","0","","","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1317FBD48","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1317FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","64","10","4","","40","","0","","","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","LQFP48","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1317FBD64","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1317FBD64.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","64","10","4","","51","","0","","","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","LQFP64","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1317FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1317FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","64","10","4","","28","","0","","","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1342FBD48","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1342FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","16","4","0","","40","","1","FS","device","","","1","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","","11","","LQFP48","-40 °C to +85 °C","","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1342FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1342FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","16","4","0","","28","","1","FS","device","","","1","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1343FBD48","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1343FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","32","8","0","","40","","1","FS","device","","","1","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","","11","","LQFP48","-40 °C to +85 °C","","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1343FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1343FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","32","8","0","","28","","1","FS","device","","","1","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1345FBD48","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1345FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","32","10","2","","40","","1","FS","device","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","LQFP48","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Core---Cortex-M3","LPC1345FHN33","http://www.nxp.com/products/microcontrollers/core/cortex_m3/LPC1345FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","32","10","2","","26","","1","FS","device","","","1","1","2","","8","12","400 ksps","","","2; 2","16; 32","1","","11","","HVQFN32","-40 °C to +85 °C","","N","2","3.6","Production","OM13034","110-LPC1300-"
