"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","GPIO","Ethernet","USB","USB (speed)","USB (type)","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","ADC sample rate","DAC","Timers","Timer","SCTimer / PWM","RTC","PWM","QEI","Package name","Temperature range","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC1700","LPC1751FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1751FBD80.html","http://www.nxp.com/documents/data_sheet/LPC1759_58_56_54_52_51.pdf","Cortex-M3","100","125","32","8","","52","","1","FS","host/device","1","4","3","1","","6","12","400 ksps","","4","32","1","1","6","1","LQFP80","-40 °C to +85 °C","N","2.4","3.6","Production","OM11036","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1752FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1752FBD80.html","http://www.nxp.com/documents/data_sheet/LPC1759_58_56_54_52_51.pdf","Cortex-M3","100","125","64","16","","52","","1","FS","host/device","1","4","3","1","","6","12","400 ksps","","4","32","1","1","6","1","LQFP80","-40 °C to +85 °C","N","2.4","3.6","Production","OM11036","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1754FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1754FBD80.html","http://www.nxp.com/documents/data_sheet/LPC1759_58_56_54_52_51.pdf","Cortex-M3","100","125","128","32","","52","","1","FS","host/device","1","4","3","1","","6","12","400 ksps","10","4","32","1","1","6","1","LQFP80","-40 °C to +85 °C","N","2.4","3.6","Production","OM11036","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1756FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1756FBD80.html","http://www.nxp.com/documents/data_sheet/LPC1759_58_56_54_52_51.pdf","Cortex-M3","100","125","256","32","","52","","2","FS","host/device","2","4","3","1","1","6","12","400 ksps","10","4","32","1","1","6","1","LQFP80","-40 °C to +85 °C","N","2.4","3.6","Production","OM11036","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1758FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1758FBD80.html","http://www.nxp.com/documents/data_sheet/LPC1759_58_56_54_52_51.pdf","Cortex-M3","100","125","512","64","","52","1","1","FS","host/device","2","4","3","1","1","6","12","400 ksps","10","4","32","1","1","6","1","LQFP80","-40 °C to +85 °C","N","2.4","3.6","Production","OM11036","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1759FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1759FBD80.html","http://www.nxp.com/documents/data_sheet/LPC1759_58_56_54_52_51.pdf","Cortex-M3","120","150","512","64","","52","","1","FS","host/device","2","4","3","1","1","6","12","400 ksps","10","4","32","1","1","6","1","LQFP80","-40 °C to +85 °C","N","2.4","3.6","Production","OM11036","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1763FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1763FBD100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","256","64","","70","","","","","","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11034; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1764FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1764FBD100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","128","32","","70","1","1","FS","host/device","2","4","3","1","","8","12","400 ksps","","4","32","1","1","6","1","LQFP100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11034; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1765FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1765FBD100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","256","64","","70","","1","FS","host/device","2","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11034; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1765FET100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1765FET100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","256","64","","70","","1","FS","host/device","2","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","TFBGA100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11034; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1766FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1766FBD100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","256","64","","70","1","1","FS","host/device","2","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11034; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1767FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1767FBD100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","512","64","","70","1","","","","0","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1768FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1768FBD100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","512","64","","70","1","1","FS","host/device","2","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11034; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1768FET100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1768FET100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","512","64","","70","1","1","FS","host/device","2","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","TFBGA100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11032; OM11034; OM11035; OM11043; OM11084; OM13000","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1768UK","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1768UK.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","100","125","512","64","","70","1","1","FS","host/device","2","4","3","1","1","8","12","400 ksps","10","4","32","1","1","6","1","WLCSP","-40 °C to +85 °C","N","2.4","3.6","Qualification","","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1769FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1769FBD100.html","http://www.nxp.com/documents/data_sheet/LPC1769_68_67_66_65_64_63.pdf","Cortex-M3","120","150","512","64","","70","1","1","FS","host/device","2","4","2","1","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP100","-40 °C to +85 °C","N","2.4","3.6","Production","OM11035; OM11043; OM11084; OM13000; OM13085","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1774FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1774FBD144.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","128","40","2","109","","1","FS","host/device","2","4","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP144","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1774FBD208","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1774FBD208.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","128","40","2","165","","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP208","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1776FBD208","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1776FBD208.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","256","80","4","165","1","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP208","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1776FET180","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1776FET180.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","256","80","4","141","1","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","TFBGA180","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1777FBD208","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1777FBD208.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","512","96","4","165","","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP208","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1778FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1778FBD144.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","512","96","4","109","1","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP144","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1778FBD208","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1778FBD208.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","512","96","4","165","1","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","LQFP208","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1778FET180","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1778FET180.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","512","96","4","141","1","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","TFBGA180","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
"nxp","Microcontrollers---Product series---LPC1700","LPC1778FET208","http://www.nxp.com/products/microcontrollers/product_series/lpc1700/LPC1778FET208.html","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","Cortex-M3","120","150","512","96","4","165","1","1","FS","host/device","2","5","3","","1","8","12","400 ksps","10","4","32","1","1","6","1","TFBGA208","-40 °C to +85 °C","N","2.4","3.6","Production","OM13001; OM13020","130-LPC1700-"
