"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","Flash","RAM","GPIO","Ethernet","USB","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","DAC","Timers","Timer","SCTimer / PWM","RTC","PWM","Package name","Temperature range","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2101FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2101FBD48.html","http://www.nxp.com/documents/data_sheet/LPC2101_02_03.pdf","ARM7","70","8","2","32","","","","","2","2","1","","8","10","","4","32","1","1","14","LQFP48","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2102FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2102FBD48.html","http://www.nxp.com/documents/data_sheet/LPC2101_02_03.pdf","ARM7","70","16","4","32","","","","","2","2","1","","8","10","","4","32","1","1","14","LQFP48","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2103FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2103FBD48.html","http://www.nxp.com/documents/data_sheet/LPC2101_02_03.pdf","ARM7","70","32","8","32","","","","","2","2","1","","8","10","","4","32","1","1","14","LQFP48","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2104FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2104FBD48.html","http://www.nxp.com/documents/data_sheet/LPC2104_2105_2106.pdf","ARM7","60","128","16","32","","","","","2","1","1","","","","","3","32","1","1","6","LQFP48","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2106FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2106FBD48.html","http://www.nxp.com/documents/data_sheet/LPC2104_2105_2106.pdf","ARM7","60","128","64","32","","","","","2","1","1","","","","","3","32","1","1","6","LQFP48","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2106FHN48","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2106FHN48.html","http://www.nxp.com/documents/data_sheet/LPC2104_2105_2106.pdf","ARM7","60","128","64","32","","","","","2","1","1","","","","","3","32","1","1","6","HVQFN48","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2109FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2109FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2109_2119_2129.pdf","ARM7","60","64","8","46","","","","1","2","1","2","","4","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2114FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2114FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2114_2124.pdf","ARM7","60","128","16","46","","","","","2","1","2","","4","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2119FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2119FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2109_2119_2129.pdf","ARM7","60","128","16","46","","","","2","2","1","2","","4","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2124FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2124FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2114_2124.pdf","ARM7","60","256","16","46","","","","","2","1","2","","4","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
