"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","GPIO","Ethernet","USB","USB (speed)","USB (type)","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","ADC sample rate","Comparators","DAC","Timers","Timer","SCTimer / PWM","PWM","QEI","Package name","Temperature range","Temperature sensor","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC4000","LPC4072FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4072FBD80.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4","120","150","64","24","2","54","0","1","FS","host/device","0","2","4","3","3","1","8","12","400 ksps","0","10","4","32","1","6","0","LQFP80","-40 °C to +85 °C","0","N","2.4","3.6","Development","OM13076","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4072FET80","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4072FET80.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4","120","150","64","24","2","54","0","1","FS","host/device","0","2","4","3","3","1","8","12","400 ksps","0","10","4","32","1","6","0","TFBGA80","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13076","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4074FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4074FBD144.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4","120","150","128","40","2","109","0","1","FS","host/device","0","2","4","3","3","1","8","12","400 ksps","0","10","4","32","1","6","0","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13076","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4074FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4074FBD80.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4","120","150","128","40","2","54","0","1","FS","host/device","0","2","4","3","3","1","8","12","400 ksps","0","10","4","32","1","6","0","LQFP80","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13076","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4076FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4076FBD144.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","256","80","2","109","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","6","1","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13076","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4076FET180","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4076FET180.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","256","80","2","142","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","6","1","TFBGA180","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13076","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4078FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4078FBD100.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","69","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","6","1","LQFP100","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13038","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4078FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4078FBD144.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","109","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","6","1","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13038","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4078FBD208","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4078FBD208.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","165","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","6","1","LQFP208","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13038","180-LPC4000-"
"nxp","Microcontrollers---Product series---LPC4000","LPC4078FBD80","http://www.nxp.com/products/microcontrollers/product_series/lpc4000/LPC4078FBD80.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","6","1","LQFP80","-40 °C to +85 °C","","N","2.4","3.6","Production","OM13038","180-LPC4000-"
