"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","Security","GPIO","Ethernet","USB","USB (speed)","USB (type)","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","ADC sample rate","Comparators","DAC","Timers","Timer","SCTimer / PWM","RTC","PWM","QEI","Package name","Temperature range","Temperature sensor","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S20FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S20FBD144.html","http://www.nxp.com/documents/data_sheet/LPC43S50_30_20.pdf","Cortex-M4F & M0","204","430","0","200","0","Y","83","0","1","HS","host/device","0","2","4","2","3","2","8","10","400 ksps","0","10","4","32","1","1","6","0","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S20FET180","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S20FET180.html","http://www.nxp.com/documents/data_sheet/LPC43S50_30_20.pdf","Cortex-M4F & M0","204","430","0","200","0","Y","118","0","1","HS","host/device","0","2","4","2","3","2","8","10","400 ksps","0","10","4","32","1","1","6","0","TFBGA180","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S30FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S30FBD144.html","http://www.nxp.com/documents/data_sheet/LPC43S50_30_20.pdf","Cortex-M4F & M0","204","430","0","264","0","Y","83","1","2","HS (2x)","host/device","0","2","4","2","3","2","8","10","400 ksps","0","10","4","32","1","1","6","0","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S30FET100","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S30FET100.html","http://www.nxp.com/documents/data_sheet/LPC43S50_30_20.pdf","Cortex-M4F & M0","204","430","0","264","0","Y","49","1","2","HS (2x)","host/device","0","2","4","2","3","2","4","10","400 ksps","0","10","4","32","1","1","6","0","TFBGA100","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S30FET256","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S30FET256.html","http://www.nxp.com/documents/data_sheet/LPC43S50_30_20.pdf","Cortex-M4F & M0","204","430","0","264","0","Y","164","1","2","HS (2x)","host/device","0","2","4","2","3","2","8","10","400 ksps","0","10","4","32","1","1","6","1","LBGA256","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S37JBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S37JBD144.html","http://www.nxp.com/documents/data_sheet/LPC43S5X_S3X.pdf","Cortex-M4F & M0","204","430","1024","136","16","Y","83","1","2","HS (2x)","host/device","0","2","4","1","3","2","8","10","400 ksps","0","10","4","32","1","1","6","0","LQFP144","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S37JET100","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S37JET100.html","http://www.nxp.com/documents/data_sheet/LPC43S5X_S3X.pdf","Cortex-M4F & M0","204","430","1024","136","16","Y","49","1","2","HS (2x)","host/device","0","2","4","2","3","2","4","10","400 ksps","0","10","4","32","1","1","6","0","TFBGA100","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S50FET180","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S50FET180.html","http://www.nxp.com/documents/data_sheet/LPC43S50_30_20.pdf","Cortex-M4F & M0","204","430","0","264","0","Y","118","1","2","HS (2x)","host/device","1","2","4","2","3","2","8","10","400 ksps","0","10","4","32","1","1","6","1","TFBGA180","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S50FET256","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S50FET256.html","http://www.nxp.com/documents/data_sheet/LPC43S50_30_20.pdf","Cortex-M4F & M0","204","430","0","264","0","Y","164","1","2","HS (2x)","host/device","1","2","4","2","3","2","8","10","400 ksps","0","10","4","32","1","1","6","1","LBGA256","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
"nxp","Microcontrollers---Product series---LPC4300","LPC43S57JBD208","http://www.nxp.com/products/microcontrollers/product_series/lpc4300/LPC43S57JBD208.html","http://www.nxp.com/documents/data_sheet/LPC43S5X_S3X.pdf","Cortex-M4F & M0","204","430","1024","136","16","Y","142","1","2","HS (2x)","host/device","1","2","4","2","3","2","8","10","400 ksps","0","10","4","32","1","1","6","1","LQFP208","-40 °C to +105 °C","0","N","2.4","3.6","Production","OM13073","190-LPC4300-"
