"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","GPIO","UART","I²C","SPI","ADC channels","ADC","ADC sample rate","Comparators","Timers","Timer","SCTimer / PWM","PWM","Package name","Temperature range","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC800","LPC810M021FN8","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC810M021FN8.html","http://www.nxp.com/documents/data_sheet/LPC81XM.pdf","Cortex-M0+","30","28","4","1","6","2","1","1","0","0","1.2 Msps","1","2; 2","16; 32","1","4","DIP8","-40 °C to +85 °C","N","1.8","3.6","Production","OM13053","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC811M001JDH16","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC811M001JDH16.html","http://www.nxp.com/documents/data_sheet/LPC81XM.pdf","Cortex-M0+","30","28","8","2","14","2","1","1","0","0","1.2 Msps","1","2; 2","16; 32","1","4","TSSOP16","-40 °C to +105 °C","N","1.8","3.6","Production","OM13053","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC812M101JD20","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC812M101JD20.html","http://www.nxp.com/documents/data_sheet/LPC81XM.pdf","Cortex-M0+","30","28","16","4","18","2","1","1","0","0","1.2 Msps","1","2; 2","16; 32","1","4","SO20","-40 °C to +105 °C","N","1.8","3.6","Production","OM13055; OM13069","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC812M101JDH16","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC812M101JDH16.html","http://www.nxp.com/documents/data_sheet/LPC81XM.pdf","Cortex-M0+","30","28","16","4","14","3","1","2","0","0","1.2 Msps","1","2; 2","16; 32","1","4","TSSOP16","-40 °C to +105 °C","N","1.8","3.6","Production","OM13055; OM13069","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC812M101JDH20","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC812M101JDH20.html","http://www.nxp.com/documents/data_sheet/LPC81XM.pdf","Cortex-M0+","30","28","16","4","18","3","1","2","0","0","1.2 Msps","1","2; 2","16; 32","1","4","TSSOP20","-40 °C to +105 °C","N","1.8","3.6","Production","OM13055; OM13069","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC812M101JTB16","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC812M101JTB16.html","http://www.nxp.com/documents/data_sheet/LPC81XM.pdf","Cortex-M0+","30","28","16","4","14","3","1","2","0","0","1.2 Msps","1","2; 2","16; 32","1","4","XSON16","-40 °C to +105 °C","N","1.8","3.6","Production","OM13055; OM13069","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC822M101JDH20","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC822M101JDH20.html","http://www.nxp.com/documents/data_sheet/LPC82X.pdf","Cortex-M0+","30","28","16","4","16","3","4","2","5","12","1.2 Msps","1","1; 2","16; 32","1","1","TSSOP20","-40 °C to +105 °C","N","1.8","3.6","Production","OM13071; OM13081","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC822M101JHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC822M101JHI33.html","http://www.nxp.com/documents/data_sheet/LPC82X.pdf","Cortex-M0+","30","28","16","4","29","3","4","2","12","12","1.2 Msps","1","1; 2","16; 32","1","1","HVQFN32","-40 °C to +105 °C","N","1.8","3.6","Production","OM13071; OM13081","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC824M201JDH20","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC824M201JDH20.html","http://www.nxp.com/documents/data_sheet/LPC82X.pdf","Cortex-M0+","30","28","32","8","16","3","4","2","5","12","1.2 Msps","1","1; 2","16; 32","1","1","TSSOP20","-40 °C to +105 °C","N","1.8","3.6","Production","OM13071; OM13081","020-LPC800-"
"nxp","Microcontrollers---Product series---LPC800","LPC824M201JHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc800/LPC824M201JHI33.html","http://www.nxp.com/documents/data_sheet/LPC82X.pdf","Cortex-M0+","30","28","32","8","29","3","4","2","12","12","1.2 Msps","1","1; 2","16; 32","1","4","HVQFN32","-40 °C to +105 °C","N","1.8","3.6","Production","OM13071; OM13081","020-LPC800-"
