"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Topology","fosc","fosc","VCC [max]","Softstart","Features","Product status"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1713T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1713T.html","http://www.nxp.com/documents/data_sheet/TEA1713T.pdf","SOT137-1","SO24","PFC + Resonant; PFC + Resonant","670","125","38","Y","Burst mode; Safe Restart","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1716T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1716T.html","http://www.nxp.com/documents/data_sheet/TEA1716T.pdf","SOT137-1","SO24","PFC + Resonant; PFC + Resonant","670","125","38","Y","Burst mode; Safe Restart","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1750T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1750T.html","http://www.nxp.com/documents/data_sheet/TEA1750.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","125","125","38","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1751LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1751LT.html","http://www.nxp.com/documents/data_sheet/TEA1751LT.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","125","125","38","Y","Latched; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1751T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1751T.html","http://www.nxp.com/documents/data_sheet/TEA1751T.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","125","125","38","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1752LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1752LT.html","http://www.nxp.com/documents/data_sheet/TEA1752LT.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","250","125","38","Y","Latched; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1752T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1752T.html","http://www.nxp.com/documents/data_sheet/TEA1752T.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","250","125","38","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1753LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1753LT.html","http://www.nxp.com/documents/data_sheet/TEA1753LT.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","250","125","38","Y","Latched; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1753T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1753T.html","http://www.nxp.com/documents/data_sheet/TEA1753T.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","250","125","38","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1755LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1755LT.html","http://www.nxp.com/documents/data_sheet/TEA1755LT.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","139","130","38","Y","Latched; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA1755T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA1755T.html","http://www.nxp.com/documents/data_sheet/TEA1755T.pdf","SOT109-1","SO16","QR PFC + QR Flyback; QR PFC + QR Flyback","139","130","38","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers with integrated PFC","TEA19161T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers_with_integrated_pfc/TEA19161T.html","No full datasheet available","","","","","","","","","Development"
