"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Topology","fosc","fosc peak","fosc high","fosc medium","VCC [max]","Softstart","Features","Product status"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","NWP2081T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/NWP2081T.html","http://www.nxp.com/documents/data_sheet/NWP2081T.pdf","SOT96-1","SO8","","","","","","","","","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1731LTS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1731LTS.html","http://www.nxp.com/documents/data_sheet/TEA1731LTS.pdf","SOT457","TSOP6","Flyback / Buck; Flyback / Buck","","82","65","27.5","30","Y","Latched; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1731TS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1731TS.html","http://www.nxp.com/documents/data_sheet/TEA1731TS.pdf","SOT457","TSOP6","Flyback / Buck; Flyback / Buck","","80","65","26.5","30","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1732CTS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1732CTS.html","http://www.nxp.com/documents/data_sheet/TEA1732CTS.pdf","","","","","","","","","","","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1732LTS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1732LTS.html","http://www.nxp.com/documents/data_sheet/TEA1732LTS.pdf","SOT457","TSOP6","Flyback / Buck; Flyback / Buck","","80","65","","30","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1732TS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1732TS.html","http://www.nxp.com/documents/data_sheet/TEA1732TS.pdf","SOT457","TSOP6","Flyback / Buck; Flyback / Buck","","80","65","","30","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1733CT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1733CT.html","http://www.nxp.com/documents/data_sheet/TEA1733CT.pdf","SOT96-1","SO8","Flyback / Buck; Flyback / Buck","66.5","","","","30","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1733LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1733LT.html","http://www.nxp.com/documents/data_sheet/TEA1733LT.pdf","SOT96-1","SO8","Flyback / Buck; Flyback / Buck","66.5","","","","30","Y","Latched; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1733T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1733T.html","http://www.nxp.com/documents/data_sheet/TEA1733T.pdf","SOT96-1","SO8","Flyback / Buck; Flyback / Buck","66.5","","","","30","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1738LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1738LT.html","http://www.nxp.com/documents/data_sheet/TEA1738T_TEA1738LT.pdf","SOT96-1","SO8","Flyback / Buck; Flyback / Buck","","78","63","26.5","30","Y","Latched; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1738T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1738T.html","http://www.nxp.com/documents/data_sheet/TEA1738T_TEA1738LT.pdf","SOT96-1","SO8","Flyback / Buck; Flyback / Buck","","78","63","26.5","30","Y","Safe Restart; VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1708T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1708T.html","http://www.nxp.com/documents/data_sheet/TEA1708T.pdf","SOT96-1","SO8","","","","","","410","","","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1832LTS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1832LTS.html","http://www.nxp.com/documents/data_sheet/TEA1832LTS.pdf","SOT457","TSOP6","Flyback / Buck; Flyback / Buck","","130","65","","40","Y","Latch / VCO mode","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1832TS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1832TS.html","http://www.nxp.com/documents/data_sheet/TEA1832TS.pdf","SOT457","TSOP6","Flyback / Buck; Flyback / Buck","","130","65","","40","Y","Safe Restart","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA1833LTS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA1833LTS.html","http://www.nxp.com/documents/data_sheet/TEA1833LTS.pdf","SOT457","TSOP6","","","","","","","","","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA18361LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA18361LT.html","http://www.nxp.com/documents/data_sheet/TEA18361LT.pdf","SOT108-1","SO14","DCM / QR Flyback; DCM / QR Flyback","","","","","30","Y","Burst mode; Latched","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA18361T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA18361T.html","http://www.nxp.com/documents/data_sheet/TEA18361T.pdf","SOT108-1","SO14","DCM / QR Flyback; DCM / QR Flyback","","","","","30","Y","Burst mode; Safe Restart","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA18362LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA18362LT.html","http://www.nxp.com/documents/data_sheet/TEA18362LT.pdf","SOT96-1","SO8","DCM / QR Flyback; DCM / QR Flyback","","","","","30","Y","Burst mode; Latched","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA18362T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA18362T.html","http://www.nxp.com/documents/data_sheet/TEA18362T.pdf","SOT96-1","SO8","DCM / QR Flyback; DCM / QR Flyback","","","","","30","Y","Burst mode; Safe Restart","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA18363LT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA18363LT.html","http://www.nxp.com/documents/data_sheet/TEA18363LT.pdf","SOT96-1","SO8","DCM / QR Flyback; DCM / QR Flyback","","","","","30","Y","Burst mode; Latched","Production"
"nxp","Power management---AC-to-DC solutions---AC-DC controllers","TEA18363T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/ac_dc_controllers/TEA18363T.html","http://www.nxp.com/documents/data_sheet/TEA18363T.pdf","SOT96-1","SO8","DCM / QR Flyback; DCM / QR Flyback","","","","","30","Y","Burst mode; Safe Restart","Production"
