"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Topology","Feedback control integrated","Minimum SR active time","Driver activation voltage","Driver regulation voltage","Driver deactivation voltage","Driver activation delay time","Product status"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1761T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1761T.html","http://www.nxp.com/documents/data_sheet/TEA1761T.pdf","SOT96-1","SO8","Synchronous Rectification; Synchronous Rectification","Y","2","-310","-55","-12","125","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1762T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1762T.html","http://www.nxp.com/documents/data_sheet/TEA1762T.pdf","SOT108-1","SO14","Synchronous Rectification; Synchronous Rectification","Y","2","-310","-55","-12","125","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1791AT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1791AT.html","http://www.nxp.com/documents/data_sheet/TEA1791AT.pdf","SOT96-1","SO8","Synchronous Rectification; Synchronous Rectification","N","0.93","-310","-55","-12","125","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1791T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1791T.html","http://www.nxp.com/documents/data_sheet/TEA1791T.pdf","SOT96-1","SO8","Synchronous Rectification; Synchronous Rectification","N","2","-310","-55","-12","125","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1792AT","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1792AT.html","http://www.nxp.com/documents/data_sheet/TEA1792AT.pdf","SOT96-1","SO8","Synchronous Rectification; Synchronous Rectification","N","0.8","-220","-42","-12","75","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1792ATS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1792ATS.html","http://www.nxp.com/documents/data_sheet/TEA1792ATS.pdf","SOT457","TSOP6","Synchronous Rectification; Synchronous Rectification","N","0.8","-220","-42","-12","75","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1792T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1792T.html","http://www.nxp.com/documents/data_sheet/TEA1792T.pdf","SOT96-1","SO8","Synchronous Rectification; Synchronous Rectification","N","1.8","-220","-42","-12","75","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1792TS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1792TS.html","http://www.nxp.com/documents/data_sheet/TEA1792TS.pdf","SOT457","TSOP6","Synchronous Rectification; Synchronous Rectification","N","1.8","-220","-42","-12","75","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1795T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1795T.html","http://www.nxp.com/documents/data_sheet/TEA1795T.pdf","SOT96-1","SO8","Dual Synchronous Rectification; Dual Synchronous Rectification","N","0.52","-220","-25","-12","100","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1703T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1703T.html","http://www.nxp.com/documents/data_sheet/TEA1703T.pdf","SOT96-1","SO8","Standby control","","","","","","","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1703TS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1703TS.html","http://www.nxp.com/documents/data_sheet/TEA1703TS.pdf","SOT457","TSOP6","Standby control","","","","","","","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1833TS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1833TS.html","http://www.nxp.com/documents/data_sheet/TEA1833TS.pdf","SOT457","TSOP6","","","","","","","","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1892ATS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1892ATS.html","http://www.nxp.com/documents/data_sheet/TEA1892ATS.pdf","SOT457","TSOP6","Synchronous Rectification; Synchronous Rectification","N","0.8","-220","-42","-12","75","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1892TS","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1892TS.html","http://www.nxp.com/documents/data_sheet/TEA1892TS.pdf","SOT457","TSOP6","Synchronous Rectification; Synchronous Rectification","N","1.5","-220","-42","-12","75","Production"
"nxp","Power management---AC-to-DC solutions---Secondary side controllers","TEA1995T","http://www.nxp.com/products/power_management/ac_to_dc_solutions/secondary_side_controllers/TEA1995T.html","http://www.nxp.com/documents/data_sheet/TEA1995T.pdf","SOT96-1","SO8","","","","","","","","Production"
