"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Description","Dimming","Isolated/non-isolated","Topology","Power level [max]","Nominal mains","Internal MOSFET","Short Winding Protection","Product status"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL2101T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL2101T.html","http://www.nxp.com/documents/data_sheet/SSL2101.pdf","SOT109-1","SO16","Dimmable LED driver IC","Mains dimming","Isolated; non-isolated","Buck / Flyback","15","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL2102T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL2102T.html","http://www.nxp.com/documents/data_sheet/SSL2102.pdf","SOT163-1","SO20","Dimmable LED driver IC","Mains dimming","Isolated; non-isolated","Buck / Flyback","25","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL2103T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL2103T.html","http://www.nxp.com/documents/data_sheet/SSL2103.pdf","SOT108-1","SO14","Dimmable LED controller IC","Mains dimming","Isolated; non-isolated","Buck / Flyback","","100; 230","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5231BT","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5231BT.html","http://www.nxp.com/documents/data_sheet/SSL5231BT.pdf","SOT96-1","SO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck; Buck","25","100; 277","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5231T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5231T.html","http://www.nxp.com/documents/data_sheet/SSL5231T.pdf","SOT96-1","SO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck-boost; Buck-boost","25","100; 277","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5235BTE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5235BTE.html","http://www.nxp.com/documents/data_sheet/SSL5235BTE.pdf","SOT786-3","HSO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck; Buck","10","100; 120","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5235TE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5235TE.html","http://www.nxp.com/documents/data_sheet/SSL5235TE.pdf","SOT786-3","HSO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck-boost; Buck-boost","10","100; 120","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5236BTE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5236BTE.html","http://www.nxp.com/documents/data_sheet/SSL5236BTE.pdf","SOT786-3","HSO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck; Buck","7","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5236TE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5236TE.html","http://www.nxp.com/documents/data_sheet/SSL5236TE.pdf","SOT786-3","HSO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck-boost; Buck-boost","7","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5237BTE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5237BTE.html","http://www.nxp.com/documents/data_sheet/SSL5237BTE.pdf","SOT786-3","HSO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck; Buck","10","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5237TE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5237TE.html","http://www.nxp.com/documents/data_sheet/SSL5237TE.pdf","SOT786-3","HSO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck-boost; Buck-boost","10","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5251T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5251T.html","http://www.nxp.com/documents/data_sheet/SSL5251T.pdf","SOT96-1","SO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck-boost; Buck-boost","25","100; 277","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， dimmable","SSL5255TE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_dimmable/SSL5255TE.html","http://www.nxp.com/documents/data_sheet/SSL5255TE.pdf","SOT786-3","HSO8","Compact high power factor dimmable LED driver IC","Mains dimming","Non-isolated","Buck-boost; Buck-boost","10","100; 120","Y","N","Production"
