"brand","Series","PartNo","DetailLink","dataSheet","Package version","@VCC","@ICC","@f","Gass","NF","PL(1dB)","IP3O","RLin","RLout"
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7051","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7051.html","http://www.nxp.com/documents/data_sheet/BGU7051.pdf","SOT650-2","3.3","65","900","21","0.65","165","330","24.5","24.5"
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7052","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7052.html","http://www.nxp.com/documents/data_sheet/BGU7052.pdf","SOT650-2","3.3","80","1900","20","0.76","145","350","23","23"
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7053","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7053.html","http://www.nxp.com/documents/data_sheet/BGU7053.pdf","SOT650-2","3.3","90","2500","18.5","0.85","135","360","23","23"
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7060","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7060.html","http://www.nxp.com/documents/data_sheet/BGU7060.pdf","SOT1301-1","","","","","0.71","","","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7061","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7061.html","http://www.nxp.com/documents/data_sheet/BGU7061.pdf","SOT1301-1","","","","","0.74","","","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7062N2","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7062N2.html","http://www.nxp.com/documents/data_sheet/BGU7062N2.pdf","SOT1301-1","","","","","0.77","","","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7063","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7063.html","http://www.nxp.com/documents/data_sheet/BGU7063.pdf","SOT1301-1","","","","","0.9","","","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU7075","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU7075.html","http://www.nxp.com/documents/data_sheet/BGU7075.pdf","SOT1301-1","","","","","1.12","","","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU8051","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU8051.html","http://www.nxp.com/documents/data_sheet/BGU8051.pdf","SOT1327-1","5","","900","18.3","0.43","190","390","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU8052","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU8052.html","http://www.nxp.com/documents/data_sheet/BGU8052.pdf","SOT1327-1","5","","900","18.5","0.5","180","360","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU8053","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU8053.html","http://www.nxp.com/documents/data_sheet/BGU8053.pdf","SOT1327-1","5","","900","18.5","0.56","180","360","",""
"nxp","RF---Amplifiers---LNAs---LNAs for wireless infrastructures","BGU8062","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_wireless_infrastructures/BGU8062.html","http://www.nxp.com/documents/data_sheet/BGU8062.pdf","SOT650-2","","","","18.5","1.5","200","360","",""
