"brand","Series","PartNo","DetailLink","dataSheet","Package version","frange [min]","frange [max]","PL(1dB)","VDS","η","GP","Test signal","Product status"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA6G1011-200R","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA6G1011-200R.html","http://www.nxp.com/documents/data_sheet/BLA6G1011-200R_L-200RG_LS-200RG.pdf","SOT502A","1030","1090","200","28","65","20","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA6G1011L-200RG","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA6G1011L-200RG.html","http://www.nxp.com/documents/data_sheet/BLA6G1011-200R_L-200RG_LS-200RG.pdf","SOT502D","1030","1090","200","28","65","20","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA6G1011LS-200RG","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA6G1011LS-200RG.html","http://www.nxp.com/documents/data_sheet/BLA6G1011-200R_L-200RG_LS-200RG.pdf","SOT502C","1030","1090","200","28","65","20","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA6H0912-500","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA6H0912-500.html","http://www.nxp.com/documents/data_sheet/BLA6H0912-500.pdf","SOT634A","960","1215","500","50","50","17","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA6H0912L-1000","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA6H0912L-1000.html","http://www.nxp.com/documents/data_sheet/BLA6H0912L-1000_0912LS-1000.pdf","SOT539A","960","1215","1000","50","51","15.5","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA6H0912LS-1000","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA6H0912LS-1000.html","http://www.nxp.com/documents/data_sheet/BLA6H0912L-1000_0912LS-1000.pdf","SOT539B","960","1215","1000","50","51","15.5","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA6H1011-600","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA6H1011-600.html","http://www.nxp.com/documents/data_sheet/BLA6H1011-600.pdf","SOT539A","1030","1090","600","48","52","17","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA8G1011L-300","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA8G1011L-300.html","http://www.nxp.com/documents/data_sheet/BLA8G1011L-300_LS-300_L-300G_LS-300G.pdf","SOT502A","1030","1090","300","32","56","16.5","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA8G1011L-300G","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA8G1011L-300G.html","http://www.nxp.com/documents/data_sheet/BLA8G1011L-300_LS-300_L-300G_LS-300G.pdf","SOT502F","1030","1090","300","32","56","16.5","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---Aerospace & Defense---Avionics LDMOS transistors","BLA8G1011LS-300","http://www.nxp.com/products/rf/amplifiers/power_transistors/aerospace_defense/avionics_ldmos_transistors/BLA8G1011LS-300.html","http://www.nxp.com/documents/data_sheet/BLA8G1011L-300_LS-300_L-300G_LS-300G.pdf","SOT502B","1030","1090","300","32","56","16.5","Pulsed RF; Pulsed RF","Production"
