"brand","Series","PartNo","DetailLink","dataSheet","Package version","frange [min]","frange [max]","PL(1dB)","VDS","η","GP","Test signal","Product status"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLC8G24LS-240AV","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLC8G24LS-240AV.html","http://www.nxp.com/documents/data_sheet/BLC8G24LS-240AV.pdf","SOT1252-1","2300","2400","240","28","44","15","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLC8G27LS-60AV","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLC8G27LS-60AV.html","http://www.nxp.com/documents/data_sheet/BLC8G27LS-60AV.pdf","SOT1275-3","2300","2690","60","28","47","15.2","1-c WCDMA; 1-c WCDMA","Development"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLC8G27LS-60AVH","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLC8G27LS-60AVH.html","No full datasheet available","SOT1275-1","2300","2690","60","28","47","15.2","1-c WCDMA; 1-c WCDMA","Development"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF6G27LS-40P","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF6G27LS-40P.html","http://www.nxp.com/documents/data_sheet/BLF6G27L-40P_27LS-40P_27LS-40PG.pdf","SOT1121B","2500","2700","40","28","37","17.5","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF6G27LS-40PG","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF6G27LS-40PG.html","http://www.nxp.com/documents/data_sheet/BLF6G27L-40P_27LS-40P_27LS-40PG.pdf","SOT1121E","2500","2700","40","28","37","17.5","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF7G24LS-100","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF7G24LS-100.html","http://www.nxp.com/documents/data_sheet/BLF7G24L-100_7G24LS-100.pdf","SOT502B","2300","2400","100","28","27","18","NCDMA/IS95; NCDMA/IS95","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF7G24LS-140","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF7G24LS-140.html","http://www.nxp.com/documents/data_sheet/BLF7G24L-140_7G24LS-140.pdf","SOT502B","2300","2400","140","28","26.5","18.5","NCDMA/IS95; NCDMA/IS95","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF7G24LS-160P","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF7G24LS-160P.html","http://www.nxp.com/documents/data_sheet/BLF7G24L-160P_7G24LS-160P.pdf","SOT539B","2300","2400","160","28","27.5","18.5","NCDMA/IS95; NCDMA/IS95","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF8G24L-200P","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF8G24L-200P.html","http://www.nxp.com/documents/data_sheet/BLF8G24L-200P_LS-200P.pdf","SOT539A","2300","2400","200","28","32","17.2","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF8G24LS-200P","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF8G24LS-200P.html","http://www.nxp.com/documents/data_sheet/BLF8G24L-200P_LS-200P.pdf","SOT539B","2300","2400","200","28","32","17.2","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---Base stations---2.3 - 2.4 GHz transistors","BLF8G24LS-100GV","http://www.nxp.com/products/rf/amplifiers/power_transistors/base_stations/2_3_2_4_ghz_transistors/BLF8G24LS-100GV.html","http://www.nxp.com/documents/data_sheet/BLF8G24LS-100V_24LS-100GV.pdf","SOT1244C","2300","2400","100","28","32","19","2-c WCDMA; 2-c WCDMA","Production"
