"brand","Series","PartNo","DetailLink","dataSheet","Package version","frange [min]","frange [max]","PL(1dB)","VDS","η","GP","Test signal","Product status"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0035-50","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0035-50.html","http://www.nxp.com/documents/data_sheet/CLF1G0035-50.pdf","SOT467C","0","3500","50","50","49","13","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0035S-50","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0035S-50.html","http://www.nxp.com/documents/data_sheet/CLF1G0035S-50.pdf","SOT467B","0","3500","50","50","49","13","Pulsed RF; Pulsed RF","Development"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0035-100","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0035-100.html","http://www.nxp.com/documents/data_sheet/CLF1G0035-100.pdf","SOT467C","0","3500","100","50","59.5","13.9","Pulsed RF; Pulsed RF","Production"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0035S-100","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0035S-100.html","http://www.nxp.com/documents/data_sheet/CLF1G0035S-100.pdf","SOT467B","0","3500","100","50","59.5","13.9","Pulsed RF; Pulsed RF","Development"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0035-100P","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0035-100P.html","http://www.nxp.com/documents/data_sheet/CLF1G0035-100P_1G0035S-100P.pdf","SOT1228A","0","3500","100","50","50.1","12.7","Pulsed RF; Pulsed RF","Development"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0035S-100P","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0035S-100P.html","http://www.nxp.com/documents/data_sheet/CLF1G0035-100P_1G0035S-100P.pdf","SOT1228B","0","3500","100","50","50.1","12.7","Pulsed RF; Pulsed RF","Development"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0060-10","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0060-10.html","http://www.nxp.com/documents/data_sheet/CLF1G0060-10_1G0060S-10.pdf","SOT1227A","0","6000","10","50","33.2","17","Pulsed RF; Pulsed RF","Development"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0060S-10","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0060S-10.html","http://www.nxp.com/documents/data_sheet/CLF1G0060-10_1G0060S-10.pdf","SOT1227B","0","6000","10","50","33.2","17","Pulsed RF; Pulsed RF","Development"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0060-30","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0060-30.html","http://www.nxp.com/documents/data_sheet/CLF1G0060-30_1G0060S-30.pdf","SOT1227A","0","6000","30","50","59","15.9","Pulsed RF; Pulsed RF","Development"
"nxp","RF---Amplifiers---Power transistors---GaN devices","CLF1G0060S-30","http://www.nxp.com/products/rf/amplifiers/power_transistors/gan_devices/CLF1G0060S-30.html","http://www.nxp.com/documents/data_sheet/CLF1G0060-30_1G0060S-30.pdf","SOT1227B","0","6000","30","50","59","15.9","Pulsed RF; Pulsed RF","Development"
