"brand","Series","PartNo","DetailLink","dataSheet","Package version","frange [min]","frange [max]","PL(1dB)","VDS","η","GP","Test signal","Product status"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLC2425M8LS300P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLC2425M8LS300P.html","http://www.nxp.com/documents/data_sheet/BLC2425M8LS300P.pdf","SOT1250-1","2400","2500","300","32","54.5","17.5","CW; CW","Development"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF25M612","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF25M612.html","http://www.nxp.com/documents/data_sheet/BLF25M612_BLF25M612G.pdf","SOT975B","2400","2500","12","28","60","19","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF25M612G","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF25M612G.html","http://www.nxp.com/documents/data_sheet/BLF25M612_BLF25M612G.pdf","SOT975C","2400","2500","12","28","60","19","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF2425M6L180P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF2425M6L180P.html","http://www.nxp.com/documents/data_sheet/BLF2425M6L180P_25M6LS180P.pdf","SOT539A","2400","2500","180","28","53.5","13.3","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF2425M6LS180P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF2425M6LS180P.html","http://www.nxp.com/documents/data_sheet/BLF2425M6L180P_25M6LS180P.pdf","SOT539B","2400","2500","180","28","53.5","13.3","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF2425M7L100","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF2425M7L100.html","http://www.nxp.com/documents/data_sheet/BLF2425M7L100_2425M7LS100.pdf","SOT502A","2300","2400","100","28","27","18","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF2425M7LS100","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF2425M7LS100.html","http://www.nxp.com/documents/data_sheet/BLF2425M7L100_2425M7LS100.pdf","SOT502B","2300","2400","100","28","27","18","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF2425M7L140","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF2425M7L140.html","http://www.nxp.com/documents/data_sheet/BLF2425M7L140_2425M7LS140.pdf","SOT502A","2400","2500","140","28","52","18.5","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF2425M7LS140","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF2425M7LS140.html","http://www.nxp.com/documents/data_sheet/BLF2425M7L140_2425M7LS140.pdf","SOT502B","2400","2500","140","28","52","18.5","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 2.45 GHz","BLF2425M7L250P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_2_45_ghz/BLF2425M7L250P.html","http://www.nxp.com/documents/data_sheet/BLF2425M7L250P_2425M7LS250P.pdf","SOT539A","2400","2500","250","28","51","15","CW; CW","Production"
