"brand","Series","PartNo","DetailLink","dataSheet","Package version","frange [min]","frange [max]","PL(1dB)","VDS","η","GP","Test signal","Product status"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF6G13L-250P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF6G13L-250P.html","http://www.nxp.com/documents/data_sheet/BLF6G13L-250P_LS-250P_LS-250PG.pdf","SOT1121A","1300","1300","250","50","56","17","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF6G13LS-250P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF6G13LS-250P.html","http://www.nxp.com/documents/data_sheet/BLF6G13L-250P_LS-250P_LS-250PG.pdf","SOT1121B","1300","1300","250","50","56","17","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF6G15L-500H","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF6G15L-500H.html","http://www.nxp.com/documents/data_sheet/BLF6G15L-500H_6G15LS-500H.pdf","SOT539A","1400","1500","500","50","19","16","DVB-T; DVB-T","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF6G15LS-500H","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF6G15LS-500H.html","http://www.nxp.com/documents/data_sheet/BLF6G15L-500H_6G15LS-500H.pdf","SOT539B","1400","1500","500","50","19","16","DVB-T; DVB-T","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF10H6600P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF10H6600P.html","http://www.nxp.com/documents/data_sheet/BLF10H6600P_BLF10H6600PS.pdf","SOT539A","400","1000","600","50","46","20.8","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF10H6600PS","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF10H6600PS.html","http://www.nxp.com/documents/data_sheet/BLF10H6600P_BLF10H6600PS.pdf","SOT539B","400","1000","600","50","46","20.8","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF640","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF640.html","http://www.nxp.com/documents/data_sheet/BLF640.pdf","SOT538A","10","2200","10","28","31","19.3","1-c WCDMA; 1-c WCDMA","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF642","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF642.html","http://www.nxp.com/documents/data_sheet/BLF642.pdf","SOT467C","1","1400","35","32","63","19","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF644P","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF644P.html","http://www.nxp.com/documents/data_sheet/BLF644P.pdf","SOT1228A","10","1300","70","32","66","23.5","CW; CW","Production"
"nxp","RF---Amplifiers---Power transistors---RF Energy---RF Energy 915 MHz","BLF645","http://www.nxp.com/products/rf/amplifiers/power_transistors/rf_energy/rf_energy_915_mhz/BLF645.html","http://www.nxp.com/documents/data_sheet/BLF645.pdf","SOT540A","1","1400","100","32","56","18","CW; CW","Production"
