"brand","Series","PartNo","DetailLink","dataSheet","Package version","@VCC","@ICC","B-3dB","NF","PL(sat)","Gp","PL(1dB)","IP3","f","Gp","@f","Gp","@f","Gp","@f","Gp","@f","VCC lim","ICC lim","Ptot lim"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2711","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2711.html","http://www.nxp.com/documents/data_sheet/BGA2711.pdf","SOT363","5","12.6","3.6","4.8","28","13.1","-7","83","1000","13.9","2000","","","","","","","6","20","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2800","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2800.html","http://www.nxp.com/documents/data_sheet/BGA2800.pdf","SOT363","3.3","10.5","3.2","3.6","10","20.5","-10","110","950","19.9","250","20.2","2150","","","","","5","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2801","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2801.html","http://www.nxp.com/documents/data_sheet/BGA2801.pdf","SOT363","3.3","14.3","2.8","3.8","40","22.4","20","140","950","22.2","250","23","2150","","","","","5","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2802","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2802.html","http://www.nxp.com/documents/data_sheet/BGA2802.pdf","SOT363","3.3","12.5","2.7","4.1","40","26","10","130.00000000000002","950","25.6","250","25.1","2150","","","","","5","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2803","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2803.html","http://www.nxp.com/documents/data_sheet/BGA2803.pdf","SOT363","3.3","5.8","2.7","3.6","-30","23.6","-60","50","950","23.5","250","22.6","2150","","","","","5","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2815","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2815.html","http://www.nxp.com/documents/data_sheet/BGA2815.pdf","SOT363","3.3","18.2","3.1","3.8","50","25.3","50","170","950","25.8","250","25.2","2150","","","","","5","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2817","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2817.html","http://www.nxp.com/documents/data_sheet/BGA2817.pdf","SOT363","3.3","20","3.5","3.9","70","24.3","60","180","950","24.2","250","24.4","2150","","","","","5","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2818","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2818.html","http://www.nxp.com/documents/data_sheet/BGA2818.pdf","SOT363","3.3","20","2.9","3.3","80","29.8","60","180","950","30.1","250","30","2150","","","","","5","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2851","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2851.html","http://www.nxp.com/documents/data_sheet/BGA2851.pdf","SOT363","5","7","2.9","3.2","-10","24.7","-40","80","950","23.3","250","25.2","2150","","","","","5.5","36","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2866","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2866.html","http://www.nxp.com/documents/data_sheet/BGA2866.pdf","SOT363","5","17.4","3.3","3.8","70","23.9","40","170","950","23.2","250","24.3","2150","","","","","7","36","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2867","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2867.html","http://www.nxp.com/documents/data_sheet/BGA2867.pdf","SOT363","5","21.7","3","3.6","80","27.1","70","195","950","26.3","250","26.4","2150","","","","","7","36","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2869","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2869.html","http://www.nxp.com/documents/data_sheet/BGA2869.pdf","SOT363","5","21.7","3","3.1","120","31.7","100","230","950","31.1","250","32.2","2150","","","","","6","36","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2870","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2870.html","http://www.nxp.com/documents/data_sheet/BGA2870.pdf","SOT363","2.5","16","2.1","","40","","40","130.00000000000002","750","31.2","250","31.1","500","31","750","","","3.6","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA2874","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA2874.html","http://www.nxp.com/documents/data_sheet/BGA2874.pdf","SOT363","2.5","16.5","2.2","","40","","40","170","750","31.1","250","31","500","30.6","750","","","3.6","55","200"
"nxp","RF---Amplifiers---Wideband amplifiers","BGA7024","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA7024.html","http://www.nxp.com/documents/data_sheet/BGA7024.pdf","SOT89","","","","3.7","","","240","375","940","22","940","16","1960","","","","","5.7","",""
"nxp","RF---Amplifiers---Wideband amplifiers","BGA7027","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGA7027.html","http://www.nxp.com/documents/data_sheet/BGA7027.pdf","SOT89","","","","3.8","","","280","415","940","19","940","11.5","1960","11","2140","10.5","2445","5.7","",""
"nxp","RF---Amplifiers---Wideband amplifiers","BGM1013","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers/BGM1013.html","http://www.nxp.com/documents/data_sheet/BGM1013.pdf","SOT363","5","27.5","2.1","4.6","140","35.5","130","227","1000","35.2","100","31.8","2200","29.7","2600","26.1","3000","6","35","200"
