"brand","Series","PartNo","DetailLink","dataSheet","Package version","No of diodes","diode configuration","VR [max]","IF [max]","rD [typ]","rD [max]","@IF","rD [typ]","rD [max]","@IF","rD [typ]","rD [max]","@IF","@f","Cd [typ]","@VR","Cd [typ]","Cd [max]","@VR"
"nxp","RF---Diodes---PIN diodes","BAP50-02","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP50-02.html","http://www.nxp.com/documents/data_sheet/BAP50-02_N.pdf","SOD523","1","SG","50","50","25","40","0.5","14","25","1","3","5","10","100","0.4","0","0.3","0.55","1"
"nxp","RF---Diodes---PIN diodes","BAP50-03","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP50-03.html","http://www.nxp.com/documents/data_sheet/BAP50-03.pdf","SOD323","1","SG","50","50","25","40","0.5","14","25","1","3","5","10","100","0.4","0","0.3","0.55","1"
"nxp","RF---Diodes---PIN diodes","BAP50-04","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP50-04.html","http://www.nxp.com/documents/data_sheet/BAP50-04.pdf","SOT23","2","SR","50","50","25","40","0.5","14","25","1","3","5","10","100","0.45","0","0.35","0.6","1"
"nxp","RF---Diodes---PIN diodes","BAP50-04W","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP50-04W.html","http://www.nxp.com/documents/data_sheet/BAP50-04W.pdf","SOT323","2","SR","50","50","25","40","0.5","14","25","1","3","5","10","100","0.45","0","0.35","0.6","1"
"nxp","RF---Diodes---PIN diodes","BAP50-05","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP50-05.html","http://www.nxp.com/documents/data_sheet/BAP50-05.pdf","SOT23","2","CC","50","50","25","40","0.5","14","25","1","3","5","10","100","0.45","0","0.35","0.6","1"
"nxp","RF---Diodes---PIN diodes","BAP50-05W","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP50-05W.html","http://www.nxp.com/documents/data_sheet/BAP50-05W.pdf","SOT323","2","CC","50","50","25","40","0.5","14","25","1","3","5","10","100","0.45","0","0.35","0.6","1"
"nxp","RF---Diodes---PIN diodes","BAP50LX","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP50LX.html","http://www.nxp.com/documents/data_sheet/BAP50LX.pdf","SOD882D","1","SG","50","50","26","40","0.5","14","25","1","3","5","10","100","0.4","0","0.28","0.55","1"
"nxp","RF---Diodes---PIN diodes","BAP51-02","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP51-02.html","http://www.nxp.com/documents/data_sheet/BAP51-02_N.pdf","SOD523","1","SG","60","50","5.5","9","0.5","3.6","6.5","1","1.5","2.5","10","100","0.4","0","0.3","0.55","1"
"nxp","RF---Diodes---PIN diodes","BAP51-03","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP51-03.html","http://www.nxp.com/documents/data_sheet/BAP51-03.pdf","SOD323","1","SG","50","50","5.5","9","0.5","3.6","6.5","1","1.5","2.5","10","100","0.4","0","0.3","0.55","1"
"nxp","RF---Diodes---PIN diodes","BAP51-04W","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP51-04W.html","http://www.nxp.com/documents/data_sheet/BAP51-04W_N.pdf","SOT323","2","SR","50","50","5.5","9","0.5","3.6","6.5","1","1.5","2.5","10","100","0.4","0","0.3","0.55","1"
"nxp","RF---Diodes---PIN diodes","BAP51-05W","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP51-05W.html","http://www.nxp.com/documents/data_sheet/BAP51-05W.pdf","SOT323","2","CC","50","50","5.5","9","0.5","3.6","6.5","1","1.5","2.5","10","100","0.4","0","0.3","0.55","1"
"nxp","RF---Diodes---PIN diodes","BAP51-06W","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP51-06W.html","http://www.nxp.com/documents/data_sheet/BAP51-06W.pdf","SOT323","2","CA","50","50","5.5","","0.5","3.6","","1","2","","10","100","0.4","0","0.3","","1"
"nxp","RF---Diodes---PIN diodes","BAP51LX","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP51LX.html","http://www.nxp.com/documents/data_sheet/BAP51LX.pdf","SOD882D","1","SG","60","100","4.9","9","0.5","3.2","6.5","1","1.4","2.5","10","100","0.3","0","0.22","0.4","1"
"nxp","RF---Diodes---PIN diodes","BAP55LX","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP55LX.html","http://www.nxp.com/documents/data_sheet/BAP55LX.pdf","SOD882D","1","SG","50","100","3.3","4.5","0.5","2.2","3.3","1","0.8","1.2","10","100","0.28","0","0.23","","1"
"nxp","RF---Diodes---PIN diodes","BAP64-02","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP64-02.html","http://www.nxp.com/documents/data_sheet/BAP64-02.pdf","SOD523","1","SG","175","100","20","40","0.5","10","20","1","2","3.8","10","100","0.48","0","0.35","","1"
"nxp","RF---Diodes---PIN diodes","BAP64-03","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP64-03.html","http://www.nxp.com/documents/data_sheet/BAP64-03.pdf","SOD323","1","SG","175","100","20","40","0.5","10","20","1","2","3.8","10","100","0.48","0","0.35","","1"
"nxp","RF---Diodes---PIN diodes","BAP64-04","http://www.nxp.com/products/rf/diodes/pin_diodes/BAP64-04.html","http://www.nxp.com/documents/data_sheet/BAP64-04.pdf","SOT23","2","SR","175","100","20","40","0.5","10","20","1","2","3.8","10","100","0.52","0","0.37","","1"
