"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","VR [max]","IF [max]","Configuration","IR [max]","Cd [max]","IR [max]","VF [max]"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS10SB82","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS10SB82.html","http://www.nxp.com/documents/data_sheet/1PS10SB82.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","15","30","single","0.2@VR=1V","1@VR=0V","","340@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS66SB82","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS66SB82.html","http://www.nxp.com/documents/data_sheet/1PS66SB82_1PS88SB82.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","15","30","triple isolated","0.2@VR=1V","1@VR=0V","","340@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS88SB82","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS88SB82.html","http://www.nxp.com/documents/data_sheet/1PS66SB82_1PS88SB82.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","15","30","triple isolated","0.2@VR=1V","1@VR=0V","","340@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS70SB82","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS70SB82.html","http://www.nxp.com/documents/data_sheet/1PS70SB82_84_85_86.pdf","SOT323","SC-70","2 x 1.25 x 0.95","15","30","single","0.2@VR=1V","1@VR=0V","","340@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS70SB84","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS70SB84.html","http://www.nxp.com/documents/data_sheet/1PS70SB82_84_85_86.pdf","SOT323","SC-70","2 x 1.25 x 0.95","15","30","single","0.2@VR=1V","1@VR=0V","","340@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS70SB85","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS70SB85.html","http://www.nxp.com/documents/data_sheet/1PS70SB82_84_85_86.pdf","SOT323","SC-70","2 x 1.25 x 0.95","15","30","dual c.c.","0.2@VR=1V","1@VR=0V","","340@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS70SB86","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS70SB86.html","http://www.nxp.com/documents/data_sheet/1PS70SB82_84_85_86.pdf","SOT323","SC-70","2 x 1.25 x 0.95","15","30","dual c.a.","0.2@VR=1V","1@VR=0V","","340@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS66SB17","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS66SB17.html","http://www.nxp.com/documents/data_sheet/1PSXSB17.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","4","30","triple isolated","","1@VR=0V","0.25@VR=3V","450@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS76SB17","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS76SB17.html","http://www.nxp.com/documents/data_sheet/1PSXSB17.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","4","30","single","","1@VR=0V","0.25@VR=3V","450@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","1PS79SB17","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/1PS79SB17.html","http://www.nxp.com/documents/data_sheet/1PSXSB17.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","4","30","single","0.25@VR=3V","1@VR=0V","","450@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","BAT17","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/BAT17.html","http://www.nxp.com/documents/data_sheet/BAT17.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","4","30","single","0.25@VR=3V","1@VR=0V","","450@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","PMBD353","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/PMBD353.html","http://www.nxp.com/documents/data_sheet/PMBD353.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","4","30","dual series","0.25@VR=3V","1@VR=0V","","450@IF=1mA"
"nxp","RF---Diodes---Schottky diodes (low capacitance RF)","PMBD354","http://www.nxp.com/products/rf/diodes/schottky_diodes_low_capacitance_rf/PMBD354.html","http://www.nxp.com/documents/data_sheet/PMBD354.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","4","30","dual series","0.25@VR=3V","1@VR=0V","","450@IF=1mA"
