"brand","Series","PartNo","DetailLink","dataSheet","Package version","fi(RF) [min]","fi(RF) [max]","VCC [typ]","ICC [typ]","synthesizer phase noise density [typ]","@foffset","VCO phase noise density [typ]","@f_offset","f_o(RF) [min]","f_o(RF) [max]","Po(RF) [typ]","P_i(ref) [min]"
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1003HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1003HN.html","http://www.nxp.com/documents/data_sheet/TFF1003HN.pdf","SOT616-1","50","816","3.3","100","-97","100","-130","10","12.8","13.05","-50","-100"
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1007HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1007HN.html","http://www.nxp.com/documents/data_sheet/TFF1007HN.pdf","SOT616-1","228.44","234.38","3.3","116","-109","100","-109","8","14.62","15","-20","-40"
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1012HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1012HN.html","http://www.nxp.com/documents/data_sheet/TFF1012HN.pdf","SOT763-1","10700","12750","5","52","","","","","","","",""
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1013HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1013HN.html","http://www.nxp.com/documents/data_sheet/TFF1013HN.pdf","SOT763-1","10700","12750","5","60","","","","","","","",""
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1014HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1014HN.html","http://www.nxp.com/documents/data_sheet/TFF1014HN.pdf","SOT763-1","10700","12750","5","52","","","","","","","",""
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1015HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1015HN.html","http://www.nxp.com/documents/data_sheet/TFF1015HN_N1.pdf","SOT763-1","10700","12750","5","52","","","","","","","",""
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1017HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1017HN.html","http://www.nxp.com/documents/data_sheet/TFF1017HN_N1.pdf","SOT763-1","10700","12750","5","52","","","","","","","",""
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1018HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1018HN.html","http://www.nxp.com/documents/data_sheet/TFF1018HN.pdf","SOT763-1","10700","12750","5","52","","","","","","","",""
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1024HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1024HN.html","http://www.nxp.com/documents/data_sheet/TFF1024HN.pdf","SOT763-1","10700","12850","5","56","","","","","","","",""
"nxp","RF---PLLs and Oscillators---Integrated PLL VCOs","TFF1044HN","http://www.nxp.com/products/rf/plls_and_oscillators/integrated_pll_vcos/TFF1044HN.html","http://www.nxp.com/documents/data_sheet/TFF1044HN.pdf","SOT1359-1","","","5","145","","","","","10.7","12.75","",""
