"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","generation","fT [typ]","VCEO [max]","IC [max]","Ptot [max]","Polarity","GUM [typ]","@f","@IC","@VCE","GUM [typ]","@f","@IC","@VCE","NF","@f","@IC","@VCE","NF","@f","@IC","@VCE"
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFG21W","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFG21W.html","http://www.nxp.com/documents/data_sheet/BFG21W.pdf","SOT343R","CMPAK-4","5th","","4.5","500","600","NPN","10","1900","1","3.6","10","","","","","","","","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFG480W","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFG480W.html","http://www.nxp.com/documents/data_sheet/BFG480W.pdf","SOT343R","CMPAK-4","5th","21","4.5","250","360","NPN","16","2000","80","2","16","","","","1.2","900","8","2","1.8","2000","8","2"
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU520","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU520.html","http://www.nxp.com/documents/data_sheet/BFU520.pdf","SOT143B","SOT143B","5th","10.5","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU520A","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU520A.html","http://www.nxp.com/documents/data_sheet/BFU520A.pdf","SOT23","TO-236AB","5th","10","12","30","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU520W","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU520W.html","http://www.nxp.com/documents/data_sheet/BFU520W.pdf","SOT323","SC-70","5th","10","12","30","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU520X","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU520X.html","http://www.nxp.com/documents/data_sheet/BFU520X.pdf","SOT143B","SOT143B","5th","10.5","12","30","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU520XR","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU520XR.html","http://www.nxp.com/documents/data_sheet/BFU520XR.pdf","SOT143R","SOT143R","5th","10.5","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU520Y","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU520Y.html","http://www.nxp.com/documents/data_sheet/BFU520Y.pdf","SOT363","TSSOP6","5th","10","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU530","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU530.html","http://www.nxp.com/documents/data_sheet/BFU530.pdf","SOT143B","SOT143B","5th","11","12","40","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU530A","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU530A.html","http://www.nxp.com/documents/data_sheet/BFU530A.pdf","SOT23","TO-236AB","5th","11","12","40","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU530W","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU530W.html","http://www.nxp.com/documents/data_sheet/BFU530W.pdf","SOT323","SC-70","5th","11","12","40","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU530X","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU530X.html","http://www.nxp.com/documents/data_sheet/BFU530X.pdf","SOT143B","SOT143B","5th","11","12","40","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU530XR","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU530XR.html","http://www.nxp.com/documents/data_sheet/BFU530XR.pdf","SOT143R","SOT143R","5th","11","12","40","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU550","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU550.html","http://www.nxp.com/documents/data_sheet/BFU550.pdf","SOT143B","SOT143B","5th","11","12","50","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU550A","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU550A.html","http://www.nxp.com/documents/data_sheet/BFU550A.pdf","SOT23","TO-236AB","5th","11","12","50","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU550W","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU550W.html","http://www.nxp.com/documents/data_sheet/BFU550W.pdf","SOT323","SC-70","5th","11","12","50","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU550X","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU550X.html","http://www.nxp.com/documents/data_sheet/BFU550X.pdf","SOT143B","SOT143B","5th","11","12","50","450","NPN","","","","","","","","","0.75","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU550XR","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU550XR.html","http://www.nxp.com/documents/data_sheet/BFU550XR.pdf","SOT143R","SOT143R","5th","11","12","50","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU580G","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU580G.html","http://www.nxp.com/documents/data_sheet/BFU580G.pdf","SOT223","SC-73","5th","11","12","60","1000","NPN","","","","","","","","","0.75","900","5","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU580Q","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU580Q.html","http://www.nxp.com/documents/data_sheet/BFU580Q.pdf","SOT89","SOT89","5th","10.5","12","60","1000","NPN","","","","","","","","","0.75","900","5","8","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU590G","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU590G.html","http://www.nxp.com/documents/data_sheet/BFU590G.pdf","SOT223","SC-73","5th","8.5","12","200","2000","NPN","","","","","","","","","","","","","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU590Q","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU590Q.html","http://www.nxp.com/documents/data_sheet/BFU590Q.pdf","SOT89","SOT89","5th","8","12","200","2000","NPN","","","","","","","","","","","","","","","",""
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU630F","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU630F.html","http://www.nxp.com/documents/data_sheet/BFU630F.pdf","SOT343F","DFP4","6th","21","5.5","30","200","NPN","","","","","","","","","0.85","2.4","3","2","1.3","5.8","3","2"
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU660F","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU660F.html","http://www.nxp.com/documents/data_sheet/BFU660F.pdf","SOT343F","DFP4","6th","21","5.5","60","225","NPN","","","","","","","","","0.6","1.5","6","2","1.2","5.8","6","2"
"nxp","RF---Transistors---Bipolar---High Linearity Amplifiers， High Output Amplifiers， Drivers---1 GHz -> + 2 GHz (L band)","BFU690F","http://www.nxp.com/products/rf/transistors/bipolar/high_linearity_amplifiers_high_output_amplifiers_drivers/1_ghz_gt_2_ghz_l_band/BFU690F.html","http://www.nxp.com/documents/data_sheet/BFU690F.pdf","SOT343F","DFP4","6th","18","5.5","100","490","NPN","","","","","","","","","0.6","1.5","15","2","0.7","2.4","15","2"
