"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","generation","fT [typ]","VCEO [max]","IC [max]","Ptot [max]","Polarity","GUM [typ]","@f","@IC","@VCE","NF","@f","@IC","@VCE","NF","@f","@IC","@VCE","PL(1dB) [typ]","@f","@IC","@VCE"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFG403W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFG403W.html","http://www.nxp.com/documents/data_sheet/BFG403W.pdf","SOT343R","CMPAK-4","5th","17","4.5","3.6","16","NPN","22","2000","3","2","1","900","1","2","1.6","2000","1","2","-50","900","1","1"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFG410W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFG410W.html","http://www.nxp.com/documents/data_sheet/BFG410W.pdf","SOT343R","CMPAK-4","5th","22","4.5","12","54","NPN","21","2000","10","2","0.9","900","1","2","1.2","2000","1","2","50","2000","10","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU610F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU610F.html","http://www.nxp.com/documents/data_sheet/BFU610F.pdf","SOT343F","DFP4","6th","15","5.5","10","136","NPN","","","","","1.1","2.4","2","2","1.7","5.8","2","2","30","5.8","10","1.5"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU630F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU630F.html","http://www.nxp.com/documents/data_sheet/BFU630F.pdf","SOT343F","DFP4","6th","21","5.5","30","200","NPN","","","","","0.85","2.4","3","2","1.3","5.8","3","2","125","5.8","30","2.5"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU660F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU660F.html","http://www.nxp.com/documents/data_sheet/BFU660F.pdf","SOT343F","DFP4","6th","21","5.5","60","225","NPN","","","","","0.6","1.5","6","2","1.2","5.8","6","2","185","5.8","60","4"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU710F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU710F.html","http://www.nxp.com/documents/data_sheet/BFU710F.pdf","SOT343F","DFP4","7th","43","2.8","10","136","NPN","","","","","0.85","5.8","2","2","1.45","12","2","2","45","5.8","5","2.5"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU725F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU725F.html","http://www.nxp.com/documents/data_sheet/BFU725F_N1.pdf","SOT343F","DFP4","7th","55","2.8","40","136","NPN","","","","","0.7","5.8","5","2","1.1","12","5","2","80","5.8","25","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU730F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU730F.html","http://www.nxp.com/documents/data_sheet/BFU730F.pdf","SOT343F","DFP4","7th","55","2.8","30","197","NPN","","","","","0.8","5.8","5","2","1.3","12","5","2","125","5.8","15","2.5"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU760F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU760F.html","http://www.nxp.com/documents/data_sheet/BFU760F.pdf","SOT343F","DFP4","7th","45","2.8","70","220","NPN","","","","","0.4","1.5","12","2","0.5","2.4","12","2","185","5.8","30","2.5"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","BFU910F","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/BFU910F.html","http://www.nxp.com/documents/data_sheet/BFU910F.pdf","SOT343F","DFP4","generation","90","3","15","300","NPN","","","","","0.65","12","6","2","","","","","20","12","10","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---2 GHz -> 3.5 GHz (S band)","ON5088","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/2_ghz_gt_3_5_ghz_s_band/ON5088.html","http://www.nxp.com/documents/data_sheet/ON5088.pdf","SOT343F","DFP4","7th","55","3","40","136","NPN","","","","","1.1","12","5","2","","","","","","","",""
