"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","Angle range","Description","Operating temperature","Operating temperature","Output type","Output voltage","Supply voltage","Supply voltage"
"nxp","Sensors---Angular sensors","KMA200","http://www.nxp.com/products/sensors/angular_sensors/KMA200.html","http://www.nxp.com/documents/data_sheet/KMA200.pdf","SOT637","SIP5","Production","180","Angular measurement system","-40","160","4 analog modes / 2 digital modes","~0 / ~5.0","4.5","5.5"
"nxp","Sensors---Angular sensors","KMA210","http://www.nxp.com/products/sensors/angular_sensors/KMA210.html","http://www.nxp.com/documents/data_sheet/KMA210.pdf","SOT1288","SIP3","Production","180","Angular measurement system","-40","160","1 analog linear","~0 / ~5.0","4.5","5.5"
"nxp","Sensors---Angular sensors","KMA215","http://www.nxp.com/products/sensors/angular_sensors/KMA215.html","http://www.nxp.com/documents/data_sheet/KMA215.pdf","SOT1288","SIP3","Production","","","","","","","",""
"nxp","Sensors---Angular sensors","KMA220","http://www.nxp.com/products/sensors/angular_sensors/KMA220.html","http://www.nxp.com/documents/data_sheet/KMA220.pdf","SOT1188-1","SIL4","Production","180","Angular measurement system","-40","160","1 analog linear","~0 / ~5.0","4.5","5.5"
"nxp","Sensors---Angular sensors","KMA221","http://www.nxp.com/products/sensors/angular_sensors/KMA221.html","http://www.nxp.com/documents/data_sheet/KMA221.pdf","SOT1188-1","SIL4","Production","","","","","","","",""
"nxp","Sensors---Angular sensors","KMZ41","http://www.nxp.com/products/sensors/angular_sensors/KMZ41.html","http://www.nxp.com/documents/data_sheet/KMZ41.pdf","SOT96-1","SO8","Production","180","Magnetic field sensor","-40","150","sine / cosine","0,081 peak voltage","5","9"
"nxp","Sensors---Angular sensors","KMZ49","http://www.nxp.com/products/sensors/angular_sensors/KMZ49.html","http://www.nxp.com/documents/data_sheet/KMZ49.pdf","SOT96-1","SO8","Production","180","Magnetic field sensor","-40","150","sine / cosine","0,067 peak voltage","5","9"
"nxp","Sensors---Angular sensors","KMZ60","http://www.nxp.com/products/sensors/angular_sensors/KMZ60.html","http://www.nxp.com/documents/data_sheet/KMZ60.pdf","SOT96-1","SO8","Production","180","Magnetic field sensor","-40","150","sine / cosine","0,07Vcc to 0,93Vcc","2.7","5.5"
"nxp","Sensors---Angular sensors","X3G-OH047","http://www.nxp.com/products/sensors/angular_sensors/X3G-OH047.html","http://www.nxp.com/documents/data_sheet/X3G_T_OH047_048.pdf","","","Production","180","Magnetic field sensor","-40","150","sine / cosine","0,067 peak voltage","5","9"
"nxp","Sensors---Angular sensors","X3G-OH048","http://www.nxp.com/products/sensors/angular_sensors/X3G-OH048.html","http://www.nxp.com/documents/data_sheet/X3G_T_OH047_048.pdf","","","Production","180","Magnetic field sensor","-40","150","sine / cosine","0,067 peak voltage","5","9"
"nxp","Sensors---Angular sensors","X3T-OH047","http://www.nxp.com/products/sensors/angular_sensors/X3T-OH047.html","http://www.nxp.com/documents/data_sheet/X3G_T_OH047_048.pdf","","","Production","180","Magnetic field sensor","-40","150","sine / cosine","0,067 peak voltage","5","9"
"nxp","Sensors---Angular sensors","X3T-OH048","http://www.nxp.com/products/sensors/angular_sensors/X3T-OH048.html","http://www.nxp.com/documents/data_sheet/X3G_T_OH047_048.pdf","","","Production","180","Magnetic field sensor","-40","150","sine / cosine","0,067 peak voltage","5","9"
