"brand","Series","PartNo","DetailLink","dataSheet","Package version","Supply voltage","CSO / CTB [Typ]","Package name","Noise figure [Typ]","Return loss [Typ] (input","Cable type","Terrestrial type","Total power consumption [Typ]","PAL, SECAM, NTSC","DVB-T","DVB-T2","DVB-C","DVB-C2","DVB-H","ATSC","ISDB-T / DTMB","Frequency range","Phase noise @ 10KHz [Typ]","Phase noise @ 1KHz [Typ]","1 dB input compression point [min]","RSSI Accuracy Abs. [Typ]","RSSI Accuracy Rel. [Typ]","Dual tuner","Number of channels in application","Zero Power Loop-Through (ZPLT)","Loop-Through  (LT)"
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18204HN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18204HN.html","No full datasheet available","SOT1092-3","","","HVQFN36","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18250AHN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18250AHN.html","No full datasheet available","SOT617-3","3,3","-60/-60","HVQFN32","4.5","-8","Y","Y","750","","Y","Y","Y","Y","Y","","Y","42  - 1002","-85","","","3","0.5","","2","Y","Y"
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18250BHN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18250BHN.html","No full datasheet available","SOT617-3","3,3","-60/-60","HVQFN32","4.5","-8","Y","Y","750","","Y","Y","Y","Y","Y","","Y","42  - 1002","-85","","","3","0.5","","2","","Y"
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18250HN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18250HN.html","No full datasheet available","SOT619-1","3,3","-60/-60","HVQFN48","5.5","-8","Y","","920","","","","Y","Y","","","","42  - 1002","-85","","106","3","0.5","","2","","Y"
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18254AHN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18254AHN.html","No full datasheet available","SOT619-1","3,3","-60/-60","HVQFN48","7.5","-8","Y","","920","","","","Y","Y","","","","51  - 1002","-85","","","5","1.5","","4","","Y"
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18260HN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18260HN.html","No full datasheet available","SOT619-1","3,3","-64/-60","HVQFN48","6","-8","Y","","1600","","","","Y","Y","","","","42  - 1002","-85","","","3","0.5","Y","6","","Y"
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18264HB","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18264HB.html","No full datasheet available","SOT1317-1","","","HTQFN80R","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18267HB","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18267HB.html","No full datasheet available","SOT1317-1","","","HTQFN80R","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18273HN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18273HN.html","No full datasheet available","SOT618-1","3,3","-60/-65","HVQFN40","4","-8","Y","Y","1100","Y","Y","Y","Y","Y","Y","Y","Y","42  - 870","-93","-94","122","","","","1","",""
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18274HN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18274HN.html","No full datasheet available","SOT618-6","3,3","-60/-65","HVQFN40","4","-8","Y","Y","1100","Y","Y","Y","Y","Y","Y","Y","Y","42 -1002","-93","-94","120","5","3","Y","2","",""
"nxp","TV and STB front ends---Silicon Tuners---Cable and terrestrial silicon tuners","TDA18275HN","http://www.nxp.com/products/tv_and_stb_front_ends/silicon_tuners/cable_and_terrestrial_silicon_tuners/TDA18275HN.html","No full datasheet available","SOT617-11","3.3","-65/-65","HVQFN32","3.3","-10","Y","Y","750","Y","Y","Y","Y","Y","Y","Y","Y","42 - 1002","-93","-94","120","5","3","3","1","",""
