"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","VDRM [max]","IT(RMS) [max]","IGT [max] in quadrant 1","IGT [max] in quadrant 2","IGT [max] in quadrant 3","ITSM [max] @ 50 Hz","Tj [max]"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA201-600B","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA201-600B.html","http://www.nxp.com/documents/data_sheet/BTA201-600B.pdf","SOT54","TO-92","Production","600","1","50","50","50","12.5","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA201-600E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA201-600E.html","http://www.nxp.com/documents/data_sheet/BTA201-600E.pdf","SOT54","TO-92","Production","600","1","10","10","10","12.5","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA201-800B","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA201-800B.html","http://www.nxp.com/documents/data_sheet/BTA201-800B.pdf","SOT54","TO-92","Production","800","1","50","50","50","12.5","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA201-800E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA201-800E.html","http://www.nxp.com/documents/data_sheet/BTA201-800E.pdf","SOT54","TO-92","Production","800","1","10","10","10","12.5","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA201-800ER","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA201-800ER.html","http://www.nxp.com/documents/data_sheet/BTA201-800ER.pdf","SOT54","TO-92","Production","800","1","10","10","10","12.5","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA201W-600E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA201W-600E.html","http://www.nxp.com/documents/data_sheet/BTA201W-600E.pdf","SOT223","SC-73","Production","600","1","10","10","10","12.5","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA201W-800E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA201W-800E.html","http://www.nxp.com/documents/data_sheet/BTA201W-800E.pdf","SOT223","SC-73","Production","800","1","10","10","10","12.5","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA202X-600D","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA202X-600D.html","http://www.nxp.com/documents/data_sheet/BTA202X-600D.pdf","SOT186A","TO-220F","Production","600","2","5","5","5","14","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA202X-600E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA202X-600E.html","http://www.nxp.com/documents/data_sheet/BTA202X-600E.pdf","SOT186A","TO-220F","Production","600","2","10","10","10","14","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA202X-800D","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA202X-800D.html","http://www.nxp.com/documents/data_sheet/BTA202X-800D.pdf","SOT186A","TO-220F","Production","800","2","5","5","5","14","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA202X-800E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA202X-800E.html","http://www.nxp.com/documents/data_sheet/BTA202X-800E.pdf","SOT186A","TO-220F","Production","800","2","10","10","10","14","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-600B","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-600B.html","http://www.nxp.com/documents/data_sheet/BTA204-600B.pdf","SOT78","TO-220AB","Production","600","4","50","50","50","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-600C","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-600C.html","http://www.nxp.com/documents/data_sheet/BTA204-600C.pdf","SOT78","TO-220AB","Production","600","4","35","35","35","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-600D","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-600D.html","http://www.nxp.com/documents/data_sheet/BTA204-600D.pdf","SOT78","TO-220AB","Production","600","4","5","5","5","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-600E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-600E.html","http://www.nxp.com/documents/data_sheet/BTA204-600E.pdf","SOT78","TO-220AB","Production","600","4","10","10","10","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-600F","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-600F.html","http://www.nxp.com/documents/data_sheet/BTA204-600F.pdf","SOT78","TO-220AB","Production","600","4","25","25","25","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-800B","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-800B.html","http://www.nxp.com/documents/data_sheet/BTA204-800B.pdf","SOT78","TO-220AB","Production","800","4","50","50","50","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-800C","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-800C.html","http://www.nxp.com/documents/data_sheet/BTA204-800C.pdf","SOT78","TO-220AB","Production","800","4","35","35","35","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204-800E","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204-800E.html","http://www.nxp.com/documents/data_sheet/BTA204-800E.pdf","SOT78","TO-220AB","Production","800","4","10","10","10","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204S-600B","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204S-600B.html","http://www.nxp.com/documents/data_sheet/BTA204S-600B.pdf","SOT428","DPAK","Production","600","4","50","50","50","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204S-600C","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204S-600C.html","http://www.nxp.com/documents/data_sheet/BTA204S-600C.pdf","SOT428","DPAK","Production","600","4","35","35","35","25","125"
"nxp","Thyristors---3-Quadrant Triacs (High Commutation)","BTA204S-600D","http://www.nxp.com/products/thyristors/3_quadrant_triacs_high_commutation/BTA204S-600D.html","http://www.nxp.com/documents/data_sheet/BTA204S-600D.pdf","SOT428","DPAK","Production","600","4","5","5","5","25","125"
