"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","VDRM [max]","IT(RMS) [max]","IGT [max]","ITSM [max] @ 50 Hz","Tj [max]"
"nxp","Thyristors---AC Thyristor Triacs","ACTT2S-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT2S-800E.html","http://www.nxp.com/documents/data_sheet/ACTT2S-800E.pdf","SOT428","DPAK","Production","800","2","10","14","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT2X-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT2X-800E.html","http://www.nxp.com/documents/data_sheet/ACTT2X-800E.pdf","SOT186A","TO-220F","Production","800","2","10","14","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT4S-800C","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT4S-800C.html","http://www.nxp.com/documents/data_sheet/ACTT4S-800C.pdf","SOT428","DPAK","Production","800","4","35","35","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT4S-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT4S-800E.html","http://www.nxp.com/documents/data_sheet/ACTT4S-800E.pdf","SOT428","DPAK","Production","800","4","10","35","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT4X-800C","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT4X-800C.html","http://www.nxp.com/documents/data_sheet/ACTT4X-800C.pdf","SOT186A","TO-220F","Production","800","4","35","35","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT4X-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT4X-800E.html","http://www.nxp.com/documents/data_sheet/ACTT4X-800E.pdf","SOT186A","TO-220F","Production","800","4","10","35","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT6-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT6-800E.html","http://www.nxp.com/documents/data_sheet/ACTT6-800E.pdf","SOT78","TO-220AB","Production","800","6","10","51","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT6B-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT6B-800E.html","http://www.nxp.com/documents/data_sheet/ACTT6B-800E.pdf","SOT404","D2PAK","Production","800","6","10","51","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT6G-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT6G-800E.html","http://www.nxp.com/documents/data_sheet/ACTT6G-800E.pdf","SOT226A","I2PAK","Production","800","6","10","51","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT6X-800E","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT6X-800E.html","http://www.nxp.com/documents/data_sheet/ACTT6X-800E.pdf","SOT186A","TO-220F","Production","800","6","10","51","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT8-800C0","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT8-800C0.html","http://www.nxp.com/documents/data_sheet/ACTT8-800C0.pdf","SOT78","TO-220AB","Production","800","8","30","80","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT8-800C0T","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT8-800C0T.html","http://www.nxp.com/documents/data_sheet/ACTT8-800C0T.pdf","SOT78","TO-220AB","Production","800","8","30","80","150"
"nxp","Thyristors---AC Thyristor Triacs","ACTT8B-800C0","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT8B-800C0.html","http://www.nxp.com/documents/data_sheet/ACTT8B-800C0.pdf","SOT404","D2PAK","Production","800","8","30","80","125"
"nxp","Thyristors---AC Thyristor Triacs","ACTT8B-800C0T","http://www.nxp.com/products/thyristors/ac_thyristor_triacs/ACTT8B-800C0T.html","http://www.nxp.com/documents/data_sheet/ACTT8B-800C0T.pdf","SOT404","D2PAK","Production","800","8","30","80","150"
