"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","VDRM [max]","VRRM [max]","IT(RMS) [max]","IGT [max]","ITSM [max] @ 50 Hz","Tj [max]"
"nxp","Thyristors---SCRs","BT145-800R","http://www.nxp.com/products/thyristors/scrs/BT145-800R.html","http://www.nxp.com/documents/data_sheet/BT145_SERIES.pdf","SOT78","TO-220AB","Production","800","800","25","35","300","125"
"nxp","Thyristors---SCRs","BT148-400R","http://www.nxp.com/products/thyristors/scrs/BT148-400R.html","http://www.nxp.com/documents/data_sheet/BT148-400R.pdf","SOT82","SIP3","Production","400","400","4","0.2","35","125"
"nxp","Thyristors---SCRs","BT148-500R","http://www.nxp.com/products/thyristors/scrs/BT148-500R.html","http://www.nxp.com/documents/data_sheet/BT148-500R.pdf","SOT82","SIP3","Production","500","500","4","0.2","35","125"
"nxp","Thyristors---SCRs","BT148-600R","http://www.nxp.com/products/thyristors/scrs/BT148-600R.html","http://www.nxp.com/documents/data_sheet/BT148-600R.pdf","SOT82","SIP3","Production","600","600","4","0.2","35","125"
"nxp","Thyristors---SCRs","BT148W-600R","http://www.nxp.com/products/thyristors/scrs/BT148W-600R.html","http://www.nxp.com/documents/data_sheet/BT148W-600R.pdf","SOT223","SC-73","Production","600","600","1","0.2","10","125"
"nxp","Thyristors---SCRs","BT149D","http://www.nxp.com/products/thyristors/scrs/BT149D.html","http://www.nxp.com/documents/data_sheet/BT149D.pdf","SOT54","TO-92","Production","400","400","0.8","0.2","8","125"
"nxp","Thyristors---SCRs","BT149G","http://www.nxp.com/products/thyristors/scrs/BT149G.html","http://www.nxp.com/documents/data_sheet/BT149G.pdf","SOT54","TO-92","Production","600","600","0.8","0.2","8","125"
"nxp","Thyristors---SCRs","BT150-500R","http://www.nxp.com/products/thyristors/scrs/BT150-500R.html","http://www.nxp.com/documents/data_sheet/BT150-500R.pdf","SOT78","TO-220AB","Production","500","500","4","0.2","35","125"
"nxp","Thyristors---SCRs","BT150S-600R","http://www.nxp.com/products/thyristors/scrs/BT150S-600R.html","http://www.nxp.com/documents/data_sheet/BT150S-600R.pdf","SOT428","DPAK","Production","600","600","4","0.2","35","125"
"nxp","Thyristors---SCRs","BT151-500C","http://www.nxp.com/products/thyristors/scrs/BT151-500C.html","http://www.nxp.com/documents/data_sheet/BT151_SERIES_C.pdf","SOT78","TO-220AB","Production","500","500","12","15","100","125"
"nxp","Thyristors---SCRs","BT151-500L","http://www.nxp.com/products/thyristors/scrs/BT151-500L.html","http://www.nxp.com/documents/data_sheet/BT151-500L.pdf","SOT78","TO-220AB","Production","500","500","12","5","120","125"
"nxp","Thyristors---SCRs","BT151-500R","http://www.nxp.com/products/thyristors/scrs/BT151-500R.html","http://www.nxp.com/documents/data_sheet/BT151-500R.pdf","SOT78","TO-220AB","Production","500","500","12","15","120","125"
"nxp","Thyristors---SCRs","BT151-500RT","http://www.nxp.com/products/thyristors/scrs/BT151-500RT.html","http://www.nxp.com/documents/data_sheet/BT151-500RT.pdf","SOT78","TO-220AB","Production","500","500","12.5","15","120","150"
"nxp","Thyristors---SCRs","BT151-650C","http://www.nxp.com/products/thyristors/scrs/BT151-650C.html","http://www.nxp.com/documents/data_sheet/BT151_SERIES_C.pdf","SOT78","TO-220AB","Production","650","650","12","15","",""
"nxp","Thyristors---SCRs","BT151-650L","http://www.nxp.com/products/thyristors/scrs/BT151-650L.html","http://www.nxp.com/documents/data_sheet/BT151-650L.pdf","SOT78","TO-220AB","Production","650","650","12","5","120","125"
"nxp","Thyristors---SCRs","BT151-650R","http://www.nxp.com/products/thyristors/scrs/BT151-650R.html","http://www.nxp.com/documents/data_sheet/BT151-650R.pdf","SOT78","TO-220AB","Production","650","650","12","15","120","125"
"nxp","Thyristors---SCRs","BT151-800C","http://www.nxp.com/products/thyristors/scrs/BT151-800C.html","http://www.nxp.com/documents/data_sheet/BT151_SERIES_C.pdf","SOT78","TO-220AB","Production","800","800","12","15","",""
"nxp","Thyristors---SCRs","BT151-800R","http://www.nxp.com/products/thyristors/scrs/BT151-800R.html","http://www.nxp.com/documents/data_sheet/BT151-800R.pdf","SOT78","TO-220AB","Production","800","800","12","15","120","125"
"nxp","Thyristors---SCRs","BT151-1000RT","http://www.nxp.com/products/thyristors/scrs/BT151-1000RT.html","http://www.nxp.com/documents/data_sheet/BT151-1000RT.pdf","SOT78","TO-220AB","Production","1000","1000","12","15","120","150"
"nxp","Thyristors---SCRs","BT151S-500L","http://www.nxp.com/products/thyristors/scrs/BT151S-500L.html","http://www.nxp.com/documents/data_sheet/BT151S_SER_L_R.pdf","SOT428","DPAK","Production","500","500","12","5","120","125"
"nxp","Thyristors---SCRs","BT151S-500R","http://www.nxp.com/products/thyristors/scrs/BT151S-500R.html","http://www.nxp.com/documents/data_sheet/BT151S_SER_L_R.pdf","SOT428","DPAK","Production","500","500","12","15","120","125"
"nxp","Thyristors---SCRs","BT151S-650L","http://www.nxp.com/products/thyristors/scrs/BT151S-650L.html","http://www.nxp.com/documents/data_sheet/BT151S_SER_L_R.pdf","SOT428","DPAK","Production","650","650","12","5","120","125"
"nxp","Thyristors---SCRs","BT151S-650R","http://www.nxp.com/products/thyristors/scrs/BT151S-650R.html","http://www.nxp.com/documents/data_sheet/BT151S_SER_L_R.pdf","SOT428","DPAK","Production","650","650","12","15","",""
"nxp","Thyristors---SCRs","BT151S-650S","http://www.nxp.com/products/thyristors/scrs/BT151S-650S.html","http://www.nxp.com/documents/data_sheet/BT151S-650S.pdf","SOT428","DPAK","Production","650","650","12","0.2","90","125"
"nxp","Thyristors---SCRs","BT151S-800R","http://www.nxp.com/products/thyristors/scrs/BT151S-800R.html","http://www.nxp.com/documents/data_sheet/BT151S_SER_L_R.pdf","SOT428","DPAK","Production","800","800","12","15","120","125"
