"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","VCC Max (V)","Vref Typ (V)","ICC Max (A)","TA Min (degreesC)","TA Max (degreesC)","Package Type"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4304","NCP4304ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4304ADR2G","http://www.onsemi.com/pub/Collateral/NCP4304-D.PDF","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","Pb-free
Halide free","Active","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","30","0","0.0062
0.0066","-40","125","DFN-8
SOIC-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4304","NCP4304AMNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4304AMNTWG","http://www.onsemi.com/pub/Collateral/NCP4304-D.PDF","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","Pb-free
Halide free","Active","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","30","0","0.0062
0.0066","-40","125","DFN-8
SOIC-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4304","NCP4304BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4304BDR2G","http://www.onsemi.com/pub/Collateral/NCP4304-D.PDF","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","Pb-free
Halide free","Active","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","30","0","0.0062
0.0066","-40","125","DFN-8
SOIC-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4304","NCP4304BMNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4304BMNTWG","http://www.onsemi.com/pub/Collateral/NCP4304-D.PDF","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","Pb-free
Halide free","Active","Secondary Side Controller, Synchronous Rectification, for High Efficiency SMPS Topologies","30","0","0.0062
0.0066","-40","125","DFN-8
SOIC-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4308","NCP4308ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4308ADR2G","http://www.onsemi.com/pub/Collateral/NCP4308-D.PDF","Synchronous Rectifier Controller","Pb-free
Halide free","Product Preview","Synchronous Rectifier Controller",,,,,,"DFN-8
SOIC-8
WDFN-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4308","NCP4308AMTTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4308AMTTWG","http://www.onsemi.com/pub/Collateral/NCP4308-D.PDF","Synchronous Rectifier Controller","Pb-free
Halide free","Product Preview","Synchronous Rectifier Controller",,,,,,"DFN-8
SOIC-8
WDFN-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4308","NCP4308DDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4308DDR2G","http://www.onsemi.com/pub/Collateral/NCP4308-D.PDF","Synchronous Rectifier Controller","Pb-free
Halide free","Product Preview","Synchronous Rectifier Controller",,,,,,"DFN-8
SOIC-8
WDFN-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4308","NCP4308DMNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4308DMNTWG","http://www.onsemi.com/pub/Collateral/NCP4308-D.PDF","Synchronous Rectifier Controller","Pb-free
Halide free","Product Preview","Synchronous Rectifier Controller",,,,,,"DFN-8
SOIC-8
WDFN-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4308","NCP4308DMTTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4308DMTTWG","http://www.onsemi.com/pub/Collateral/NCP4308-D.PDF","Synchronous Rectifier Controller","Pb-free
Halide free","Product Preview","Synchronous Rectifier Controller",,,,,,"DFN-8
SOIC-8
WDFN-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4308","NCP4308QDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4308QDR2G","http://www.onsemi.com/pub/Collateral/NCP4308-D.PDF","Synchronous Rectifier Controller","Pb-free
Halide free","Product Preview","Synchronous Rectifier Controller",,,,,,"DFN-8
SOIC-8
WDFN-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4352","NCP4352SNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4352SNT1G","http://www.onsemi.com/pub/Collateral/NCP4352-D.PDF","Secondary Side Sleep Mode Controller for Low Standby Power Adapters, Current regulation","Pb-free
Halide free","ActiveNEW","Secondary Side Sleep Mode Controller for Low Standby Power Adapters","36","1.25","0.00015","0","125","TSOP-6"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4352","NCP4352SNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4352SNT1G","http://www.onsemi.com/pub/Collateral/NCP4352-D.PDF","Secondary Side Sleep Mode Controller for Low Standby Power Adapters, Current regulation","Pb-free
Halide free","ActiveNEW","Secondary Side Sleep Mode Controller for Low Standby Power Adapters","36","1.25","0.00015","0","125","TSOP-6"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4353","NCP4353ASNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4353ASNT1G","http://www.onsemi.com/pub/Collateral/NCP4353-D.PDF","Secondary Side Sleep Mode Controller for Low Standby Power Adapters, Current regulation","Pb-free
Halide free","Active","Secondary Side Sleep Mode Controller for Low Standby Power Adapters","36","1.25","0.00015","0","125","TSOP-6"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4353","NCP4353BSNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4353BSNT1G","http://www.onsemi.com/pub/Collateral/NCP4353-D.PDF","Secondary Side Sleep Mode Controller for Low Standby Power Adapters, Adjustable Vmin","Pb-free
Halide free","Active","Secondary Side Sleep Mode Controller for Low Standby Power Adapters","36","1.25","0.00015","0","125","TSOP-6"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4355","NCP4355ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4355ADR2G","http://www.onsemi.com/pub/Collateral/NCP4355-D.PDF","Secondary Side Controller, SMPS Off Mode, for Low Standby Power Adapters, with Constant Current Current Loop and LED driver","Pb-free
Halide free","Active","Secondary Side Controller, SMPS Off Mode, for Low Standby Power Adapters","36","1.25","135
155","-40","125","SOIC-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4355","NCP4355BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4355BDR2G","http://www.onsemi.com/pub/Collateral/NCP4355-D.PDF","Secondary Side Controller, SMPS Off Mode, for Low Standby Power Adapters","Pb-free
Halide free","Active","Secondary Side Controller, SMPS Off Mode, for Low Standby Power Adapters","36","1.25","135
155","-40","125","SOIC-8"
"on","AC-DC控制器和稳压器---次级端控制器","NCP4355","NCP4355CDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP4355CDR2G","http://www.onsemi.com/pub/Collateral/NCP4355-D.PDF","Secondary Side Controller, SMPS Off Mode, for Low Standby Power Adapters, with Constant Current Current Loop","Pb-free
Halide free","Active","Secondary Side Controller, SMPS Off Mode, for Low Standby Power Adapters","36","1.25","135
155","-40","125","SOIC-8"
