"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Control Mode","fsw Typ (kHz)","fJitter Typ (%)","Stand-by Mode","RDS(ON) Typ (Ohms)","V(BR)DSS Max (V)","IPeak (mA)","HV Start-up Min (V)","DSS (mA)","UVLO","Short Circuit Protection","Over Power Comp.","Brown-out","Latch","Package Type"
"on","AC-DC控制器和稳压器---离线稳压器","MC33363A","MC33363ADWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33363ADWG","http://www.onsemi.com/pub/Collateral/MC33363A-D.PDF","High Voltage Switching Regulator","Pb-free
Halide free","Active","High Voltage Switching Regulator","Current Mode","285","No","No","14","700","400","Yes","No","Yes","No","No","No","No","SOIC-16W"
"on","AC-DC控制器和稳压器---离线稳压器","MC33363A","MC33363ADWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33363ADWR2G","http://www.onsemi.com/pub/Collateral/MC33363A-D.PDF","High Voltage Switching Regulator","Pb-free
Halide free","Active","High Voltage Switching Regulator","Current Mode","285","No","No","14","700","400","Yes","No","Yes","No","No","No","No","SOIC-16W"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1010","NCP1010AP065G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1010AP065G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130","Yes","Yes","25","700","100","Yes","8.5","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1010","NCP1010AP100G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1010AP100G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130","Yes","Yes","25","700","100","Yes","8.5","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1010","NCP1010AP130G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1010AP130G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130","Yes","Yes","25","700","100","Yes","8.5","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1010","NCP1010ST100T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1010ST100T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130","Yes","Yes","25","700","100","Yes","8.5","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1010","NCP1010ST130T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1010ST130T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130","Yes","Yes","25","700","100","Yes","8.5","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1010","NCP1010ST65T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1010ST65T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130","Yes","Yes","25","700","100","Yes","8.5","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1012","NCP1012AP065G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1012AP065G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130
133","Yes","Yes","11","700","250","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1012","NCP1012AP100G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1012AP100G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130
133","Yes","Yes","11","700","250","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1012","NCP1012AP133G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1012AP133G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130
133","Yes","Yes","11","700","250","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1012","NCP1012ST100T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1012ST100T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130
133","Yes","Yes","11","700","250","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1012","NCP1012ST130T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1012ST130T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130
133","Yes","Yes","11","700","250","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1012","NCP1012ST65T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1012ST65T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100
130
133","Yes","Yes","11","700","250","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1014","NCP1014AP065G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1014AP065G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100","Yes","Yes","11","700","450","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1014","NCP1014AP100G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1014AP100G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100","Yes","Yes","11","700","450","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1014","NCP1014ST100T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1014ST100T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100","Yes","Yes","11","700","450","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1014","NCP1014ST65T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1014ST65T3G","http://www.onsemi.com/pub/Collateral/NCP1010-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100","Yes","Yes","11","700","450","Yes","8","Yes","Yes","No","No","Yes","PDIP-7
SOT-223-4 / TO-261-4"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1027","NCP1027P065G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1027P065G","http://www.onsemi.com/pub/Collateral/NCP1027-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100","Yes","Yes","5.6","700","800","Yes","N/A","Yes","Yes","Yes","Yes","Yes","PDIP-7"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1027","NCP1027P100G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1027P100G","http://www.onsemi.com/pub/Collateral/NCP1027-D.PDF","High Voltage Switching Regulator for Offline SMPS","Pb-free
Halide free","Active","High Voltage Switching Regulator for Offline SMPS","Current Mode","65
100","Yes","Yes","5.6","700","800","Yes","N/A","Yes","Yes","Yes","Yes","Yes","PDIP-7"
"on","AC-DC控制器和稳压器---离线稳压器","NCP1030","NCP1030DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1030DMR2G","http://www.onsemi.com/pub/Collateral/NCP1030-D.PDF","Integrated DC-DC Converter for PoE and Telecom","Pb-free
Halide free","Active","Integrated DC-DC Converter for PoE and Telecom","Current Mode","300","No","No","4.1","200","515","Yes","12.5","Yes","No","No","No","Yes","Micro8™"
