"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Topology","Phases","Control Mode","VCC Min (V)","VCC Max (V)","fSW Typ (kHz)","tres Typ (ns)","Package Type"
"on","DC-DC控制器、转换器和稳压器---控制器","ADP3211","ADP3211AMNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=ADP3211AMNR2G","http://www.onsemi.com/pub/Collateral/ADP3211-D.PDF","Synchronous Buck Controller, 7-Bit, Programmable, Single-Phase","Pb-free
Halide free","Active","Synchronous Buck Controller, 7-Bit, Programmable, Single-Phase","Step-Down","1",,"3.3","22",,,"QFN-32"
"on","DC-DC控制器、转换器和稳压器---控制器","ADP3211","ADP3211MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=ADP3211MNR2G","http://www.onsemi.com/pub/Collateral/ADP3211-D.PDF","Synchronous Buck Controller, 7-Bit, Programmable, Single-Phase","Pb-free
Halide free","Active","Synchronous Buck Controller, 7-Bit, Programmable, Single-Phase","Step-Down","1",,"3.3","22",,,"QFN-32"
"on","DC-DC控制器、转换器和稳压器---控制器","ADP4100","ADP4100JCPZ-REEL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADP4100JCPZ-REEL","http://www.onsemi.com/pub/Collateral/ADP4100-D.PDF","Synchronous Buck Converter, Programmable Multiphase","Pb-free
Halide free","Active","Synchronous Buck Converter, Programmable Multiphase","Step-Down","4/5/6","Current/Voltage Mode","4.7","5.75","250 - 9000",,"LFCSP-48"
"on","DC-DC控制器、转换器和稳压器---控制器","CS51022A","CS51022ADBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS51022ADBR2G","http://www.onsemi.com/pub/Collateral/CS51021-D.PDF","Enhanced Current Mode PWM Controller for Forward or Flyback (36-72 V Telecom)","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Enhanced Current Mode PWM Controller for Forward or Flyback (36-72 V Telecom)","Buck","1","Current Mode","8.2","20","Up to 1000","60","SOIC-16
TSSOP-16"
"on","DC-DC控制器、转换器和稳压器---控制器","CS51022A","CS51022AEDR16G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS51022AEDR16G","http://www.onsemi.com/pub/Collateral/CS51021-D.PDF","Enhanced Current Mode PWM Controller for Forward or Flyback (36-72 V Telecom)","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Enhanced Current Mode PWM Controller for Forward or Flyback (36-72 V Telecom)","Buck","1","Current Mode","8.2","20","Up to 1000","60","SOIC-16
TSSOP-16"
"on","DC-DC控制器、转换器和稳压器---控制器","CS5124","CS5124XD8G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS5124XD8G","http://www.onsemi.com/pub/Collateral/CS5124-D.PDF","PWM Controller, Integrated, Current Mode, for Forward or Flyback (36 - 75 V Telecom Supply)","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","PWM Controller, Integrated, Current Mode, for Forward or Flyback (36 - 75 V Telecom Supply)","Flyback
Forward
Step-Down","1","Current Mode","7.6","75","400","35","SOIC-8"
"on","DC-DC控制器、转换器和稳压器---控制器","CS5124","CS5124XDR8G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS5124XDR8G","http://www.onsemi.com/pub/Collateral/CS5124-D.PDF","PWM Controller, Integrated, Current Mode, for Forward or Flyback (36 - 75 V Telecom Supply)","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","PWM Controller, Integrated, Current Mode, for Forward or Flyback (36 - 75 V Telecom Supply)","Flyback
Forward
Step-Down","1","Current Mode","7.6","75","400","35","SOIC-8"
"on","DC-DC控制器、转换器和稳压器---控制器","LV5068V","LV5068V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5068V-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1875-D.PDF","Non-Synchronous Buck Controller, Switching, 1-Channel","Pb-free
Halide free","Active","Non-Synchronous Buck Controller, Switching, 1-Channel","Step-Down","1","Current Mode","4.5","40","330
300-2200",,"SSOP-16"
"on","DC-DC控制器、转换器和稳压器---控制器","LV5725JA","LV5725JA-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5725JA-AH","http://www.onsemi.com/pub/Collateral/ENA2054-D.PDF","Buck Converter, DC-DC, 1-Channel","Pb-free
Halide free","Active","Buck Converter, DC-DC, 1-Channel","Step-Down","1","Current Mode","4.5","50","365
50-500",,"SSOP-16"
"on","DC-DC控制器、转换器和稳压器---控制器","LV5762QA","LV5762QA-NH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5762QA-NH","http://www.onsemi.com/pub/Collateral/ENA2331-D.PDF","Step-down Switching Regulator","Pb-free
Halide free","Active","Step-down Switching Regulator","Step-Down","1","Current Mode","8","42","1000",,"WQFN-16 / VQFN-16J"
