"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Topology","Control Mode","VCC Min (V)","VCC Max (V)","VO Typ (V)","IO Typ (A)","Efficiency (%)","fSW Typ (kHz)","Package Type"
"on","DC-DC控制器、转换器和稳压器---转换器","CS51412","CS51412EDR8G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS51412EDR8G","http://www.onsemi.com/pub/Collateral/CS51411-D.PDF","Buck Regulator, Low Voltage, 1.5 A, 260 kHz, with External Bias","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck Regulator, Low Voltage, 1.5 A, 260 kHz, with External Bias","Step-Down","V2","4.5","40",,"1.5",,"260","SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","CS5172","CS5172EDR8G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS5172EDR8G","http://www.onsemi.com/pub/Collateral/CS5171-D.PDF","Boost Regulator, Negative, 1.5 A, 280 kHz, T","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Boost Regulator, Negative, 1.5 A, 280 kHz","Step-Up","Current Mode","2.7","30",,"1.5",,"Up to 500","SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5724MC","LA5724MC-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5724MC-BH","http://www.onsemi.com/pub/Collateral/ENA2021-D.PDF","Separately-Excited Step-Dowm Switching Regulator (Variable Type)","Pb-free
Halide free","Active","Separately-Excited Step-Dowm Switching Regulator (Variable Type)","Step-Down","Voltage Mode","4.5","28","12, 5, 3.3","0.7","92","160","SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5744","LA5744-HK-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5744-HK-E","http://www.onsemi.com/pub/Collateral/LA5744-D.PDF","Separately-Excited Step-Down Switching Regulator (Variable Type)","Pb-free","Active","Separately-Excited Step-Down Switching Regulator (Variable Type)","Step-Down","Voltage Mode","4.5","28","12, 5, 3.3","1","83","300","TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5744TP","LA5744TP-FA-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5744TP-FA-E","http://www.onsemi.com/pub/Collateral/LA5744TP-D.PDF","Separately-Excited Step-Down Switching Regulator (Variable type)","Pb-free","Active","Separately-Excited Step-Down Switching Regulator (Variable type)","Step-Down","Voltage Mode","4.5","28","12, 5, 3.3","1","83","300","IPAK-5 / TP-5H"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5744TP","LA5744TP-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5744TP-TL-E","http://www.onsemi.com/pub/Collateral/LA5744TP-D.PDF","Separately-Excited Step-Down Switching Regulator (Variable type)","Pb-free","Active","Separately-Excited Step-Down Switching Regulator (Variable type)","Step-Down","Voltage Mode","4.5","28","12, 5, 3.3","1","83","300","IPAK-5 / TP-5H"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5757TP","LA5757TP-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5757TP-TL-E","http://www.onsemi.com/pub/Collateral/LA5757TP-D.PDF","Separately-Excited Step-Down Switching Regulator (Variable type)","Pb-free","Active","Separately-Excited Step-Down Switching Regulator (Variable type)","Step-Down","Voltage Mode","4.5","32","12, 5, 3.3","1","83","300","IPAK-5 / TP-5H"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5771MP","LA5771MP-DL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5771MP-DL-E","http://www.onsemi.com/pub/Collateral/LA5771MP-D.PDF","Separately-Excited Step-Down Switching Regulator (3.3 V)","Pb-free","Active","Separately-Excited Step-Down Switching Regulator (3.3 V)","Step-Down","Voltage Mode","5.5","28","3.3","1","79","160","DPAK-5 / SMP-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5774MC","LA5774MC-BE","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5774MC-BE","http://www.onsemi.com/pub/Collateral/ENA2191-D.PDF","Buck Regulator, Switching, Separately Excited (Variable Type)","Pb-free","Active","Buck Regulator, Switching, Separately Excited (Variable Type)","Step-Down","Voltage Mode","4.5","28","3.3","3","78","160","D2PAK5 / SMP5J"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5779","LA5779-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5779-E","http://www.onsemi.com/pub/Collateral/LA5779-D.PDF","Separately-Excited Step-Down Switching Regulator (Variable type)","Pb-free","Active","Separately-Excited Step-Down Switching Regulator (Variable type)","Step-Down","Voltage Mode","4.5","28","12, 5, 3.3","3","84","160","TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LA5779","LA5779-HJ-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA5779-HJ-E","http://www.onsemi.com/pub/Collateral/LA5779-D.PDF","Separately-Excited Step-Down Switching Regulator (Variable type)","Pb-free","Active","Separately-Excited Step-Down Switching Regulator (Variable type)","Step-Down","Voltage Mode","4.5","28","12, 5, 3.3","3","84","160","TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2574","LM2574DW-ADJR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2574DW-ADJR2G","http://www.onsemi.com/pub/Collateral/LM2574-D.PDF","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A, Adjustable 1.23 V to 37 V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A","Step-Down","Voltage Mode","7","40","1.23 to 37
5
12","0.5","85","52","PDIP-8
SOIC-16W"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2574","LM2574N-12G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2574N-12G","http://www.onsemi.com/pub/Collateral/LM2574-D.PDF","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A, 12 V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A","Step-Down","Voltage Mode","7","40","1.23 to 37
5
12","0.5","85","52","PDIP-8
SOIC-16W"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2574","LM2574N-5G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2574N-5G","http://www.onsemi.com/pub/Collateral/LM2574-D.PDF","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A, 5.0 V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A","Step-Down","Voltage Mode","7","40","1.23 to 37
5
12","0.5","85","52","PDIP-8
SOIC-16W"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2574","LM2574N-ADJG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2574N-ADJG","http://www.onsemi.com/pub/Collateral/LM2574-D.PDF","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A, Adjustable 1.23 V to 37 V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A","Step-Down","Voltage Mode","7","40","1.23 to 37
5
12","0.5","85","52","PDIP-8
SOIC-16W"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2574","NCV2574DW-ADJR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV2574DW-ADJR2G","http://www.onsemi.com/pub/Collateral/LM2574-D.PDF","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A, Adjustable 1.23 V to 37 V","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck Regulator, Switching, Adjustable Output Voltage, 0.5 A","Step-Down","Voltage Mode","7","40","1.23 to 37
5
12","0.5","85","52","PDIP-8
SOIC-16W"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576D2T-005G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576D2T-005G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 5.0 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576D2T-15G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576D2T-15G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 15.0 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576D2T-ADJG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576D2T-ADJG","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, Adjustable 1.23-37 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
