"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (uA)","PPK Max (W)","Package Type"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1205","CM1205-08CP","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1205-08CP","http://www.onsemi.com/pub/Collateral/CM1205-D.PDF","ESD Protection Array","Pb-free
Halide free","Active","ESD Protection Array","General I/O
MIPI","8","Unidirectional","47","5.6","3.3","0.1","-","WLCSP-10"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1213A","CM1213A-01SO","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1213A-01SO","http://www.onsemi.com/pub/Collateral/CM1213A-D.PDF","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","DVI
HDMI 1.2
USB 2.0","1
2
4","Unidirectional","1.2","6","3.3","1","0.225
0.4","MSOP-10
SC-74
SC-88-6 / SC-70-6 / SOT-363-6
SOT-143-4
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1213A","CM1213A-02SO","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1213A-02SO","http://www.onsemi.com/pub/Collateral/CM1213A-D.PDF","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","DVI
HDMI 1.2
USB 2.0","1
2
4","Unidirectional","1.2","6","3.3","1","0.225
0.4","MSOP-10
SC-74
SC-88-6 / SC-70-6 / SOT-363-6
SOT-143-4
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1213A","CM1213A-02SR","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1213A-02SR","http://www.onsemi.com/pub/Collateral/CM1213A-D.PDF","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","DVI
HDMI 1.2
USB 2.0","1
2
4","Unidirectional","1.2","6","3.3","1","0.225
0.4","MSOP-10
SC-74
SC-88-6 / SC-70-6 / SOT-363-6
SOT-143-4
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1213A","CM1213A-04MR","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1213A-04MR","http://www.onsemi.com/pub/Collateral/CM1213A-D.PDF","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","DVI
HDMI 1.2
USB 2.0","1
2
4","Unidirectional","1.2","6","3.3","1","0.225
0.4","MSOP-10
SC-74
SC-88-6 / SC-70-6 / SOT-363-6
SOT-143-4
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1213A","CM1213A-04S7","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1213A-04S7","http://www.onsemi.com/pub/Collateral/CM1213A-D.PDF","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","DVI
HDMI 1.2
USB 2.0","1
2
4","Unidirectional","1.2","6","3.3","1","0.225
0.4","MSOP-10
SC-74
SC-88-6 / SC-70-6 / SOT-363-6
SOT-143-4
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1213A","SZCM1213A-02SR","http://www.onsemi.cn/PowerSolutions/product.do?id=SZCM1213A-02SR","http://www.onsemi.com/pub/Collateral/CM1213A-D.PDF","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Low Capacitance, 1, 2 and 4-Channel","DVI
HDMI 1.2
USB 2.0","1
2
4","Unidirectional","1.2","6","3.3","1","0.225
0.4","MSOP-10
SC-74
SC-88-6 / SC-70-6 / SOT-363-6
SOT-143-4
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1214A","CM1214A-01SO","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1214A-01SO","http://www.onsemi.com/pub/Collateral/CM1214A-D.PDF","AC Signal ESD Protectors","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","AC Signal ESD Protectors","Ethernet (10/100 Gigabit)
Ethernet (10/100, Gigabit)","2
4","Bidirectional","0.8","-","5.5","1","0.225
0.4","Micro8™
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1214A","CM1214A-02MR","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1214A-02MR","http://www.onsemi.com/pub/Collateral/CM1214A-D.PDF","AC Signal ESD Protectors","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","AC Signal ESD Protectors","Ethernet (10/100 Gigabit)
Ethernet (10/100, Gigabit)","2
4","Bidirectional","0.8","-","5.5","1","0.225
0.4","Micro8™
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1214A","SZCM1214A-01SO","http://www.onsemi.cn/PowerSolutions/product.do?id=SZCM1214A-01SO","http://www.onsemi.com/pub/Collateral/CM1214A-D.PDF","AC Signal ESD Protectors","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","AC Signal ESD Protectors","Ethernet (10/100 Gigabit)
Ethernet (10/100, Gigabit)","2
4","Bidirectional","0.8","-","5.5","1","0.225
0.4","Micro8™
SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1223","CM1223-02SO","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1223-02SO","http://www.onsemi.com/pub/Collateral/CM1223-D.PDF","ESD Protection Arrays, Low Capacitance, with Backdrive Protection","Pb-free
Halide free","Active","ESD Protection Arrays, Low Capacitance, with Backdrive Protection","DVI
HDMI 1.2
USB 2.0","2","Unidirectional","1.5","6","5.5","1","0.225","SOT-143-4
SOT-23-8"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1223","CM1223-02SR","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1223-02SR","http://www.onsemi.com/pub/Collateral/CM1223-D.PDF","ESD Protection Arrays, Low Capacitance, with Backdrive Protection","Pb-free
Halide free","Active","ESD Protection Arrays, Low Capacitance, with Backdrive Protection","DVI
HDMI 1.2
USB 2.0","2","Unidirectional","1.5","6","5.5","1","0.225","SOT-143-4
SOT-23-8"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1230","CM1230-02CP","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1230-02CP","http://www.onsemi.com/pub/Collateral/CM1230-D.PDF","Low Capacitance ESD Protection Arrays","Pb-free
Halide free","Active","Low Capacitance ESD Protection Arrays","USB 2.0","2
4
8","Unidirectional","1.2","-","5.5","1","-","WLCSP-10
WLCSP-4
WLCSP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1230","CM1230-04CP","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1230-04CP","http://www.onsemi.com/pub/Collateral/CM1230-D.PDF","Low Capacitance ESD Protection Arrays","Pb-free
Halide free","Active","Low Capacitance ESD Protection Arrays","USB 2.0","2
4
8","Unidirectional","1.2","-","5.5","1","-","WLCSP-10
WLCSP-4
WLCSP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","CM1230","CM1230-08CP","http://www.onsemi.cn/PowerSolutions/product.do?id=CM1230-08CP","http://www.onsemi.com/pub/Collateral/CM1230-D.PDF","Low Capacitance ESD Protection Arrays","Pb-free
Halide free","Active","Low Capacitance ESD Protection Arrays","USB 2.0","2
4
8","Unidirectional","1.2","-","5.5","1","-","WLCSP-10
WLCSP-4
WLCSP-6"
