"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Dir","V(BR) Typ (V)","PPK Max (W)","VRWM Max (V)","IR Max (uA)","VC Max (V)","Package Type"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6267A","1.5KE6.8AG","http://www.onsemi.cn/PowerSolutions/product.do?id=1.5KE6.8AG","http://www.onsemi.com/pub/Collateral/1N6267A.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 6.8 V Unidirectional","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 6.8 V Unidirectional","Unidirectional","6.8","1500","5.8","1000","10.5","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6267A","1.5KE6.8ARL4G","http://www.onsemi.cn/PowerSolutions/product.do?id=1.5KE6.8ARL4G","http://www.onsemi.com/pub/Collateral/1N6267A.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 6.8 V Unidirectional","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 6.8 V Unidirectional","Unidirectional","6.8","1500","5.8","1000","10.5","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6267A","1N6267AG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N6267AG","http://www.onsemi.com/pub/Collateral/1N6267A.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 6.8 V Unidirectional","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 6.8 V Unidirectional","Unidirectional","6.8","1500","5.8","1000","10.5","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6267A","1N6267ARL4G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N6267ARL4G","http://www.onsemi.com/pub/Collateral/1N6267A.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 6.8 V Unidirectional","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 6.8 V Unidirectional","Unidirectional","6.8","1500","5.8","1000","10.5","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6272A","1.5KE11ARL4G","http://www.onsemi.cn/PowerSolutions/product.do?id=1.5KE11ARL4G","http://www.onsemi.com/pub/Collateral/1N6267A-D.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 11 V Unidir","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 11 V Unidir","Unidirectional","11","1500","9.4","5","15.6","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6274A","1.5KE13ARL4G","http://www.onsemi.cn/PowerSolutions/product.do?id=1.5KE13ARL4G","http://www.onsemi.com/pub/Collateral/1N6267A-D.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 13 V Unidir","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 13 V Unidir","Unidirectional","13","1500","11.1","5","18.2","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6274A","1N6274AG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N6274AG","http://www.onsemi.com/pub/Collateral/1N6267A-D.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 13 V Unidir","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 13 V Unidir","Unidirectional","13","1500","11.1","5","18.2","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6276A","1.5KE16AG","http://www.onsemi.cn/PowerSolutions/product.do?id=1.5KE16AG","http://www.onsemi.com/pub/Collateral/1N6267A.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 16 V Unidir","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 16 V Unidir","Unidirectional","16","1500","13.6","5","22.5","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6276A","1.5KE16ARL4G","http://www.onsemi.cn/PowerSolutions/product.do?id=1.5KE16ARL4G","http://www.onsemi.com/pub/Collateral/1N6267A.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 16 V Unidir","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 16 V Unidir","Unidirectional","16","1500","13.6","5","22.5","Axial Lead-2"
"on","ESD及EMI保护二极管及滤波器---瞬态电压抑制器 (TVS)","1N6276A","1N6276AG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N6276AG","http://www.onsemi.com/pub/Collateral/1N6267A.PDF","1500 Watt MOSORB® Transient Voltage Suppressor, 16 V Unidir","Pb-free
Halide free","Active","1500 Watt MOSORB&#174; Transient Voltage Suppressor, 16 V Unidir","Unidirectional","16","1500","13.6","5","22.5","Axial Lead-2"
