"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channel Polarity","IDSS Min (uA)","IDSS Max (uA)","V(BR)GSS Min (V)","Ciss Max (pF)","Crss Max (pF)","Package Type"
"on","IGBT 和 FET---JFET","2SK2394","2SK2394-6-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK2394-6-TB-E","http://www.onsemi.com/pub/Collateral/EN4839-D.PDF","N-Channel JFET, 15V, 6 to 32mA, 38mS, CP","Pb-free","Active","N-Channel JFET, 15V, 6 to 32mA, 38mS, CP","N-Channel","10000
16000","20000
32000","-15","10","2.9","SC-59-3 / CP-3"
"on","IGBT 和 FET---JFET","2SK2394","2SK2394-7-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK2394-7-TB-E","http://www.onsemi.com/pub/Collateral/EN4839-D.PDF","N-Channel JFET, 15V, 6 to 32mA, 38mS, CP","Pb-free","Active","N-Channel JFET, 15V, 6 to 32mA, 38mS, CP","N-Channel","10000
16000","20000
32000","-15","10","2.9","SC-59-3 / CP-3"
"on","IGBT 和 FET---JFET","2SK3666","2SK3666-2-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK3666-2-TB-E","http://www.onsemi.com/pub/Collateral/2SK3666-D.PDF","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, CP","Pb-free","Active","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, CP","N-Channel","600
1200","1500
3000","-30","4","1.1","SC-59-3 / CP-3"
"on","IGBT 和 FET---JFET","2SK3666","2SK3666-3-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK3666-3-TB-E","http://www.onsemi.com/pub/Collateral/2SK3666-D.PDF","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, CP","Pb-free","Active","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, CP","N-Channel","600
1200","1500
3000","-30","4","1.1","SC-59-3 / CP-3"
"on","IGBT 和 FET---JFET","2SK3796","2SK3796-2-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK3796-2-TL-E","http://www.onsemi.com/pub/Collateral/2SK3796-D.PDF","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, SMCP","Pb-free","Active","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, SMCP","N-Channel","600
1200","1500
3000","-30","4","1.1","SC-75 / SMCP"
"on","IGBT 和 FET---JFET","2SK3796","2SK3796-3-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK3796-3-TL-E","http://www.onsemi.com/pub/Collateral/2SK3796-D.PDF","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, SMCP","Pb-free","Active","N-Channel JFET, 30V, 0.6 to 6.0mA, 6.5mS, SMCP","N-Channel","600
1200","1500
3000","-30","4","1.1","SC-75 / SMCP"
"on","IGBT 和 FET---JFET","2SK545","2SK545-11D-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK545-11D-TB-E","http://www.onsemi.com/pub/Collateral/EN1789-D.PDF","N-Channel JFET, 40V, 55 to 95uA, 0.10mS, CP","Pb-free","Active","N-Channel JFET, 40V, 55 to 95uA, 0.10mS, CP","N-Channel","55","95","-40","1.7","0.7","SC-59-3 / CP-3"
"on","IGBT 和 FET---JFET","CPH3910","CPH3910-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3910-TL-E","http://www.onsemi.com/pub/Collateral/ENA1965-D.PDF","N-Channel JFET, 25V, 20 to 40mA, 40mS, CPH3","Pb-free","Active","N-Channel JFET, 25V, 20 to 40mA, 40mS, CPH3","N-Channel","20000","40000","-25","6","2.3","CPH-3"
"on","IGBT 和 FET---JFET","CPH5902","CPH5902G-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH5902G-TL-E","http://www.onsemi.com/pub/Collateral/CPH5902-D.PDF","N-Channel JFET and NPN Bipolar Transistor, 15V, 10 to 32mA, 50V, 150mA, Composite type CPH5, I","Pb-free","Active","N-Channel JFET and NPN Bipolar Transistor, 15V, 10 to 32mA, 50V, 150mA, Composite type CPH5","N Channel & NPN","10000
16000","20000
32000","-15","10","2.9","CPH-5"
"on","IGBT 和 FET---JFET","CPH5902","CPH5902H-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH5902H-TL-E","http://www.onsemi.com/pub/Collateral/CPH5902-D.PDF","N-Channel JFET and NPN Bipolar Transistor, 15V, 10 to 32mA, 50V, 150mA, Composite type CPH5, I","Pb-free","Active","N-Channel JFET and NPN Bipolar Transistor, 15V, 10 to 32mA, 50V, 150mA, Composite type CPH5","N Channel & NPN","10000
16000","20000
32000","-15","10","2.9","CPH-5"
