"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channel Polarity","Configuration","V(BR)DSS Min (V)","VGS Max (V)","VGS(th) Max (V)","ID Max (A)","PD Max (W)","rDS(on) Max @ VGS = 2.5 V  (mOhms)","rDS(on) Max @ VGS = 4.5 V  (mOhms)","rDS(on) Max @ VGS = 10 V  (mOhms)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Ciss Typ (pF)","Coss Typ (pF)","Crss Typ (pF)","Package Type"
"on","IGBT 和 FET---MOSFET","1HN04CH","1HN04CH-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=1HN04CH-TL-W","http://www.onsemi.com/pub/Collateral/ENA0925-D.PDF","Power MOSFET, 100V, 8Ω, 270mA, Single N-Channel","Pb-free
Halide free","Active","Power MOSFET, 100V, 8Ω, 270mA, Single N-Channel","N-Channel","Single","100","20","2.6","0.27","0.6",,"9800","8000",,"0.9",,,"15","3.1","0.9","CPH-3"
"on","IGBT 和 FET---MOSFET","2N7002E","2N7002ET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N7002ET1G","http://www.onsemi.com/pub/Collateral/2N7002E-D.PDF","Small Signal MOSFET 60V 310mA 2.5 Ohm Single N-Channel SOT-23","Pb-free
Halide free","Active","Small Signal MOSFET 60V 310mA 2.5 Ohm Single N-Channel SOT-23","N-Channel","Single","60","20","2.5","0.26","0.3",,"3000","2500",,"0.81","0.08",,"26.7","4.6","2.9","SOT-23-3"
"on","IGBT 和 FET---MOSFET","2N7002L","2N7002LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N7002LT1G","http://www.onsemi.com/pub/Collateral/2N7002L-D.PDF","Small Signal MOSFET 60V 115mA 7.5 Ohm Single N-Channel SOT-23","Pb-free
Halide free","Active","Small Signal MOSFET 60V 115mA 7.5 Ohm Single N-Channel SOT-23","N-Channel","Single","60","20","2.5","0.115","0.3",,,"7500",,,,,"50","25","5","SOT-23-3"
"on","IGBT 和 FET---MOSFET","2N7002L","2N7002LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N7002LT3G","http://www.onsemi.com/pub/Collateral/2N7002L-D.PDF","Small Signal MOSFET 60V 115mA 7.5 Ohm Single N-Channel SOT-23","Pb-free
Halide free","Active","Small Signal MOSFET 60V 115mA 7.5 Ohm Single N-Channel SOT-23","N-Channel","Single","60","20","2.5","0.115","0.3",,,"7500",,,,,"50","25","5","SOT-23-3"
"on","IGBT 和 FET---MOSFET","2SJ652","2SJ652-1E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SJ652-1E","http://www.onsemi.com/pub/Collateral/2SJ652-D.PDF","P-Channel Power MOSFET, -60V, -28A, 38mΩ, TO-220F-3SG","Pb-free","Active","P-Channel Power MOSFET, -60V, -28A, 38mΩ, TO-220F-3SG","P-Channel","Single","-60","20","-2.6","-28","2",,"55.5","38",,"80","12",,"4360","470","335","TO-220 Fullpack, 3-Lead / TO-220F-3FG"
"on","IGBT 和 FET---MOSFET","2SK3703","2SK3703-1E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK3703-1E","http://www.onsemi.com/pub/Collateral/2SK3703-D.PDF","N-Channel Power MOSFET, 60V, 30A, 26mΩ, TO-220F-3SG","Pb-free","Active","N-Channel Power MOSFET, 60V, 30A, 26mΩ, TO-220F-3SG","N-Channel","Single","60","20","2.6","30","2",,"40","26",,"40","11.5",,"1780","266","197","TO-220 Fullpack, 3-Lead / TO-220F-3FG"
"on","IGBT 和 FET---MOSFET","2SK3816","2SK3816-DL-1E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK3816-DL-1E","http://www.onsemi.com/pub/Collateral/ENN8054-D.PDF","N-Channel Power MOSFET, 60V, 40A, 26mΩ, Single TO-262-3L/TO-263-2L","Pb-free","Active","N-Channel Power MOSFET, 60V, 40A, 26mΩ, Single TO-262-3L/TO-263-2L","N-Channel","Single","60","20","2.6","40","1.65",,,"26",,"40","11.5",,"1780","266","197","D2PAK / TO-263-2L"
"on","IGBT 和 FET---MOSFET","2SK4066","2SK4066-1E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK4066-1E","http://www.onsemi.com/pub/Collateral/2SK4066-D.PDF","N-Channel Power MOSFET, 60V, 100A, 4.7mΩ, TO-262-3L/TO-263-2L","Pb-free","Active","N-Channel Power MOSFET, 60V, 100A, 4.7mΩ, TO-262-3L/TO-263-2L","N-Channel","Single","60","20","2.6","100","1.65",,"6.6","4.7",,"220","55",,"12500","1200","950","D2PAK / TO-263-2L
I2PAK / TO-262-3L"
"on","IGBT 和 FET---MOSFET","2SK4066","2SK4066-DL-1E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK4066-DL-1E","http://www.onsemi.com/pub/Collateral/2SK4066-D.PDF","N-Channel Power MOSFET, 60V, 100A, 4.7mΩ, TO-262-3L/TO-263-2L","Pb-free","Active","N-Channel Power MOSFET, 60V, 100A, 4.7mΩ, TO-262-3L/TO-263-2L","N-Channel","Single","60","20","2.6","100","1.65",,"6.6","4.7",,"220","55",,"12500","1200","950","D2PAK / TO-263-2L
I2PAK / TO-262-3L"
"on","IGBT 和 FET---MOSFET","2SK4124","2SK4124-1E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SK4124-1E","http://www.onsemi.com/pub/Collateral/2SK4124-D.PDF","N-Channel Power MOSFET, 500V, 20A, 430mΩ, TO-3P-3L","Pb-free","Active","N-Channel Power MOSFET, 500V, 20A, 430mΩ, TO-3P-3L","N-Channel","Single","500","30","5","20","2.5",,,"43",,"46.6","27.3",,"1200","250","55","TO-3P-3L"
