"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channel Polarity","V(BR)DSS Min (V)","ID Typ (A)","rDS(on) Max (mOhms)","PD Max (W)","Package Type"
"on","IGBT 和 FET---保护 MOSFETs","9N05A","NIC9N05ACLF","http://www.onsemi.cn/PowerSolutions/product.do?id=NIC9N05ACLF","http://www.onsemi.com/pub/Collateral/NID9N05CL-D.PDF","Power MOSFET, N-Channel, Logic Level, Clamped MOSFET with ESD Protection","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Power MOSFET, N-Channel, Logic Level, Clamped MOSFET with ESD Protection","N-Channel","52","9","181","28.8","Bare Die
DPAK-3"
"on","IGBT 和 FET---保护 MOSFETs","9N05A","NIC9N05ATS1","http://www.onsemi.cn/PowerSolutions/product.do?id=NIC9N05ATS1","http://www.onsemi.com/pub/Collateral/NID9N05CL-D.PDF","Power MOSFET, N-Channel, Logic Level, Clamped MOSFET with ESD Protection","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Power MOSFET, N-Channel, Logic Level, Clamped MOSFET with ESD Protection","N-Channel","52","9","181","28.8","Bare Die
DPAK-3"
"on","IGBT 和 FET---保护 MOSFETs","9N05A","NID9N05ACLT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NID9N05ACLT4G","http://www.onsemi.com/pub/Collateral/NID9N05CL-D.PDF","Power MOSFET, N-Channel, Logic Level, Clamped MOSFET with ESD Protection","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Power MOSFET, N-Channel, Logic Level, Clamped MOSFET with ESD Protection","N-Channel","52","9","181","28.8","Bare Die
DPAK-3"
"on","IGBT 和 FET---保护 MOSFETs","HBL5006","HBL5006HT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=HBL5006HT1G","http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF","LED Electronic Shunt","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Electronic Shunt",,"5.5","0.0000005",,"1.56","SOD-323
SOD-523-2
SOD-923-2"
"on","IGBT 和 FET---保护 MOSFETs","HBL5006","HBL5006P2T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=HBL5006P2T5G","http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF","LED Electronic Shunt","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Electronic Shunt",,"5.5","0.0000005",,"1.56","SOD-323
SOD-523-2
SOD-923-2"
"on","IGBT 和 FET---保护 MOSFETs","HBL5006","HBL5006XV2T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=HBL5006XV2T1G","http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF","LED Electronic Shunt","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Electronic Shunt",,"5.5","0.0000005",,"1.56","SOD-323
SOD-523-2
SOD-923-2"
"on","IGBT 和 FET---保护 MOSFETs","HBL5006","SZHBL5006HT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZHBL5006HT1G","http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF","LED Electronic Shunt","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Electronic Shunt",,"5.5","0.0000005",,"1.56","SOD-323
SOD-523-2
SOD-923-2"
"on","IGBT 和 FET---保护 MOSFETs","HBL5006","SZHBL5006P2T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZHBL5006P2T5G","http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF","LED Electronic Shunt","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Electronic Shunt",,"5.5","0.0000005",,"1.56","SOD-323
SOD-523-2
SOD-923-2"
"on","IGBT 和 FET---保护 MOSFETs","HBL5006","SZHBL5006XV2T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZHBL5006XV2T1G","http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF","LED Electronic Shunt","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Electronic Shunt",,"5.5","0.0000005",,"1.56","SOD-323
SOD-523-2
SOD-923-2"
"on","IGBT 和 FET---保护 MOSFETs","NCV8402A","NCV8402ASTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8402ASTT1G","http://www.onsemi.com/pub/Collateral/NCV8402-D.PDF","Self-Protected N-Channel Power MOSFET","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected N-Channel Power MOSFET","N-Channel","42","2","165","8.9","SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8402A","NCV8402ASTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8402ASTT3G","http://www.onsemi.com/pub/Collateral/NCV8402-D.PDF","Self-Protected N-Channel Power MOSFET","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected N-Channel Power MOSFET","N-Channel","42","2","165","8.9","SOT-223-4 / TO-261-4"
