"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","VI Max (V)","IO Max (mA)","LEDs in Series, Max #","LEDs in Parallel, Max #","Package Type"
"on","LED Drivers---LED驱动器","CAT4002A","CAT4002ASD-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT4002ASD-GT3","http://www.onsemi.com/pub/Collateral/CAT4002A-D.PDF","LED Driver, 2-Channel, with 32 Dimming Levels and Reset","Pb-free
Halide free","Active","LED Driver, 2-Channel, with 32 Dimming Levels and Reset","5.5","40","1","2","SC-88-6 / SC-70-6
TSOT-23-6"
"on","LED Drivers---LED驱动器","CAT4002A","CAT4002ATD-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT4002ATD-GT3","http://www.onsemi.com/pub/Collateral/CAT4002A-D.PDF","LED Driver, 2-Channel, with 32 Dimming Levels and Reset","Pb-free
Halide free","Active","LED Driver, 2-Channel, with 32 Dimming Levels and Reset","5.5","40","1","2","SC-88-6 / SC-70-6
TSOT-23-6"
"on","LED Drivers---LED驱动器","CAT4004A","CAT4004AHU2-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT4004AHU2-GT3","http://www.onsemi.com/pub/Collateral/CAT4004A-D.PDF","LED Driver, 4-Channel, with 32 Dimming Levels and Reset","Pb-free
Halide free","Active","LED Driver, 4-Channel, with 32 Dimming Levels and Reset","5.5","40","1","4","UDFN-8"
"on","LED Drivers---LED驱动器","CAT4008","CAT4008Y-T2","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT4008Y-T2","http://www.onsemi.com/pub/Collateral/CAT4008-D.PDF","LED Driver, 8-Channel, Constant Current","Pb-free
Halide free","Active","LED Driver, 8-Channel, Constant Current","5.5","800","8","8","TSSOP-16"
"on","LED Drivers---LED驱动器","CAT4026","CAT4026V-T1","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT4026V-T1","http://www.onsemi.com/pub/Collateral/CAT4026-D.PDF","LED Controller, 6-Channel, with Fault Diagnostics","Pb-free
Halide free","Active","LED Controller, 6-Channel, with Fault Diagnostics","5.5","-","80","6","SOIC-28W"
"on","LED Drivers---LED驱动器","CAT4104","CAT4104V-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT4104V-GT3","http://www.onsemi.com/pub/Collateral/CAT4104-D.PDF","LED Driver, 4-Channels, 700 mA","Pb-free
Halide free","Active","LED Driver, 4-Channels, 700 mA","5.5","700","8","4","SOIC-8
TDFN-8"
"on","LED Drivers---LED驱动器","CAT4104","CAT4104VP2-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT4104VP2-GT3","http://www.onsemi.com/pub/Collateral/CAT4104-D.PDF","LED Driver, 4-Channels, 700 mA","Pb-free
Halide free","Active","LED Driver, 4-Channels, 700 mA","5.5","700","8","4","SOIC-8
TDFN-8"
"on","LED Drivers---LED驱动器","LV5212VH","LV5212VH-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5212VH-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1585-D.PDF","LED Driver, 8-Channel","Pb-free
Halide free","Active","LED Driver, 8-Channel","5.5","300",,"8","HSSOP-16"
"on","LED Drivers---LED驱动器","LV5234V","LV5234VZ-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5234VZ-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1936-D.PDF","LED Driver, 9-Channel","Pb-free
Halide free","Active","LED Driver, 9-Channel","5.5","100",,"9","SSOP-30"
"on","LED Drivers---LED驱动器","LV5236V","LV5236V-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5236V-MPB-H","http://www.onsemi.com/pub/Collateral/ENA1943-D.PDF","LED Driver, 24-Channel","Pb-free
Halide free","Active","LED Driver, 24-Channel","5.5","50
100",,"24","SSOP-44J EP"
"on","LED Drivers---LED驱动器","LV5236V","LV5236VZ-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5236VZ-MPB-H","http://www.onsemi.com/pub/Collateral/ENA1943-D.PDF","LED Driver, 24-Channel","Pb-free
Halide free","Active","LED Driver, 24-Channel","5.5","50
100",,"24","SSOP-44J EP"
"on","LED Drivers---LED驱动器","LV5236V","LV5236VZ-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5236VZ-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1943-D.PDF","LED Driver, 24-Channel","Pb-free
Halide free","Active","LED Driver, 24-Channel","5.5","50
100",,"24","SSOP-44J EP"
"on","LED Drivers---LED驱动器","LV5239TA","LV5239TAZ-NH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5239TAZ-NH","http://www.onsemi.com/pub/Collateral/LV5239TA-D.PDF","LED Driver, 24-channel","Pb-free
Halide free","ActiveNEW","LED Driver, 24-channel","12.8","50
100","10","24","QFP-48 / TQFP-48"
"on","LED Drivers---LED驱动器","NCV7680","NCV7680PWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV7680PWR2G","http://www.onsemi.com/pub/Collateral/NCV7680-D.PDF","LED Driver for Automotive LED Rear Combination Lamps","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","LED Driver for Automotive LED Rear Combination Lamps","45","75",,"16","SOIC-16W EP"
"on","LED Drivers---LED驱动器","NLSF595","NLSF595DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSF595DTR2G","http://www.onsemi.com/pub/Collateral/NLSF595-D.PDF","Tri-Color LED Driver","Pb-free
Halide free","Active","Tri-Color LED Driver","7","12","1","8","QFN-16
TSSOP-16"
"on","LED Drivers---LED驱动器","NLSF595","NLSF595MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSF595MNR2G","http://www.onsemi.com/pub/Collateral/NLSF595-D.PDF","Tri-Color LED Driver","Pb-free
Halide free","Active","Tri-Color LED Driver","7","12","1","8","QFN-16
TSSOP-16"
