"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Configuration","VRRM Min (V)","VF Max (V)","IRM Max (uA)","IF Max (A)","trr Max (ns)","Cj Max (pF)","Package Type"
"on","二极管和整流器---小信号开关二极管","1SS400","1SS400T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=1SS400T1G","http://www.onsemi.com/pub/Collateral/1SS400T1-D.PDF","Switching Diode, 100 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Switching Diode, 100 V","Single","100","1.2","0.1","0.2","4","3","SOD-523-2"
"on","二极管和整流器---小信号开关二极管","1SS400","1SS400T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=1SS400T5G","http://www.onsemi.com/pub/Collateral/1SS400T1-D.PDF","Switching Diode, 100 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Switching Diode, 100 V","Single","100","1.2","0.1","0.2","4","3","SOD-523-2"
"on","二极管和整流器---小信号开关二极管","1SS400","NSV1SS400T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSV1SS400T1G","http://www.onsemi.com/pub/Collateral/1SS400T1-D.PDF","Switching Diode, 100 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Switching Diode, 100 V","Single","100","1.2","0.1","0.2","4","3","SOD-523-2"
"on","二极管和整流器---小信号开关二极管","BAS116L","BAS116LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=BAS116LT1G","http://www.onsemi.com/pub/Collateral/BAS116LT1-D.PDF","75 V Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","75 V Switching Diode","Single","75","1.1","0.005","0.2","3000","2","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","BAS116L","BAS116LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=BAS116LT3G","http://www.onsemi.com/pub/Collateral/BAS116LT1-D.PDF","75 V Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","75 V Switching Diode","Single","75","1.1","0.005","0.2","3000","2","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","BAS116L","NSVBAS116LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSVBAS116LT3G","http://www.onsemi.com/pub/Collateral/BAS116LT1-D.PDF","75 V Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","75 V Switching Diode","Single","75","1.1","0.005","0.2","3000","2","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","BAS116L","SBAS116LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SBAS116LT1G","http://www.onsemi.com/pub/Collateral/BAS116LT1-D.PDF","75 V Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","75 V Switching Diode","Single","75","1.1","0.005","0.2","3000","2","SOT-23-3"
"on","二极管和整流器---小信号开关二极管","BAS16","BAS16DXV6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=BAS16DXV6T1G","http://www.onsemi.com/pub/Collateral/BAS16DXV6-D.PDF","Dual Switching Diode, 100 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Dual Switching Diode, 100 V","Dual","100","1","0.02","0.2","6","2","SOT-563"
"on","二极管和整流器---小信号开关二极管","BAS16","SBAS16DXV6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SBAS16DXV6T1G","http://www.onsemi.com/pub/Collateral/BAS16DXV6-D.PDF","Dual Switching Diode, 100 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Dual Switching Diode, 100 V","Dual","100","1","0.02","0.2","6","2","SOT-563"
"on","二极管和整流器---小信号开关二极管","BAS16L","BAS16LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=BAS16LT1G","http://www.onsemi.com/pub/Collateral/BAS16LT1-D.PDF","100 V Switching Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","100 V Switching Diode","Single","100","1","1","0.2","6","2","SOT-23-3"
