"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","IO(rec) Max (A)","trr Max (ns)","VRRM Max (V)","VFM Max (V)","IFSM Max (A)","IR Max (mA)","Package Type"
"on","二极管和整流器---整流器","1N4001","1N4001G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4001G","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Rectifier, 50 V, 1.0 A","Pb-free
Halide free","Active","Standard Rectifier, 50 V, 1.0 A ","Standard Recovery","1",,"50","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4001","1N4001RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4001RLG","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Rectifier, 50 V, 1.0 A","Pb-free
Halide free","Active","Standard Rectifier, 50 V, 1.0 A ","Standard Recovery","1",,"50","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4003","1N4003G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4003G","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Recovery Rectifier, 200 V, 1.0 A","Pb-free
Halide free","Active","Standard Recovery Rectifier, 200 V, 1.0 A","Standard Recovery","1",,"200","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4003","1N4003RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4003RLG","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Recovery Rectifier, 200 V, 1.0 A","Pb-free
Halide free","Active","Standard Recovery Rectifier, 200 V, 1.0 A","Standard Recovery","1",,"200","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4005","1N4005G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4005G","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Rectifier, 600 V, 1.0 A","Pb-free
Halide free","Active","Standard Rectifier, 600 V, 1.0 A ","Standard Recovery","1",,"600","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4005","1N4005RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4005RLG","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Rectifier, 600 V, 1.0 A","Pb-free
Halide free","Active","Standard Rectifier, 600 V, 1.0 A ","Standard Recovery","1",,"600","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4007","1N4007FFG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4007FFG","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Rectifier, 1000 V, 1.0 A","Pb-free
Halide free","Active","Standard Rectifier, 1000 V, 1.0 A ","Standard Recovery","1",,"1000","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4007","1N4007G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4007G","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Rectifier, 1000 V, 1.0 A","Pb-free
Halide free","Active","Standard Rectifier, 1000 V, 1.0 A ","Standard Recovery","1",,"1000","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4007","1N4007RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4007RLG","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF","Standard Rectifier, 1000 V, 1.0 A","Pb-free
Halide free","Active","Standard Rectifier, 1000 V, 1.0 A ","Standard Recovery","1",,"1000","1.1","30","0.01","Axial Lead-2"
"on","二极管和整流器---整流器","1N4934","1N4934G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N4934G","http://www.onsemi.com/pub/Collateral/1N4933-D.PDF","100 V, 1.0 A Fast Recovery Rectifier","Pb-free
Halide free","Active","100 V, 1.0 A Fast Recovery Rectifier","Fast Recovery","1","200","100","1.2","30","0.005","Axial Lead-2"
