"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Configuration","VRRM Min (V)","VF Max (V)","IRM Max (uA)","IO(rec) Max (A)","IFSM Max (A)","trr Max (ns)","Cj Max (pF)","Package Type"
"on","二极管和整流器---肖特基二极管及整流器","1N5817","1N5817G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5817G","http://www.onsemi.com/pub/Collateral/1N5817-D.PDF","20 V, 1.0 A Schottky Rectifier","Pb-free
Halide free","Active","20 V, 1.0 A Schottky Rectifier","Single","20","0.45","1000","1","25",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","1N5817","1N5817RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5817RLG","http://www.onsemi.com/pub/Collateral/1N5817-D.PDF","20 V, 1.0 A Schottky Rectifier","Pb-free
Halide free","Active","20 V, 1.0 A Schottky Rectifier","Single","20","0.45","1000","1","25",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","1N5819","1N5819G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5819G","http://www.onsemi.com/pub/Collateral/1N5817-D.PDF","Schottky Barrier Rectifier, 1.0 A, 40 V","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 1.0 A, 40 V","Single","40","0.6","1000","1","25",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","1N5819","1N5819RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5819RLG","http://www.onsemi.com/pub/Collateral/1N5817-D.PDF","Schottky Barrier Rectifier, 1.0 A, 40 V","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 1.0 A, 40 V","Single","40","0.6","1000","1","25",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","1N5821","1N5821G","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5821G","http://www.onsemi.com/pub/Collateral/1N5820-D.PDF","Schottky Barrier Rectifier, 3.0 A, 30 V","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 3.0 A, 30 V","Single","30","0.5","2000","3","80",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","1N5821","1N5821RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5821RLG","http://www.onsemi.com/pub/Collateral/1N5820-D.PDF","Schottky Barrier Rectifier, 3.0 A, 30 V","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 3.0 A, 30 V","Single","30","0.5","2000","3","80",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","1SS351","1SS351-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=1SS351-TB-E","http://www.onsemi.com/pub/Collateral/EN3240-D.PDF","Schottky Barrier Diode, 5V, 30mA, 0.69pF, Dual CP","Pb-free","Active","Schottky Barrier Diode, 5V, 30mA, 0.69pF, Dual CP","Series","5","0.23","25",,"0.03",,,"SC-59-3 / CP-3"
"on","二极管和整流器---肖特基二极管及整流器","BAS40-04L","BAS40-04LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=BAS40-04LT1G","http://www.onsemi.com/pub/Collateral/BAS40-04LT1-D.PDF","40 V Schottky Diode, dual, series","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","40 V Schottky Diode, dual, series","Series","40","0.38","1","0.12","0.2","-","5","SOT-23-3"
"on","二极管和整流器---肖特基二极管及整流器","BAS40-04L","SBAS40-04LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SBAS40-04LT1G","http://www.onsemi.com/pub/Collateral/BAS40-04LT1-D.PDF","40 V Schottky Diode, dual, series","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","40 V Schottky Diode, dual, series","Series","40","0.38","1","0.12","0.2","-","5","SOT-23-3"
"on","二极管和整流器---肖特基二极管及整流器","BAS40L","BAS40LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=BAS40LT1G","http://www.onsemi.com/pub/Collateral/BAS40LT1-D.PDF","40 V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","40 V Schottky Diode","Single","40","0.38","1","0.12","0.2","-","5","SOT-23-3"
