"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","VZ Typ (V)","P Max (W)","Package Type"
"on","二极管和整流器---齐纳二极管","1N53","1N5333BG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5333BG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5333BRLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5333BRLG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5334BRLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5334BRLG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5336BG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5336BG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5336BRLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5336BRLG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5337BG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5337BG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5337BRLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5337BRLG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5338BG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5338BG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5338BRLG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5338BRLG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
"on","二极管和整流器---齐纳二极管","1N53","1N5339BG","http://www.onsemi.cn/PowerSolutions/product.do?id=1N5339BG","http://www.onsemi.com/pub/Collateral/1N5333B-D.PDF","5 Watt Surmetic 40 Zener Voltage Regulators","Pb-free
Halide free","Active","5 Watt Surmetic 40 Zener Voltage Regulators","3.3
3.6
4.3
4.7
5.1
5.6
6
6.2
6.8
7.5
8.2
8.7
9.1
10
11
12
13
14
15
16
17
18
19
20
22
24
25
27
28
30
33
36
39
43
47
51
56
60
62
68
75
82
91
100
120
130
150
160
180
190
200","5","Surmetic 40"
