"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Megapixels","Frame Rate (fps)","Optical Format","Shutter Type","Pixel Size (µm)","Color","Package Type"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSC00SPBA0-DP","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSC00SPBA0-DP","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSC00SPBA0-DR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSC00SPBA0-DR","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSC00SPBA0-DR1","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSC00SPBA0-DR1","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSC00SPCA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSC00SPCA0-DPBR","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSC00SPCA0-DPBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSC00SPCA0-DPBR1","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSC00SPCA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSC00SPCA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSC00SPCA0-DRBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSC00SPCA0-DRBR1","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSM00SPCA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSM00SPCA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSM00SPCA0-DRBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSM00SPCA0-DRBR1","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0130CS","AR0130CSSM00SUD20","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0130CSSM00SUD20","http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF","1.2 MP 1/3" CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" CMOS Image Sensor","CMOS","1","45","1/3 inch","Electronic Rolling","3.75 x 3.75","Mono
RGB","ILCC-48
PLCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SPCA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SPCA0-DPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SPCA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SPCA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SPCA0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SPCA0-TPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SPCA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SPCA0-TRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SUEA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SUEA0-DPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SUEA0-DPBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SUEA0-DPBR1","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SUEA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SUEA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SUEA0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SUEA0-TPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC00SUEA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC00SUEA0-TRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC25SUEA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC25SUEA0-DPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC25SUEA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC25SUEA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC25SUEA0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC25SUEA0-TPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSC25SUEA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSC25SUEA0-TRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SPCA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SPCA0-DPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
