"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","IC Continuous (A)","V(BR)CEO Min (V)","hFE Min","R1 (kΩ)","R2 (kΩ)","R1/R2 Typ","Vi(off) Max (V)","Vi(on) Min (V)","Package Type"
"on","双极晶体管---数字晶体管(BRT)","DTA113EE","DTA113EET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA113EET1G","http://www.onsemi.com/pub/Collateral/DTA113E-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","3","1","1","1","0.5","2","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA114EE","DTA114EET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA114EET1G","http://www.onsemi.com/pub/Collateral/DTA114E-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","35","10","10","1","0.8","2.5","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA114EE","NSVDTA114EET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSVDTA114EET1G","http://www.onsemi.com/pub/Collateral/DTA114E-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","35","10","10","1","0.8","2.5","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA114TE","DTA114TET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA114TET1G","http://www.onsemi.com/pub/Collateral/DTA114T-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","160","10","Infinity","-","0.5","1.7","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA114YE","DTA114YET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA114YET1G","http://www.onsemi.com/pub/Collateral/DTA114Y-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","80","10","47","0.213","0.5","1.4","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA114YE","SDTA114YET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SDTA114YET1G","http://www.onsemi.com/pub/Collateral/DTA114Y-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","80","10","47","0.213","0.5","1.4","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA115EE","DTA115EET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA115EET1G","http://www.onsemi.com/pub/Collateral/DTA115E-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","80","100","100","1","0.5","3","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA115EE","NSVDTA115EET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSVDTA115EET1G","http://www.onsemi.com/pub/Collateral/DTA115E-D.PDF","PNP Bipolar Digital Transistor (BRT), SS SC75 BR XSTR PNP 50V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","80","100","100","1","0.5","3","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA115TE","DTA115TET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA115TET1G","http://www.onsemi.com/pub/Collateral/DTA115T-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","160","100","infinity","-","0.5","1.5","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA123EE","DTA123EET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA123EET1G","http://www.onsemi.com/pub/Collateral/DTA123E-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","8","2.2","2.2","1","0.5","2","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA123JE","DTA123JET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA123JET1G","http://www.onsemi.com/pub/Collateral/DTA123J-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","80","2.2","47","0.047","0.5","1.1","SC-75-3"
"on","双极晶体管---数字晶体管(BRT)","DTA123TE","DTA123TET1G","http://www.onsemi.cn/PowerSolutions/product.do?id=DTA123TET1G","http://www.onsemi.com/pub/Collateral/DTA123T-D.PDF","PNP Bipolar Digital Transistor (BRT)","AEC Qualified
Pb-free
Halide free","Active","PNP Bipolar Digital Transistor (BRT)","PNP","0.1","50","160","2.2","Infinity","-","0.5","1.3","SC-75-3"
