"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","VCE(sat) Max (V)","IC Continuous (A)","V(BR)CEO Min (V)","hFE Min","hFE Max","fT Min (MHz)","PTM Max (W)","Package Type"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","12A02CH","12A02CH-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=12A02CH-TL-E","http://www.onsemi.com/pub/Collateral/EN7482-D.PDF","Bipolar Transistor, -12V, -1A, Low VCE(sat), PNP Single CPH3","Pb-free","Active","Bipolar Transistor, -12V, -1A, Low VCE(sat), PNP Single CPH3","PNP",,"1","12","300","700","450","0.7","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","15C01M","15C01M-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=15C01M-TL-E","http://www.onsemi.com/pub/Collateral/EN7505-D.PDF","Bipolar Transistor, 15V, 0.7A, Low VCE(sat) NPN Single MCP","Pb-free","Active","Bipolar Transistor, 15V, 0.7A, Low VCE(sat) NPN Single MCP","NPN",,"0.7","15","300","800","330","0.3","SC-70FL / MCPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N3055","2N3055G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N3055G","http://www.onsemi.com/pub/Collateral/2N3055-D.PDF","15 A, 60 V NPN Bipolar Power Transistor","Pb-free","Active","15 A, 60 V NPN Bipolar Power Transistor","NPN",,"15","60","20","70","2.5","115","TO-204-2"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N3442","2N3442G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N3442G","http://www.onsemi.com/pub/Collateral/2N3442-D.PDF","10 A, 140 V NPN Bipolar Power Transistor","Pb-free","Active","10 A, 140 V NPN Bipolar Power Transistor","NPN",,"10","140","20","70","0.08","117","TO-204-2"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N3772","2N3772G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N3772G","http://www.onsemi.com/pub/Collateral/2N3771-D.PDF","20 A, 60 V NPN Bipolar Power Transistor","Pb-free","Active","20 A, 60 V NPN Bipolar Power Transistor","NPN",,"20","60","15","60","0.2","150","TO-204-2"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N4918","2N4918G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N4918G","http://www.onsemi.com/pub/Collateral/2N4918-D.PDF","1.0 A, 40 V PNP Bipolar Power Transistor","Pb-free
Halide free","Active","1.0 A, 40 V PNP Bipolar Power Transistor","PNP",,"1","40","30","150","3","30","TO-225-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N4920","2N4920G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N4920G","http://www.onsemi.com/pub/Collateral/2N4918-D.PDF","1.0 A, 80 V PNP Bipolar Power Transistor","Pb-free
Halide free","Active","1.0 A, 80 V PNP Bipolar Power Transistor","PNP",,"1","80","30","150","3","30","TO-225-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N4922","2N4922G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N4922G","http://www.onsemi.com/pub/Collateral/2N4921-D.PDF","Medium Power NPN Bipolar Power Transistor","Pb-free
Halide free","Active","Medium Power NPN Bipolar Power Transistor","NPN",,"1","60","30","150","3","30","TO-225-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N5038","2N5038G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N5038G","http://www.onsemi.com/pub/Collateral/2N5038-D.PDF","NPN Bipolar Power Transistor","Pb-free","Active","NPN Bipolar Power Transistor","NPN",,"20","90","20","100","60","140","TO-204-2"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","2N5191","2N5191G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N5191G","http://www.onsemi.com/pub/Collateral/2N5191-D.PDF","4.0 A, 60 V NPN Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 60 V NPN Bipolar Power Transistor","NPN",,"4","60","25","100","2","40","TO-225-3"
