"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","IC Continuous (A)","VCEO(sus) Min (V)","hFE Min","hFE Max","PTM Max (W)","fT Min (MHz)","Package Type"
"on","双极晶体管---音频晶体管","12A02MH","12A02MH-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=12A02MH-TL-E","http://www.onsemi.com/pub/Collateral/ENN7483-D.PDF","Bipolar Transistor, -12V, -1A, Low VCE(sat) PNP Single MCPH3","Pb-free","Active","Bipolar Transistor, -12V, -1A, Low VCE(sat) PNP Single MCPH3","PNP","100","12","300","700","0.6",,"SC-70FL / MCPH-3"
"on","双极晶体管---音频晶体管","15C02MH","15C02MH-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=15C02MH-TL-E","http://www.onsemi.com/pub/Collateral/EN7354-D.PDF","Bipolar Transistor, 15V, 1A, Low VCE(sat) NPN Single MCPH3","Pb-free","Active","Bipolar Transistor, 15V, 1A, Low VCE(sat) NPN Single MCPH3","NPN","1","15","300","800","0.6","440","SC-70FL / MCPH-3"
"on","双极晶体管---音频晶体管","15GN01MA","15GN01MA-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=15GN01MA-TL-E","http://www.onsemi.com/pub/Collateral/ENA1100-D.PDF","RF Transistor, 8V, 50mA, fT=1.5GHz, NPN Single","Pb-free","Active","RF Transistor, 8V, 50mA, fT=1.5GHz, NPN Single","NPN","0.05","8","200","400","0.4","1500","SC-70FL / MCPH-3"
"on","双极晶体管---音频晶体管","15GN03FA","15GN03FA-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=15GN03FA-TL-H","http://www.onsemi.com/pub/Collateral/ENA1107-D.PDF","RF Transistor, 10V, 70mA, fT=1.5GHz, NPN Single","Pb-free
Halide free","Active","RF Transistor, 10V, 70mA, fT=1.5GHz, NPN Single","NPN","0.07","10","100","180","0.25","1000","SOT-623 / SSFP"
"on","双极晶体管---音频晶体管","2SC4853A","2SC4853A-4-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC4853A-4-TL-E","http://www.onsemi.com/pub/Collateral/ENA1076-D.PDF","RF Transistor, 6V, 15mA, fT=5GHz, NPN Single MCP","Pb-free","Active","RF Transistor, 6V, 15mA, fT=5GHz, NPN Single MCP","NPN","0.015","6","60","270","0.09","5000","SC-70FL / MCPH-3"
"on","双极晶体管---音频晶体管","2SC5227A","2SC5227A-4-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5227A-4-TB-E","http://www.onsemi.com/pub/Collateral/2SC5227A-D.PDF","RF Transistor, 10V, 70mA, fT=7GHz, NPN Single CP","Pb-free","Active","RF Transistor, 10V, 70mA, fT=7GHz, NPN Single CP","NPN","0.07","10","90
135","180
270","0.2","7000","SC-59-3 / CP-3"
"on","双极晶体管---音频晶体管","2SC5227A","2SC5227A-5-TB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5227A-5-TB-E","http://www.onsemi.com/pub/Collateral/2SC5227A-D.PDF","RF Transistor, 10V, 70mA, fT=7GHz, NPN Single CP","Pb-free","Active","RF Transistor, 10V, 70mA, fT=7GHz, NPN Single CP","NPN","0.07","10","90
135","180
270","0.2","7000","SC-59-3 / CP-3"
"on","双极晶体管---音频晶体管","2SC5245A","2SC5245A-4-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5245A-4-TL-E","http://www.onsemi.com/pub/Collateral/2SC5245A-D.PDF","RF Transistor, 10V, 30mA, fT=8GHz, NPN Single MCP","Pb-free","Active","RF Transistor, 10V, 30mA, fT=8GHz, NPN Single MCP","NPN","0.03","10","90","180","0.15","8000","SC-70FL / MCPH-3"
"on","双极晶体管---音频晶体管","2SC5347A","2SC5347AE-TD-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5347AE-TD-E","http://www.onsemi.com/pub/Collateral/ENA1087-D.PDF","RF Transistor, 12V, 150mA, fT=4.7GHz, NPN Single PCP","Pb-free","Active","RF Transistor, 12V, 150mA, fT=4.7GHz, NPN Single PCP","NPN","0.15","12","90
135","180
270","1.3","3","SOT-89 / PCP-1"
"on","双极晶体管---音频晶体管","2SC5347A","2SC5347AF-TD-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5347AF-TD-E","http://www.onsemi.com/pub/Collateral/ENA1087-D.PDF","RF Transistor, 12V, 150mA, fT=4.7GHz, NPN Single PCP","Pb-free","Active","RF Transistor, 12V, 150mA, fT=4.7GHz, NPN Single PCP","NPN","0.15","12","90
135","180
270","1.3","3","SOT-89 / PCP-1"
"on","双极晶体管---音频晶体管","2SC5415A","2SC5415AE-TD-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5415AE-TD-E","http://www.onsemi.com/pub/Collateral/ENA1080-D.PDF","RF Transistor, 12V, 100mA, fT=6.7GHz, NPN Single PCP","Pb-free","Active","RF Transistor, 12V, 100mA, fT=6.7GHz, NPN Single PCP","NPN","0.1","12","90
135","180
270","0.8","6700","SOT-89 / PCP-1"
"on","双极晶体管---音频晶体管","2SC5415A","2SC5415AF-TD-E","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5415AF-TD-E","http://www.onsemi.com/pub/Collateral/ENA1080-D.PDF","RF Transistor, 12V, 100mA, fT=6.7GHz, NPN Single PCP","Pb-free","Active","RF Transistor, 12V, 100mA, fT=6.7GHz, NPN Single PCP","NPN","0.1","12","90
135","180
270","0.8","6700","SOT-89 / PCP-1"
"on","双极晶体管---音频晶体管","2SC5536A","2SC5536A-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=2SC5536A-TL-H","http://www.onsemi.com/pub/Collateral/ENA1092-D.PDF","RF Transistor, 12V, 50mA, fT=1.7GHz, NPN Single SSFP","Pb-free
Halide free","Active","RF Transistor, 12V, 50mA, fT=1.7GHz, NPN Single SSFP","NPN","0.05","12","80","200","0.1","1000","SOT-623 / SSFP"
"on","双极晶体管---音频晶体管","50A02CH","50A02CH-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=50A02CH-TL-E","http://www.onsemi.com/pub/Collateral/50A02CH-D.PDF","Bipolar Transistor, -50V, -0.5A, Low VCE(sat), PNP Single CPH3","Pb-free
Halide free","Active","Bipolar Transistor, -50V, -0.5A, Low VCE(sat), PNP Single CPH3","PNP","0.5","50","200","500","0.7","600","CPH-3"
"on","双极晶体管---音频晶体管","50A02CH","50A02CH-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=50A02CH-TL-H","http://www.onsemi.com/pub/Collateral/50A02CH-D.PDF","Bipolar Transistor, -50V, -0.5A, Low VCE(sat), PNP Single CPH3","Pb-free
Halide free","Active","Bipolar Transistor, -50V, -0.5A, Low VCE(sat), PNP Single CPH3","PNP","0.5","50","200","500","0.7","600","CPH-3"
"on","双极晶体管---音频晶体管","55GN01MA","55GN01MA-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=55GN01MA-TL-E","http://www.onsemi.com/pub/Collateral/ENA1114-D.PDF","RF Transistor, 10V, 70mA, fT=5.5GHz, NPN Single MCP","Pb-free","Active","RF Transistor, 10V, 70mA, fT=5.5GHz, NPN Single MCP","NPN","0.07","10","100","180","0.4","3000","SC-70FL / MCPH-3"
"on","双极晶体管---音频晶体管","D45H11","D45H11G","http://www.onsemi.cn/PowerSolutions/product.do?id=D45H11G","http://www.onsemi.com/pub/Collateral/D44H-D.PDF","Power Bipolar Transistor, PNP, 10 A, 80 V","Pb-free","Active","Power Bipolar Transistor, PNP, 10 A, 80 V","PNP","10","80","40","-","50","-","TO-220-3"
"on","双极晶体管---音频晶体管","MCH3007","MCH3007-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3007-TL-H","http://www.onsemi.com/pub/Collateral/ENA1925-D.PDF","RF Transistor, 12V, 30mA, fT=8GHz, NPN Single MCPH3","Pb-free
Halide free","Active","RF Transistor, 12V, 30mA, fT=8GHz, NPN Single MCPH3","NPN","0.03","12","60","150","0.35","6000","SC-70FL / MCPH-3"
"on","双极晶体管---音频晶体管","MCH4020","MCH4020-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH4020-TL-H","http://www.onsemi.com/pub/Collateral/ENA1280-D.PDF","RF Transistor, 8V, 150mA, fT=16GHz, NPN Single MCPH4","Pb-free
Halide free","Active","RF Transistor, 8V, 150mA, fT=16GHz, NPN Single MCPH4","NPN","0.15","8","60","150","0.4","13000","SC-82AB / MCP-4"
"on","双极晶体管---音频晶体管","MJ15001","MJ15001G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJ15001G","http://www.onsemi.com/pub/Collateral/MJ15001-D.PDF","15 A, 140 V, NPN Bipolar Power Transistor","Pb-free","Active","15 A, 140 V, NPN Bipolar Power Transistor","NPN","15","140","25","150","200","2","TO-204-2"
"on","双极晶体管---音频晶体管","MJ15004","MJ15004G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJ15004G","http://www.onsemi.com/pub/Collateral/MJ15003-D.PDF","Bipolar Transistor, PNP, 140 V, 20 A","Pb-free","Active","Bipolar Transistor, PNP, 140 V, 20 A","PNP","20","140","25","150","250","2","TO-204-2"
"on","双极晶体管---音频晶体管","MJ15016","MJ15016G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJ15016G","http://www.onsemi.com/pub/Collateral/2N3055A-D.PDF","15 A, 120 V, PNP Bipolar Power Transistor","Pb-free","Active","15 A, 120 V, PNP Bipolar Power Transistor","PNP","15","120","20","70","180","1","TO-204-2"
"on","双极晶体管---音频晶体管","MJ15023","MJ15023G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJ15023G","http://www.onsemi.com/pub/Collateral/MJ15023-D.PDF","16 A, 200 V, PNP Bipolar Power Transistor","Pb-free","Active","16 A, 200 V, PNP Bipolar Power Transistor","PNP","16","200","15","60","250","5","TO-204-2"
"on","双极晶体管---音频晶体管","MJ15025","MJ15025G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJ15025G","http://www.onsemi.com/pub/Collateral/MJ15023-D.PDF","Bipolar Transistor, PNP, 250 V, 16 A","Pb-free","Active","Bipolar Transistor, PNP, 250 V, 16 A","PNP","16","250","15","60","250","4","TO-204-2"
