"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Density","Organization","Data Transmission Standard","fcycle Max (kHz)","tACC Max ns","VCC Min (V)","VCC Max (V)","Istandby Max (microA)","Iact Max (mA)","T Min (&#0176;C)","T Max (&#0176;C)","Package Type"
"on","存储器---EEPROM存储器","CAT1021","CAT1021LI-25-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021LI-25-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021LI-28-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021LI-28-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021LI-30-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021LI-30-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021LI-42-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021LI-42-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021LI-45-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021LI-45-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-25-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-25-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-28-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-28-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-28-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-28-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-30-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-30-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-30-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-30-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-42-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-42-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-42-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-42-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-45-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-45-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021WI-45-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021WI-45-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021YI-25-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021YI-25-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021YI-25-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021YI-25-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021YI-28-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021YI-28-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021YI-30-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021YI-30-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021YI-42-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021YI-42-G","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021YI-42-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021YI-42-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021YI-45-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021YI-45-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021ZI-25-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021ZI-25-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","存储器---EEPROM存储器","CAT1021","CAT1021ZI-28-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1021ZI-28-GT3","http://www.onsemi.com/pub/Collateral/CAT1021-D.PDF","CPU Supervisor with 2 k EEPROM Memory","Pb-free
Halide free","Active","CPU Supervisor with 2 k EEPROM Memory","Serial","2 kb","256 x 8","I2C","400","900","2.7","5.5","60","3","-40","85","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
