"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Bits","ROM (bits)","RAM (bits)","Bus Cycle Time Min (micros)","Instruction Cycle Time Min (micros)","Interrupts","I/O Ports","ADC","Timers","PWM Outputs","VDD Min (V)","VDD Max (V)","Package Type"
"on","微控制器---通用微控制器","LC87F0808A","LC87F0808AUQFPTLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F0808AUQFPTLM-H","http://www.onsemi.com/pub/Collateral/ENA1828-D.PDF","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM ","8","8K x 8 (Flash)","256 x 9","0.05","0.15","21 sources, 10 vector address","30","10/8-bit x 10 channel","16-bit x 2
8-bit x 2","6","3.3","5.5","LQFP-36 / QFP-36"
"on","微控制器---通用微控制器","LC87F0G08A","LC87F0G08AUJA-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F0G08AUJA-AH","http://www.onsemi.com/pub/Collateral/ENA2304-D.PDF","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","8","8K x 8 (Flash)","256 x 9","0.083","0.25","15 sources,10 vector address","18","12-bit x 7 channel","16-bit x 2","3","1.8","5.5","SSOP-24"
"on","微控制器---通用微控制器","LC87F0G08A","LC87F0G08AUJA-FH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F0G08AUJA-FH","http://www.onsemi.com/pub/Collateral/ENA2304-D.PDF","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","8","8K x 8 (Flash)","256 x 9","0.083","0.25","15 sources,10 vector address","18","12-bit x 7 channel","16-bit x 2","3","1.8","5.5","SSOP-24"
"on","微控制器---通用微控制器","LC87F0G08A","LC87F0G08AUJA-ZH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F0G08AUJA-ZH","http://www.onsemi.com/pub/Collateral/ENA2304-D.PDF","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","8","8K x 8 (Flash)","256 x 9","0.083","0.25","15 sources,10 vector address","18","12-bit x 7 channel","16-bit x 2","3","1.8","5.5","SSOP-24"
"on","微控制器---通用微控制器","LC87F2416A","LC87F2416AU-EB-2E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F2416AU-EB-2E","http://www.onsemi.com/pub/Collateral/ENA0782-D.PDF","8-bit Microcontroller with 16K-byte Flash ROM and 512-byte RAM","Pb-free","Active","8-bit Microcontroller with 16K-byte Flash ROM and 512-byte RAM","8","16K x 8 (Flash)","512 x 9","0.083","0.25","20 sources 10 vector address","26","12/8-bit x 10 channel","16-bit x 2
8-bit x 2","2","1.8","5.5","LQFP-36 / QFP-36"
"on","微控制器---通用微控制器","LC87F2708A","LC87F2708AUMD-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F2708AUMD-AH","http://www.onsemi.com/pub/Collateral/ENA1335-D.PDF","8-bit Microcontroller with 8K-Byte Flash ROM and 512-Byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-Byte Flash ROM and 512-Byte RAM","8","8K x 8 (Flash)","512 x 9","0.1","0.3","16 sources, 10 vector address","11","12/8-bit x 7 channel","16-bit x 2",,"2.7","5.5","SOIC-14W / MFP-14S"
"on","微控制器---通用微控制器","LC87F2G08A","LC87F2G08AU-SSOP-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F2G08AU-SSOP-E","http://www.onsemi.com/pub/Collateral/ENA1028-D.PDF","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM ","8","8K x 8 (Flash)","256 x 9","0.083","0.25","18 sources, 10 vector address","21","12/8-bit x 8 channel","16-bit x 2
8-bit x 2","0","1.8","5.5","SOIC-24 W / MFP-24SJ
SSOP-24"
"on","微控制器---通用微控制器","LC87F2G08A","LC87F2G08AUMJ-ZH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F2G08AUMJ-ZH","http://www.onsemi.com/pub/Collateral/ENA1028-D.PDF","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM ","8","8K x 8 (Flash)","256 x 9","0.083","0.25","18 sources, 10 vector address","21","12/8-bit x 8 channel","16-bit x 2
8-bit x 2","0","1.8","5.5","SOIC-24 W / MFP-24SJ
SSOP-24"
"on","微控制器---通用微控制器","LC87F2G08A","LC87F2G08AUSSOPTLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F2G08AUSSOPTLM-E","http://www.onsemi.com/pub/Collateral/ENA1028-D.PDF","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM","Pb-free
Halide free","Active","8-bit Microcontroller with 8K-byte Flash ROM and 256-byte RAM ","8","8K x 8 (Flash)","256 x 9","0.083","0.25","18 sources, 10 vector address","21","12/8-bit x 8 channel","16-bit x 2
8-bit x 2","0","1.8","5.5","SOIC-24 W / MFP-24SJ
SSOP-24"
"on","微控制器---通用微控制器","LC87F2J32A","LC87F2J32AU-QIP-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F2J32AU-QIP-E","http://www.onsemi.com/pub/Collateral/ENA1384-D.PDF","8-bit  Microcontroller with 32K-byte Flash ROM and 1024-byte RAM","Pb-free
Halide free","Active","8-bit  Microcontroller with 32K-byte Flash ROM and 1024-byte RAM","8","32K x 8 (Flash)","1024 x 9","0.083","0.25","24 sources 10 vector address","41","12/8-bit x 14 channel","16-bit x 2
8-bit x 4","2","1.8","5.5","PQFP-48 / QIP-48E
SPQFP-48 / SQFP-48"
"on","微控制器---通用微控制器","LC87F2J32A","LC87F2J32AUWA-2H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC87F2J32AUWA-2H","http://www.onsemi.com/pub/Collateral/ENA1384-D.PDF","8-bit  Microcontroller with 32K-byte Flash ROM and 1024-byte RAM","Pb-free
Halide free","Active","8-bit  Microcontroller with 32K-byte Flash ROM and 1024-byte RAM","8","32K x 8 (Flash)","1024 x 9","0.083","0.25","24 sources 10 vector address","41","12/8-bit x 14 channel","16-bit x 2
8-bit x 4","2","1.8","5.5","PQFP-48 / QIP-48E
SPQFP-48 / SQFP-48"
