"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","# of Pots","# of Taps","Type","Control Interface","Resistance Typ (kOhms)","VH Max (V)","Wiper Position Memory","VDD Max (V)","Package Type"
"on","接口---数字可编程电位计","CAT5110","CAT5110SDI-00GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5110SDI-00GT3","http://www.onsemi.com/pub/Collateral/CAT5110-D.PDF","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface, 100 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface","1","32","Potentiometer","Up/Down","10
50
100","VCC","No","5.5","SC-88-6 / SC-70-6
SOT-23-6"
"on","接口---数字可编程电位计","CAT5110","CAT5110SDI-10GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5110SDI-10GT3","http://www.onsemi.com/pub/Collateral/CAT5110-D.PDF","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface, 10 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface","1","32","Potentiometer","Up/Down","10
50
100","VCC","No","5.5","SC-88-6 / SC-70-6
SOT-23-6"
"on","接口---数字可编程电位计","CAT5110","CAT5110SDI-50GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5110SDI-50GT3","http://www.onsemi.com/pub/Collateral/CAT5110-D.PDF","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface, 50 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface","1","32","Potentiometer","Up/Down","10
50
100","VCC","No","5.5","SC-88-6 / SC-70-6
SOT-23-6"
"on","接口---数字可编程电位计","CAT5110","CAT5110TBI-00GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5110TBI-00GT3","http://www.onsemi.com/pub/Collateral/CAT5110-D.PDF","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface, 100 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface","1","32","Potentiometer","Up/Down","10
50
100","VCC","No","5.5","SC-88-6 / SC-70-6
SOT-23-6"
"on","接口---数字可编程电位计","CAT5110","CAT5110TBI-10GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5110TBI-10GT3","http://www.onsemi.com/pub/Collateral/CAT5110-D.PDF","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface, 10 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface","1","32","Potentiometer","Up/Down","10
50
100","VCC","No","5.5","SC-88-6 / SC-70-6
SOT-23-6"
"on","接口---数字可编程电位计","CAT5110","CAT5110TBI-50GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5110TBI-50GT3","http://www.onsemi.com/pub/Collateral/CAT5110-D.PDF","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface, 50 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with 2-Wire Interface","1","32","Potentiometer","Up/Down","10
50
100","VCC","No","5.5","SC-88-6 / SC-70-6
SOT-23-6"
"on","接口---数字可编程电位计","CAT5112","CAT5112LI-00-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5112LI-00-G","http://www.onsemi.com/pub/Collateral/CAT5112-D.PDF","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper, 100 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper","1","32","Potentiometer","Up/Down","10
50
100","VCC","Yes","6","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","接口---数字可编程电位计","CAT5112","CAT5112LI-10-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5112LI-10-G","http://www.onsemi.com/pub/Collateral/CAT5112-D.PDF","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper, 10 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper","1","32","Potentiometer","Up/Down","10
50
100","VCC","Yes","6","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","接口---数字可编程电位计","CAT5112","CAT5112LI-50-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5112LI-50-G","http://www.onsemi.com/pub/Collateral/CAT5112-D.PDF","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper, 50 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper","1","32","Potentiometer","Up/Down","10
50
100","VCC","Yes","6","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
"on","接口---数字可编程电位计","CAT5112","CAT5112VI-00-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT5112VI-00-G","http://www.onsemi.com/pub/Collateral/CAT5112-D.PDF","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper, 100 kΩ","Pb-free
Halide free","Active","Digital Potentiometer (POT), 32-Tap, with Buffered Wiper","1","32","Potentiometer","Up/Down","10
50
100","VCC","Yes","6","MSOP-8
PDIP-8
SOIC-8
TSSOP-8"
