"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Data Transmission Standard","Data Rate","Number of Drivers","Number of Receivers","VCC Min (V)","VCC Max (V)","tPLH Max (micros)","IO Max (microA)","IIH Max (mA)","Package Type"
"on","接口---调制解调器及收发器","A5191HRT","A5191HRTLG-XTD","http://www.onsemi.cn/PowerSolutions/product.do?id=A5191HRTLG-XTD","http://www.onsemi.com/pub/Collateral/A5191HRT-D.PDF","Industrial HART-Protocol Modem","Pb-free
Halide free","Active","Industrial HART-Protocol Modem","HART","1200 baud","1","1","3","5.5","0.02","670","0.0005","LQFP-32
PLCC-28
QFN-32"
"on","接口---调制解调器及收发器","A5191HRT","A5191HRTLG-XTP","http://www.onsemi.cn/PowerSolutions/product.do?id=A5191HRTLG-XTP","http://www.onsemi.com/pub/Collateral/A5191HRT-D.PDF","Industrial HART-Protocol Modem","Pb-free
Halide free","Active","Industrial HART-Protocol Modem","HART","1200 baud","1","1","3","5.5","0.02","670","0.0005","LQFP-32
PLCC-28
QFN-32"
"on","接口---调制解调器及收发器","A5191HRT","A5191HRTNG-XTP","http://www.onsemi.cn/PowerSolutions/product.do?id=A5191HRTNG-XTP","http://www.onsemi.com/pub/Collateral/A5191HRT-D.PDF","Industrial HART-Protocol Modem","Pb-free
Halide free","Active","Industrial HART-Protocol Modem","HART","1200 baud","1","1","3","5.5","0.02","670","0.0005","LQFP-32
PLCC-28
QFN-32"
"on","接口---调制解调器及收发器","A5191HRT","A5191HRTPG-XTD","http://www.onsemi.cn/PowerSolutions/product.do?id=A5191HRTPG-XTD","http://www.onsemi.com/pub/Collateral/A5191HRT-D.PDF","Industrial HART-Protocol Modem","Pb-free
Halide free","Active","Industrial HART-Protocol Modem","HART","1200 baud","1","1","3","5.5","0.02","670","0.0005","LQFP-32
PLCC-28
QFN-32"
"on","接口---调制解调器及收发器","A5191HRT","A5191HRTPG-XTP","http://www.onsemi.cn/PowerSolutions/product.do?id=A5191HRTPG-XTP","http://www.onsemi.com/pub/Collateral/A5191HRT-D.PDF","Industrial HART-Protocol Modem","Pb-free
Halide free","Active","Industrial HART-Protocol Modem","HART","1200 baud","1","1","3","5.5","0.02","670","0.0005","LQFP-32
PLCC-28
QFN-32"
"on","接口---调制解调器及收发器","AMIS-30660","AMIS30660CANH2RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30660CANH2RG","http://www.onsemi.com/pub/Collateral/AMIS-30660-D.PDF","CAN Transceiver, High Speed","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","CAN Transceiver, High Speed","CAN","1 Mb/s","1","1","4.75","5.25","1","45000","8","SOIC-8"
"on","接口---调制解调器及收发器","AMIS-30660","AMIS30660CANH6G","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30660CANH6G","http://www.onsemi.com/pub/Collateral/AMIS-30660-D.PDF","CAN Transceiver, High Speed","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","CAN Transceiver, High Speed","CAN","1 Mb/s","1","1","4.75","5.25","1","45000","8","SOIC-8"
"on","接口---调制解调器及收发器","AMIS-30660","AMIS30660CANH6RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30660CANH6RG","http://www.onsemi.com/pub/Collateral/AMIS-30660-D.PDF","CAN Transceiver, High Speed","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","CAN Transceiver, High Speed","CAN","1 Mb/s","1","1","4.75","5.25","1","45000","8","SOIC-8"
"on","接口---调制解调器及收发器","AMIS-41682","AMIS41682CANM1RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS41682CANM1RG","http://www.onsemi.com/pub/Collateral/AMIS-41682-D.PDF","CAN Transceiver, Fault Tolerant , 5.0 V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","CAN Transceiver, Fault Tolerant , 5.0 V","CAN",,"1","1","4.75","5.25","8","45000","6.3","SOIC-14"
"on","接口---调制解调器及收发器","AMIS-42665","AMIS42665TJAA1RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS42665TJAA1RG","http://www.onsemi.com/pub/Collateral/AMIS-42665-D.PDF","CAN Transceiver, High Speed, Low Power, Level Wake-up","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","CAN Transceiver, High Speed, Low Power","CAN","1 Mb/s","1","1","4.75","5.25","1","45000","8","SOIC-8"
