"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Rail to Rail","Channels","VCC Min (V)","VCC Max (V)","IO Min (mA)","IO Typ (mA)","ID Typ (mA)","GBW Typ (MHz)","SR Typ (V/uS)","VIO Max (mV)","Package Type"
"on","放大器和比较器---运算放大器","LA6500","LA6500-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6500-E","http://www.onsemi.com/pub/Collateral/LA6500-D.PDF","Power Operational Amplifier","Pb-free","Active","Power Operational Amplifier","No","1","4.5","18",,"1000","6",,"0.15","6","TO-220-5"
"on","放大器和比较器---运算放大器","LM201A","LM201ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM201ADG","http://www.onsemi.com/pub/Collateral/LM301A-D.PDF","Operational Amplifier, Non-Compensated, Single, T","Pb-free
Halide free","Active","Operational Amplifier, Non-Compensated, Single","No","1","3","22","7.5","10","1.8","1","0.5","2","SOIC-8"
"on","放大器和比较器---运算放大器","LM201A","LM201ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM201ADR2G","http://www.onsemi.com/pub/Collateral/LM301A-D.PDF","Operational Amplifier, Non-Compensated, Single, T","Pb-free
Halide free","Active","Operational Amplifier, Non-Compensated, Single","No","1","3","22","7.5","10","1.8","1","0.5","2","SOIC-8"
"on","放大器和比较器---运算放大器","LM201A","LM201AVDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM201AVDR2G","http://www.onsemi.com/pub/Collateral/LM301A-D.PDF","Operational Amplifier, Non-Compensated, Single, T","Pb-free
Halide free","Active","Operational Amplifier, Non-Compensated, Single","No","1","3","22","7.5","10","1.8","1","0.5","2","SOIC-8"
"on","放大器和比较器---运算放大器","LM258","LM258DG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM258DG","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","5","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM258","LM258DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM258DMR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","5","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM258","LM258DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM258DR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","5","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM258","LM258NG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM258NG","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","5","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2902S","LM2902SNG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2902SNG","http://www.onsemi.com/pub/Collateral/LM324S-D.PDF","Operational Amplifier, Single supply, Quad, Bipolar Value Line - Quad Channel Op Amp -40C to +105C","Pb-free
Halide free","Active","Operational Amplifier, Single supply, Quad","No","4","3","32","5","20","1.2",,,"10","PDIP-14"
"on","放大器和比较器---运算放大器","LM2904","LM2904ADMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904ADMR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904","LM2904DG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904DG","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904","LM2904DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904DMR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904","LM2904DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904DR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904","LM2904NG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904NG","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904V","LM2904VDG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904VDG","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904V","LM2904VDMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904VDMR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904V","LM2904VDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904VDR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904V","LM2904VNG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904VNG","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM324","LM324DG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM324DG","http://www.onsemi.com/pub/Collateral/LM324-D.PDF","Operational Amplifier, Single Supply, Quad","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Quad","No","4","3","32","20","40","1.4","1","0.6","7","PDIP-14
SOIC-14
TSSOP-14"
