"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Input Level","Output Level","VS Typ (V)","fin Typ (MHz)","fout Typ (MHz)","tJitter(Cy-Cy) Typ (ps)","tJitter(Period) Typ (ps)","tJitter(&#934;) Typ (ps)","tR & tF Typ (ps)","tR & tF Max (ps)","TA Min (&#0176;C)","TA Max (&#0176;C)","Package Type"
"on","时钟产生---PLL时钟产生器","FS6128-04","FS6128-04G-XTD","http://www.onsemi.cn/PowerSolutions/product.do?id=FS6128-04G-XTD","http://www.onsemi.com/pub/Collateral/FS6128-04-D.PDF","VCXO Clock Generator, 27 MHz Output","Pb-free
Halide free","Active","VCXO Clock Generator, 27 MHz Output","CMOS","CMOS
TTL","3.3","13.5","27","100","200",,"1700","1700","0","70","SOIC-8"
"on","时钟产生---PLL时钟产生器","FS6128-04","FS6128-04G-XTP","http://www.onsemi.cn/PowerSolutions/product.do?id=FS6128-04G-XTP","http://www.onsemi.com/pub/Collateral/FS6128-04-D.PDF","VCXO Clock Generator, 27 MHz Output","Pb-free
Halide free","Active","VCXO Clock Generator, 27 MHz Output","CMOS","CMOS
TTL","3.3","13.5","27","100","200",,"1700","1700","0","70","SOIC-8"
"on","时钟产生---PLL时钟产生器","FS6370","FS6370-01G-XTD","http://www.onsemi.cn/PowerSolutions/product.do?id=FS6370-01G-XTD","http://www.onsemi.com/pub/Collateral/FS6370-D.PDF","EE Programmable 3-PLL Clock, 11575-819","Pb-free
Halide free","Active","EE Programmable 3-PLL Clock","CMOS
TTL","TTL","3.3
5","5-27","0.8-150","165","390",,"1800","2100","0","70","SOIC-16"
"on","时钟产生---PLL时钟产生器","FS6370","FS6370-01G-XTP","http://www.onsemi.cn/PowerSolutions/product.do?id=FS6370-01G-XTP","http://www.onsemi.com/pub/Collateral/FS6370-D.PDF","EE Programmable 3-PLL Clock, 11575-819","Pb-free
Halide free","Active","EE Programmable 3-PLL Clock","CMOS
TTL","TTL","3.3
5","5-27","0.8-150","165","390",,"1800","2100","0","70","SOIC-16"
"on","时钟产生---PLL时钟产生器","FS7140","FS7140-01G-XTP","http://www.onsemi.cn/PowerSolutions/product.do?id=FS7140-01G-XTP","http://www.onsemi.com/pub/Collateral/FS7140-D.PDF","I","Pb-free
Halide free","Active","I<sup>2</sup>C Programmable 1-PLL Clock","CMOS","ECL
TTL","3.3","0-80","0-300","300","75",,"1000","1000","0","70","SOIC-16
SSOP-14"
"on","时钟产生---PLL时钟产生器","FS7140","FS7140-02G-XTD","http://www.onsemi.cn/PowerSolutions/product.do?id=FS7140-02G-XTD","http://www.onsemi.com/pub/Collateral/FS7140-D.PDF","I","Pb-free
Halide free","Active","I<sup>2</sup>C Programmable 1-PLL Clock","CMOS","ECL
TTL","3.3","0-80","0-300","300","75",,"1000","1000","0","70","SOIC-16
SSOP-14"
"on","时钟产生---PLL时钟产生器","FS7140","FS7140-02G-XTP","http://www.onsemi.cn/PowerSolutions/product.do?id=FS7140-02G-XTP","http://www.onsemi.com/pub/Collateral/FS7140-D.PDF","I","Pb-free
Halide free","Active","I<sup>2</sup>C Programmable 1-PLL Clock","CMOS","ECL
TTL","3.3","0-80","0-300","300","75",,"1000","1000","0","70","SOIC-16
SSOP-14"
"on","时钟产生---PLL时钟产生器","NB3H5150","NB3H5150MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB3H5150MNTXG","http://www.onsemi.com/pub/Collateral/NB3H5150-D.PDF","Clock Generator, Multi-Rate, Low Noise 2.5V / 3.3V","Pb-free
Halide free","ActiveNEW","Clock Generator, Multi-Rate, Low Noise 2.5V / 3.3V","Crystal
HCSL
LVDS
LVPECL
TTL","LVCMOS
LVPECL","2.5
3.3","25","25-250",,,"0.22
0.5","200
800","300
1000","-40","85","QFN-32"
"on","时钟产生---PLL时钟产生器","NB3H63143G","NB3H63143G00MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB3H63143G00MNR2G","http://www.onsemi.com/pub/Collateral/NB3H63143G-D.PDF","Programmable Clock Generator with Single Ended (LVCMOS/LVTTL) and
Differential (LVPECL/LVDS/HCSL/CML) Outputs","Pb-free
Halide free","ActiveNEW","Programmable Clock Generator with Single Ended (LVCMOS/LVTTL) and
Differential (LVPECL/LVDS/HCSL/CML) Outputs","Crystal
LVCMOS","CML
HCSL
LVCMOS
LVDS
LVPECL","2.5
3.3","3 MHz to 200 MHz (Reference clock)
3 MHz to 50 MHz (Crystal)","8 KHz to 200 MHz","100","100",,"1000 (Max Drive, LVCMOS)","< 700 (Differential Outputs)","-40","85","QFN-16"
"on","时钟产生---PLL时钟产生器","NB3N3010B","NB3N3010BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB3N3010BDG","http://www.onsemi.com/pub/Collateral/NB3N3010B-D.PDF","Clock Generator, Oversampling, 3.3 V, 12.288 MHz, for USB Applications","Pb-free
Halide free","Active","Clock Generator, Oversampling, 3.3 V, 12.288 MHz, for USB Applications","CMOS
TTL","CMOS
TTL","3.3","0.004","12.288",,,,,"4000","0","85","SOIC-8"
