"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Input Level","Output Level","fMax Typ (MHz)","VCC Typ (V)","Duty Cycle (&#37;)","Package Type"
"on","时钟产生---压控振荡器(VCO)","MC100EL1648","MC100EL1648DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL1648DG","http://www.onsemi.com/pub/Collateral/MC100EL1648-D.PDF","Voltage Controlled Oscillator, ECL, 5.0 V","Pb-free
Halide free","Active","Voltage Controlled Oscillator, ECL, 5.0 V","ECL","ECL","1100","5.5","50","DFN-8
SOIC-8
TSSOP-8"
"on","时钟产生---压控振荡器(VCO)","MC100EL1648","MC100EL1648DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL1648DR2G","http://www.onsemi.com/pub/Collateral/MC100EL1648-D.PDF","Voltage Controlled Oscillator, ECL, 5.0 V","Pb-free
Halide free","Active","Voltage Controlled Oscillator, ECL, 5.0 V","ECL","ECL","1100","5.5","50","DFN-8
SOIC-8
TSSOP-8"
"on","时钟产生---压控振荡器(VCO)","MC100EL1648","MC100EL1648DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL1648DTG","http://www.onsemi.com/pub/Collateral/MC100EL1648-D.PDF","Voltage Controlled Oscillator, ECL, 5.0 V","Pb-free
Halide free","Active","Voltage Controlled Oscillator, ECL, 5.0 V","ECL","ECL","1100","5.5","50","DFN-8
SOIC-8
TSSOP-8"
"on","时钟产生---压控振荡器(VCO)","MC100EL1648","MC100EL1648DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL1648DTR2G","http://www.onsemi.com/pub/Collateral/MC100EL1648-D.PDF","Voltage Controlled Oscillator, ECL, 5.0 V","Pb-free
Halide free","Active","Voltage Controlled Oscillator, ECL, 5.0 V","ECL","ECL","1100","5.5","50","DFN-8
SOIC-8
TSSOP-8"
"on","时钟产生---压控振荡器(VCO)","MC100EL1648","MC100EL1648MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL1648MNR4G","http://www.onsemi.com/pub/Collateral/MC100EL1648-D.PDF","Voltage Controlled Oscillator, ECL, 5.0 V","Pb-free
Halide free","Active","Voltage Controlled Oscillator, ECL, 5.0 V","ECL","ECL","1100","5.5","50","DFN-8
SOIC-8
TSSOP-8"
"on","时钟产生---压控振荡器(VCO)","MC74HC4046A","MC74HC4046ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4046ADG","http://www.onsemi.com/pub/Collateral/MC74HC4046A-D.PDF","Phase Locked Loop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Phase Locked Loop","CMOS","CMOS","3","6","50","SOIC-16
TSSOP-16"
"on","时钟产生---压控振荡器(VCO)","MC74HC4046A","MC74HC4046ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4046ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC4046A-D.PDF","Phase Locked Loop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Phase Locked Loop","CMOS","CMOS","3","6","50","SOIC-16
TSSOP-16"
"on","时钟产生---压控振荡器(VCO)","MC74HC4046A","MC74HC4046ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4046ADTG","http://www.onsemi.com/pub/Collateral/MC74HC4046A-D.PDF","Phase Locked Loop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Phase Locked Loop","CMOS","CMOS","3","6","50","SOIC-16
TSSOP-16"
"on","时钟产生---压控振荡器(VCO)","MC74HC4046A","MC74HC4046ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4046ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC4046A-D.PDF","Phase Locked Loop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Phase Locked Loop","CMOS","CMOS","3","6","50","SOIC-16
TSSOP-16"
"on","时钟产生---压控振荡器(VCO)","MC74HC4046A","NLV74HC4046ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC4046ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC4046A-D.PDF","Phase Locked Loop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Phase Locked Loop","CMOS","CMOS","3","6","50","SOIC-16
TSSOP-16"
