"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","VDD Typ (V)","fin Typ (MHz)","fout Typ (MHz)","Deviation Type","Features","TA Min (&#0176;C)","TA Max (&#0176;C)","Package Type"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P18S19B","P3P18S19BF-08SR","http://www.onsemi.cn/PowerSolutions/product.do?id=P3P18S19BF-08SR","http://www.onsemi.com/pub/Collateral/P3P18S19B-D.PDF","Notebook LCD Panel EMI Reduction IC","Pb-free
Halide free","Active","Notebook LCD Panel EMI Reduction IC","3.3","20-40","20-40","-1.25% to -1.75%","Spread Deviation Selection","0","70","SOIC-8"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P2111B","ASM3P2111BG-08SR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASM3P2111BG-08SR","http://www.onsemi.com/pub/Collateral/ASM3P2111-D.PDF","Peak EMI Reducing Solution","Pb-free
Halide free","Active","Peak EMI Reducing Solution","3.3","25","48
66","-1.7",,"0","70","SOIC-8"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P2182A","ASM3P2182AF-08SR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASM3P2182AF-08SR","http://www.onsemi.com/pub/Collateral/ASM3P2182A-D.PDF","LCD Panel EMI Reduction IC","Pb-free
Halide free","Active","LCD Panel EMI Reduction IC","3.3","25-210","25-210","±0.13 to ±1.24",,"0","70","SOIC-8"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P2760A","ASM3P2760AF-06OR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASM3P2760AF-06OR","http://www.onsemi.com/pub/Collateral/ASM3P2760-D.PDF","Standard Peak EMI Reducing Solution","Pb-free
Halide free","Active","Standard Peak EMI Reducing Solution","2.5
3.3","6-12
6-13","6-12
6-13","±0.65","PDB","0","70","TSOP-6"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P2779A","ASM3P2779AF-06OR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASM3P2779AF-06OR","http://www.onsemi.com/pub/Collateral/ASM3P2779-D.PDF","Standard Peak EMI Reducing Solution","Pb-free
Halide free","Active","Standard Peak EMI Reducing Solution","2.5
3.3","13-30","13-30","±1","PDB","0","70","TSOP-6"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P2812A","ASM3P2812AF-08SR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASM3P2812AF-08SR","http://www.onsemi.com/pub/Collateral/ASM3P2812-D.PDF","Standard Peak EMI Reduction IC","Pb-free
Halide free","Active","Standard Peak EMI Reduction IC","3.3","10-40","20-80","-2.5 to -3.8
±1.2 to ±1.9","ModOUT=2x Input Clock","0","70","SOIC-8"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P2863A","ASM3P2863AF-06OR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASM3P2863AF-06OR","http://www.onsemi.com/pub/Collateral/ASM3P2863A-D.PDF","Standard Peak EMI Reducing solution","Pb-free
Halide free","Active","Standard Peak EMI Reducing solution","2.5
3.3","6-12
6-13","6-12
6-13","±0.5","REFOUT","0","70","TSOP-6"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","ASM3P623S05B","P3P623S05BG-08TR","http://www.onsemi.cn/PowerSolutions/product.do?id=P3P623S05BG-08TR","http://www.onsemi.com/pub/Collateral/P3P623S05B-D.PDF","Timing-Safe™ Peak EMI Reduction IC","Pb-free
Halide free","Active","Timing-Safe&#8482; Peak EMI Reduction IC","3.3","20-50","20-50","±0.25
±0.5",,"0","70","TSSOP-8"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","P1727A","P1727AF-08SR","http://www.onsemi.cn/PowerSolutions/product.do?id=P1727AF-08SR","http://www.onsemi.com/pub/Collateral/P1727-D.PDF","Standard Notebook LCD Panel EMI Reduction IC","Pb-free
Halide free","Active","Standard Notebook LCD Panel EMI Reduction IC","3.3","20-40","20-40","Selectable ±0.625% to -3.50%",,"0","70","SOIC-8"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","P1P8160A","P1P8160AG-10CR","http://www.onsemi.cn/PowerSolutions/product.do?id=P1P8160AG-10CR","http://www.onsemi.com/pub/Collateral/P1P8160A-D.PDF","Low Jitter Clock Generator and Peak EMI Reduction IC","Pb-free
Halide free","Active","Low Jitter Clock Generator and Peak EMI Reduction IC","3.3","27","27
100","Selectable Down Spread",,"-10","85","WDFN-10"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","P2781A","P2781AF-08SR","http://www.onsemi.cn/PowerSolutions/product.do?id=P2781AF-08SR","http://www.onsemi.com/pub/Collateral/P2781-D.PDF","General Purpose EMI Reduction IC","Pb-free
Halide free","Active","General Purpose EMI Reduction IC","3.3","3-78","3-78","±0.25 to ±5","External loop filter for deviation setting","0","70","SOIC-8"
"on","时钟产生---扩频电磁干扰(EMI)降低时钟","P2811B","P2811BF-08SR","http://www.onsemi.cn/PowerSolutions/product.do?id=P2811BF-08SR","http://www.onsemi.com/pub/Collateral/P2811-D.PDF","Low Power EMI Reduction IC","Pb-free
Halide free","Active","Low Power EMI Reduction IC","3.3","10-40","10-40","±0.625 to -3.5",,"0","70","SOIC-8"
