"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Input Level","Output Level","VDD Typ (V)","fCLKOUT1 Typ (MHz)","fCLKOUT2 Typ (MHz)","&#916;f (±PPM)","tJitter(&#934;) Typ (ps)","tR & tF Typ (ps)","tR & tF Max (ps)","Duty Cycle Min (%)","Duty Cycle Typ (%)","Duty Cycle Max (%)","Package Type"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXDBA009","NBXDBA009LN1TAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXDBA009LN1TAG","http://www.onsemi.com/pub/Collateral/NBXDBA009-D.PDF","Crystal Oscillator Module, PureEdge™, 75 MHz / 150 MHz, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 75 MHz / 150 MHz, 3.3 V","CMOS","ECL","3.3","75","150","50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXDBA009","NBXDBA009LNHTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXDBA009LNHTAG","http://www.onsemi.com/pub/Collateral/NBXDBA009-D.PDF","Crystal Oscillator Module, PureEdge™, 75 MHz / 150 MHz, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 75 MHz / 150 MHz, 3.3 V","CMOS","ECL","3.3","75","150","50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXDBA017","NBXDBA017LN1TAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXDBA017LN1TAG","http://www.onsemi.com/pub/Collateral/NBXDBB017.PDF","Crystal Oscillator Module, PureEdge™, 156.25 MHz / 312.50 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 156.25 MHz / 312.50 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","156.25","312.5","50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXDBA017","NBXDBA017LNHTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXDBA017LNHTAG","http://www.onsemi.com/pub/Collateral/NBXDBB017.PDF","Crystal Oscillator Module, PureEdge™, 156.25 MHz / 312.50 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 156.25 MHz / 312.50 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","156.25","312.5","50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXDBA019","NBXDBA019LN1TAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXDBA019LN1TAG","http://www.onsemi.com/pub/Collateral/NBXDBA019.PDF","Crystal Oscillator Module, PureEdge™, 125 MHz / 250 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 125 MHz / 250 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","125","250","50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXDBA019","NBXDBA019LNHTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXDBA019LNHTAG","http://www.onsemi.com/pub/Collateral/NBXDBA019.PDF","Crystal Oscillator Module, PureEdge™, 125 MHz / 250 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 125 MHz / 250 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","125","250","50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXHBA017","NBXHBA017LN1TAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXHBA017LN1TAG","http://www.onsemi.com/pub/Collateral/NBXDBB017.PDF","Crystal Oscillator Module, PureEdge™, 156.25 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 156.25 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","156.25",,"50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXHBA017","NBXHBA017LNHTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXHBA017LNHTAG","http://www.onsemi.com/pub/Collateral/NBXDBB017.PDF","Crystal Oscillator Module, PureEdge™, 156.25 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 156.25 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","156.25",,"50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXSBA010","NBXSBA010LN1TAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXSBA010LN1TAG","http://www.onsemi.com/pub/Collateral/NBXSBA010.PDF","Crystal Oscillator Module, PureEdge™, 100 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 100 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","100",,"50","0.4","250","400","48","50","52","CLCC-6"
"on","时钟产生---晶体振荡器(XO & VCXO)","NBXSBA010","NBXSBA010LNHTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBXSBA010LNHTAG","http://www.onsemi.com/pub/Collateral/NBXSBA010.PDF","Crystal Oscillator Module, PureEdge™, 100 MHz LVPECL, 3.3 V","Pb-free
Halide free","Active","Crystal Oscillator Module, PureEdge&trade;, 100 MHz LVPECL, 3.3 V","CMOS","ECL","3.3","100",,"50","0.4","250","400","48","50","52","CLCC-6"
