"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Input Level","Output Level","Outputs Per Channel","VDD Typ (V)","tskew(O-O) Max (ps)","F Max (MHz)","tJitter Max (ps)","Package Type"
"on","时钟产生---零延迟缓冲器","NB2304A","NB2304AI1DG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2304AI1DG","http://www.onsemi.com/pub/Collateral/NB2304A-D.PDF","Zero Delay Buffer, 3.3 V, Quad Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Quad Output","CMOS","CMOS","4","3.3","200","133.3","100","SOIC-8"
"on","时钟产生---零延迟缓冲器","NB2304A","NB2304AI1DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2304AI1DR2G","http://www.onsemi.com/pub/Collateral/NB2304A-D.PDF","Zero Delay Buffer, 3.3 V, Quad Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Quad Output","CMOS","CMOS","4","3.3","200","133.3","100","SOIC-8"
"on","时钟产生---零延迟缓冲器","NB2304A","NB2304AI1HDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2304AI1HDG","http://www.onsemi.com/pub/Collateral/NB2304A-D.PDF","Zero Delay Buffer, 3.3 V, Quad Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Quad Output","CMOS","CMOS","4","3.3","200","133.3","100","SOIC-8"
"on","时钟产生---零延迟缓冲器","NB2304A","NB2304AI1HDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2304AI1HDR2G","http://www.onsemi.com/pub/Collateral/NB2304A-D.PDF","Zero Delay Buffer, 3.3 V, Quad Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Quad Output","CMOS","CMOS","4","3.3","200","133.3","100","SOIC-8"
"on","时钟产生---零延迟缓冲器","NB2304A","NB2304AI2DG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2304AI2DG","http://www.onsemi.com/pub/Collateral/NB2304A-D.PDF","Zero Delay Buffer, 3.3 V, Quad Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Quad Output","CMOS","CMOS","4","3.3","200","133.3","100","SOIC-8"
"on","时钟产生---零延迟缓冲器","NB2304A","NB2304AI2DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2304AI2DR2G","http://www.onsemi.com/pub/Collateral/NB2304A-D.PDF","Zero Delay Buffer, 3.3 V, Quad Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Quad Output","CMOS","CMOS","4","3.3","200","133.3","100","SOIC-8"
"on","时钟产生---零延迟缓冲器","NB2308A","NB2308AI1DG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2308AI1DG","http://www.onsemi.com/pub/Collateral/NB2308A.PDF","Zero Delay Buffer, 3.3 V, Eight Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Eight Output","CMOS","CMOS","8","3.3","200","133.3","100","SOIC-16
TSSOP-16"
"on","时钟产生---零延迟缓冲器","NB2308A","NB2308AI1DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2308AI1DR2G","http://www.onsemi.com/pub/Collateral/NB2308A.PDF","Zero Delay Buffer, 3.3 V, Eight Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Eight Output","CMOS","CMOS","8","3.3","200","133.3","100","SOIC-16
TSSOP-16"
"on","时钟产生---零延迟缓冲器","NB2308A","NB2308AI1DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2308AI1DTG","http://www.onsemi.com/pub/Collateral/NB2308A.PDF","Zero Delay Buffer, 3.3 V, Eight Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Eight Output","CMOS","CMOS","8","3.3","200","133.3","100","SOIC-16
TSSOP-16"
"on","时钟产生---零延迟缓冲器","NB2308A","NB2308AI1DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB2308AI1DTR2G","http://www.onsemi.com/pub/Collateral/NB2308A.PDF","Zero Delay Buffer, 3.3 V, Eight Output","Pb-free
Halide free","Active","Zero Delay Buffer, 3.3 V, Eight Output","CMOS","CMOS","8","3.3","200","133.3","100","SOIC-16
TSSOP-16"
