"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Input/Output Ratio","Channels","Input Level","Output Level","VCC Typ (V)","fMax Typ (MHz)","tJitter Typ (ps)","tskew(OO) Max (ps)","tpd Typ (ns)","Package Type"
"on","时钟及数据分配---多工器及交点开关","MC100E158","MC100E158FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E158FNG","http://www.onsemi.com/pub/Collateral/MC10E158-D.PDF","Multiplexer, 5-Bit, 2:1 ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 5-Bit, 2:1 ECL, 5.0 V","2:1","5","ECL","ECL","5","1100","1","40","0.7","PLCC-28"
"on","时钟及数据分配---多工器及交点开关","MC100E158","MC100E158FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E158FNR2G","http://www.onsemi.com/pub/Collateral/MC10E158-D.PDF","Multiplexer, 5-Bit, 2:1 ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 5-Bit, 2:1 ECL, 5.0 V","2:1","5","ECL","ECL","5","1100","1","40","0.7","PLCC-28"
"on","时钟及数据分配---多工器及交点开关","MC100E164","MC100E164FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E164FNR2G","http://www.onsemi.com/pub/Collateral/MC10E164-D.PDF","Multiplexer, 16:1 ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 16:1 ECL, 5.0 V","16:1","1","ECL","ECL","5","1100","1","50","0.85","PLCC-28"
"on","时钟及数据分配---多工器及交点开关","MC100EL56","MC100EL56DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL56DWG","http://www.onsemi.com/pub/Collateral/MC100EL56-D.PDF","Multiplexer, 2:1 Differential, Dual ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 2:1 Differential, Dual ECL, 5.0 V","2:1","2","ECL
LVDS","ECL","5","1000","1.5","80","0.52","SOIC-20W"
"on","时钟及数据分配---多工器及交点开关","MC100EL56","MC100EL56DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL56DWR2G","http://www.onsemi.com/pub/Collateral/MC100EL56-D.PDF","Multiplexer, 2:1 Differential, Dual ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 2:1 Differential, Dual ECL, 5.0 V","2:1","2","ECL
LVDS","ECL","5","1000","1.5","80","0.52","SOIC-20W"
"on","时钟及数据分配---多工器及交点开关","MC100EL58","MC100EL58DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL58DG","http://www.onsemi.com/pub/Collateral/MC10EL58-D.PDF","Multiplexer, 2:1, ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 2:1, ECL, 5.0 V","2:1","1","ECL","ECL","5","1500","0.9","60","0.23","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---多工器及交点开关","MC100EL58","MC100EL58DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL58DR2G","http://www.onsemi.com/pub/Collateral/MC10EL58-D.PDF","Multiplexer, 2:1, ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 2:1, ECL, 5.0 V","2:1","1","ECL","ECL","5","1500","0.9","60","0.23","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---多工器及交点开关","MC100EL58","MC100EL58DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL58DTG","http://www.onsemi.com/pub/Collateral/MC10EL58-D.PDF","Multiplexer, 2:1, ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 2:1, ECL, 5.0 V","2:1","1","ECL","ECL","5","1500","0.9","60","0.23","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---多工器及交点开关","MC100EL58","MC100EL58DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL58DTR2G","http://www.onsemi.com/pub/Collateral/MC10EL58-D.PDF","Multiplexer, 2:1, ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 2:1, ECL, 5.0 V","2:1","1","ECL","ECL","5","1500","0.9","60","0.23","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---多工器及交点开关","MC100EL58","MC100EL58MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL58MNR4G","http://www.onsemi.com/pub/Collateral/MC10EL58-D.PDF","Multiplexer, 2:1, ECL, 5.0 V","Pb-free
Halide free","Active","Multiplexer, 2:1, ECL, 5.0 V","2:1","1","ECL","ECL","5","1500","0.9","60","0.23","DFN-8
SOIC-8
TSSOP-8"
