"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Input Level","Output Level","VCC Typ (V)","fMax Typ (MHz)","tpd Typ (ns)","tR & tF Max (ps)","Package Type"
"on","时钟及数据分配---运算功能","MC100E016","MC100E016FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E016FNG","http://www.onsemi.com/pub/Collateral/MC10E016-D.PDF","ECL 8-Bit Up Synchronous Binary Counter","Pb-free
Halide free","Active","ECL 8-Bit Up Synchronous Binary Counter","Counter","ECL","ECL","5","900","0.725","700","PLCC-28"
"on","时钟及数据分配---运算功能","MC100E016","MC100E016FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E016FNR2G","http://www.onsemi.com/pub/Collateral/MC10E016-D.PDF","ECL 8-Bit Up Synchronous Binary Counter","Pb-free
Halide free","Active","ECL 8-Bit Up Synchronous Binary Counter","Counter","ECL","ECL","5","900","0.725","700","PLCC-28"
"on","时钟及数据分配---运算功能","MC100E137","MC100E137FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E137FNG","http://www.onsemi.com/pub/Collateral/MC10E137-D.PDF","ECL 8-Bit Ripple Counter","Pb-free
Halide free","Active","ECL 8-Bit Ripple Counter","Counter","ECL","ECL","5","2200","1.7","400","PLCC-28"
"on","时钟及数据分配---运算功能","MC100E137","MC100E137FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E137FNR2G","http://www.onsemi.com/pub/Collateral/MC10E137-D.PDF","ECL 8-Bit Ripple Counter","Pb-free
Halide free","Active","ECL 8-Bit Ripple Counter","Counter","ECL","ECL","5","2200","1.7","400","PLCC-28"
"on","时钟及数据分配---运算功能","MC100EL33","MC100EL33DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL33DG","http://www.onsemi.com/pub/Collateral/MC10EL33-D.PDF","5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·4 Divider","Divider","ECL","ECL","5","4200","0.7","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EL33","MC100EL33DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL33DR2G","http://www.onsemi.com/pub/Collateral/MC10EL33-D.PDF","5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·4 Divider","Divider","ECL","ECL","5","4200","0.7","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EL33","MC100EL33DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL33DTG","http://www.onsemi.com/pub/Collateral/MC10EL33-D.PDF","5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·4 Divider","Divider","ECL","ECL","5","4200","0.7","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EL33","MC100EL33DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL33DTR2G","http://www.onsemi.com/pub/Collateral/MC10EL33-D.PDF","5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·4 Divider","Divider","ECL","ECL","5","4200","0.7","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EL38","MC100EL38DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL38DWR2G","http://www.onsemi.com/pub/Collateral/MC100EL38-D.PDF","5.0 V ECL ÷2, ÷4, ÷8 Clock Generation Chip","Pb-free
Halide free","Active","5.0 V ECL &#247;2, &#247;4, &#247;8 Clock Generation Chip","Divider","ECL","ECL","5","1200","0.9","550","SOIC-20W"
"on","时钟及数据分配---运算功能","MC100EP016A","MC100EP016AFAG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP016AFAG","http://www.onsemi.com/pub/Collateral/MC100EP016A-D.PDF","ECL 8-Bit Synchronous Binary Counter","Pb-free
Halide free","Active","ECL 8-Bit Synchronous Binary Counter","Counter","CML
ECL","ECL","3.3","1400","0.55","320","LQFP-32
QFN-32"
"on","时钟及数据分配---运算功能","MC100EP016A","MC100EP016AFAR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP016AFAR2G","http://www.onsemi.com/pub/Collateral/MC100EP016A-D.PDF","ECL 8-Bit Synchronous Binary Counter","Pb-free
Halide free","Active","ECL 8-Bit Synchronous Binary Counter","Counter","CML
ECL","ECL","3.3","1400","0.55","320","LQFP-32
QFN-32"
"on","时钟及数据分配---运算功能","MC100EP016A","MC100EP016AMNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP016AMNG","http://www.onsemi.com/pub/Collateral/MC100EP016A-D.PDF","ECL 8-Bit Synchronous Binary Counter","Pb-free
Halide free","Active","ECL 8-Bit Synchronous Binary Counter","Counter","CML
ECL","ECL","3.3","1400","0.55","320","LQFP-32
QFN-32"
