"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","Input / Output Ratio","Input Level","Output Level","VCC Typ (V)","tJitterRMS Typ (ps)","tskew(o-o) Max (ps)","tpd Typ (ns)","tR & tF Max (ps)","fmaxClock Typ (MHz)","fmaxData Typ (Mbps)","Package Type"
"on","时钟及数据分配---驱动器和扇出缓冲器","LV5609LP","LV5609LP-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5609LP-E","http://www.onsemi.com/pub/Collateral/LV5609LP-D.PDF","Vertical Clock Driver for CCD","Pb-free","Active","Vertical Clock Driver for CCD","Signal Driver","3","2:1","CMOS","CMOS","3.3",,,"200","800000",,,"VCT-24"
"on","时钟及数据分配---驱动器和扇出缓冲器","LV5609LP","LV5609LP-TE-L-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5609LP-TE-L-E","http://www.onsemi.com/pub/Collateral/LV5609LP-D.PDF","Vertical Clock Driver for CCD","Pb-free","Active","Vertical Clock Driver for CCD","Signal Driver","3","2:1","CMOS","CMOS","3.3",,,"200","800000",,,"VCT-24"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100E111","MC100E111FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E111FNG","http://www.onsemi.com/pub/Collateral/MC10E111-D.PDF","5.0 V ECL 1:9 Differential Clock/Data Fanout Buffer","Pb-free
Halide free","Active","5.0 V ECL 1:9 Differential Clock/Data Fanout Buffer","Buffer","1","1:9","ECL","ECL","5","<1","75","0.53","650","800",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100E111","MC100E111FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E111FNR2G","http://www.onsemi.com/pub/Collateral/MC10E111-D.PDF","5.0 V ECL 1:9 Differential Clock/Data Fanout Buffer","Pb-free
Halide free","Active","5.0 V ECL 1:9 Differential Clock/Data Fanout Buffer","Buffer","1","1:9","ECL","ECL","5","<1","75","0.53","650","800",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100E116","MC100E116FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E116FNG","http://www.onsemi.com/pub/Collateral/MC10E116-D.PDF","ECL Quint Differential Line Receiver","Pb-free
Halide free","Active","ECL Quint Differential Line Receiver","Signal Driver","5","1:1","ECL","ECL","5","<1","50","0.3","625","800",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100E116","MC100E116FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E116FNR2G","http://www.onsemi.com/pub/Collateral/MC10E116-D.PDF","ECL Quint Differential Line Receiver","Pb-free
Halide free","Active","ECL Quint Differential Line Receiver","Signal Driver","5","1:1","ECL","ECL","5","<1","50","0.3","625","800",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100E211","MC100E211FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E211FNG","http://www.onsemi.com/pub/Collateral/MC10E211-D.PDF","5.0 V ECL 1:6 Differential Clock/Data Fanout Buffer","Pb-free
Halide free","Active","5.0 V ECL 1:6 Differential Clock/Data Fanout Buffer","Buffer","1","1:6","ECL","ECL","5","<1","75","0.94","400","700",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100E211","MC100E211FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100E211FNR2G","http://www.onsemi.com/pub/Collateral/MC10E211-D.PDF","5.0 V ECL 1:6 Differential Clock/Data Fanout Buffer","Pb-free
Halide free","Active","5.0 V ECL 1:6 Differential Clock/Data Fanout Buffer","Buffer","1","1:6","ECL","ECL","5","<1","75","0.94","400","700",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL11","MC100EL11DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL11DG","http://www.onsemi.com/pub/Collateral/MC10EL11-D.PDF","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Buffer","1","1:2","ECL","ECL","5","0.6","20","0.265","350","1500",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL11","MC100EL11DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL11DR2G","http://www.onsemi.com/pub/Collateral/MC10EL11-D.PDF","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Buffer","1","1:2","ECL","ECL","5","0.6","20","0.265","350","1500",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL11","MC100EL11DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL11DTG","http://www.onsemi.com/pub/Collateral/MC10EL11-D.PDF","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Buffer","1","1:2","ECL","ECL","5","0.6","20","0.265","350","1500",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL11","MC100EL11DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL11DTR2G","http://www.onsemi.com/pub/Collateral/MC10EL11-D.PDF","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:2 Differential, ECL, 5.0 V","Buffer","1","1:2","ECL","ECL","5","0.6","20","0.265","350","1500",,"SOIC-8
TSSOP-8"
