"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","IT(RMS) Max (A)","VDRM Min (V)","ITSM Max (A)","IGT Max (mA)","VGT Max (V)","Package Type"
"on","晶闸管---可控硅整流管 (SCR)","2N639X","2N6394G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6394G","http://www.onsemi.com/pub/Collateral/2N6394-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","12","50
100
400
800","100","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N639X","2N6394TG","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6394TG","http://www.onsemi.com/pub/Collateral/2N6394-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","12","50
100
400
800","100","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N639X","2N6395G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6395G","http://www.onsemi.com/pub/Collateral/2N6394-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","12","50
100
400
800","100","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N639X","2N6397G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6397G","http://www.onsemi.com/pub/Collateral/2N6394-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","12","50
100
400
800","100","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N639X","2N6397TG","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6397TG","http://www.onsemi.com/pub/Collateral/2N6394-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","12","50
100
400
800","100","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N639X","2N6399G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6399G","http://www.onsemi.com/pub/Collateral/2N6394-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","12","50
100
400
800","100","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N639X","2N6399TG","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6399TG","http://www.onsemi.com/pub/Collateral/2N6394-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","12","50
100
400
800","100","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N650X","2N6504G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6504G","http://www.onsemi.com/pub/Collateral/2N6504-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","25","50
100
400
600
800","300","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N650X","2N6505G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6505G","http://www.onsemi.com/pub/Collateral/2N6504-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","25","50
100
400
600
800","300","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N650X","2N6505TG","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6505TG","http://www.onsemi.com/pub/Collateral/2N6504-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","25","50
100
400
600
800","300","30","1.5","TO-220-3"
"on","晶闸管---可控硅整流管 (SCR)","2N650X","2N6507G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6507G","http://www.onsemi.com/pub/Collateral/2N6504-D.PDF","Silicon Controlled Rectifier - SCR","Pb-free","Active","Silicon Controlled Rectifier - SCR","25","50
100
400
600
800","300","30","1.5","TO-220-3"
