"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---多路转换器","MC14028B","MC14028BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14028BDG","http://www.onsemi.com/pub/Collateral/MC14028B-D.PDF","BCD-to-Decimal Decoder","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","BCD-to-Decimal Decoder","1","3","18","260","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC14028B","MC14028BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14028BDR2G","http://www.onsemi.com/pub/Collateral/MC14028B-D.PDF","BCD-to-Decimal Decoder","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","BCD-to-Decimal Decoder","1","3","18","260","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC14028B","NLV14028BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14028BDR2G","http://www.onsemi.com/pub/Collateral/MC14028B-D.PDF","BCD-to-Decimal Decoder","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","BCD-to-Decimal Decoder","1","3","18","260","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC14514B","MC14514BDWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14514BDWR2G","http://www.onsemi.com/pub/Collateral/MC14514B-D.PDF","4-Bit Transparent Latch/4-to-16 Line Decoder","Pb-free
Halide free","Active","4-Bit Transparent Latch/4-to-16 Line Decoder","1","3","18","450","2.25","SOIC-24"
"on","标准逻辑---多路转换器","MC14532B","MC14532BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14532BDG","http://www.onsemi.com/pub/Collateral/MC14532B-D.PDF","8-Bit Priority Encoder","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Priority Encoder","1","3","18","220","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC14532B","MC14532BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14532BDR2G","http://www.onsemi.com/pub/Collateral/MC14532B-D.PDF","8-Bit Priority Encoder","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Priority Encoder","1","3","18","220","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC14532B","NLV14532BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14532BDR2G","http://www.onsemi.com/pub/Collateral/MC14532B-D.PDF","8-Bit Priority Encoder","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Priority Encoder","1","3","18","220","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC14556B","MC14556BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14556BDR2G","http://www.onsemi.com/pub/Collateral/MC14555B-D.PDF","Dual Binary to 1-of-4 Decoder/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Dual Binary to 1-of-4 Decoder/Demultiplexer","2","3","18","190","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC14556B","NLV14556BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14556BDR2G","http://www.onsemi.com/pub/Collateral/MC14555B-D.PDF","Dual Binary to 1-of-4 Decoder/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Dual Binary to 1-of-4 Decoder/Demultiplexer","2","3","18","190","2.25","SOIC-16"
"on","标准逻辑---多路转换器","MC74AC139","MC74AC139DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC139DG","http://www.onsemi.com/pub/Collateral/MC74AC139-D.PDF","Dual 1-of-4 Decoder/Demultiplexer","Pb-free
Halide free","Active","Dual 1-of-4 Decoder/Demultiplexer","2","2","6","8.5","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74AC139","MC74AC139DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC139DR2G","http://www.onsemi.com/pub/Collateral/MC74AC139-D.PDF","Dual 1-of-4 Decoder/Demultiplexer","Pb-free
Halide free","Active","Dual 1-of-4 Decoder/Demultiplexer","2","2","6","8.5","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74AC139","MC74AC139DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC139DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC139-D.PDF","Dual 1-of-4 Decoder/Demultiplexer","Pb-free
Halide free","Active","Dual 1-of-4 Decoder/Demultiplexer","2","2","6","8.5","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74AC253","MC74AC253DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC253DR2G","http://www.onsemi.com/pub/Collateral/MC74AC253-D.PDF","Dual 4-Input Multiplexer with 3-State Outputs","Pb-free
Halide free","Active","Dual 4-Input Multiplexer with 3-State Outputs","2","2","6","11.5","24","SOIC-16"
"on","标准逻辑---多路转换器","MC74ACT138","MC74ACT138DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT138DG","http://www.onsemi.com/pub/Collateral/MC74AC138-D.PDF","1-of-8 Decoder/Demultiplexer","Pb-free
Halide free","Active","1-of-8 Decoder/Demultiplexer","1","4.5","5.5","10.5","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74ACT138","MC74ACT138DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT138DR2G","http://www.onsemi.com/pub/Collateral/MC74AC138-D.PDF","1-of-8 Decoder/Demultiplexer","Pb-free
Halide free","Active","1-of-8 Decoder/Demultiplexer","1","4.5","5.5","10.5","24","SOIC-16
TSSOP-16"
