"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Output","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---收发器","74LVC245","74LVC245ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC245ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC245A-D.PDF","Octal Transceiver, CMOS, Low Voltage","Pb-free
Halide free","ActiveNEW","Octal Transceiver, CMOS, Low Voltage","8","3-State","1.2","3.6","8","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---收发器","74LVC245","74LVC245ADWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC245ADWR2G","http://www.onsemi.com/pub/Collateral/74LVC245A-D.PDF","Octal Transceiver, CMOS, Low Voltage","Pb-free
Halide free","ActiveNEW","Octal Transceiver, CMOS, Low Voltage","8","3-State","1.2","3.6","8","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---收发器","FST3126","FST3126DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=FST3126DR2G","http://www.onsemi.com/pub/Collateral/74FST3126-D.PDF","4-bit Bus Switch","Pb-free
Halide free","Active","4-bit Bus Switch","4","CMOS","4","5.5","0.25","128","SOIC-14
TSSOP-14"
"on","标准逻辑---收发器","FST3126","FST3126DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=FST3126DTR2G","http://www.onsemi.com/pub/Collateral/74FST3126-D.PDF","4-bit Bus Switch","Pb-free
Halide free","Active","4-bit Bus Switch","4","CMOS","4","5.5","0.25","128","SOIC-14
TSSOP-14"
"on","标准逻辑---收发器","MC74AC646","MC74AC646DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC646DWG","http://www.onsemi.com/pub/Collateral/MC74AC646-D.PDF","Octal Bus Transceiver Register with 3-State Outputs (Non-inverting)","Pb-free
Halide free","Active","Octal Bus Transceiver Register with 3-State Outputs (Non-inverting)","8","3-State","2","6","12","24","SOIC-24"
"on","标准逻辑---收发器","MC74AC646","MC74AC646DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC646DWR2G","http://www.onsemi.com/pub/Collateral/MC74AC646-D.PDF","Octal Bus Transceiver Register with 3-State Outputs (Non-inverting)","Pb-free
Halide free","Active","Octal Bus Transceiver Register with 3-State Outputs (Non-inverting)","8","3-State","2","6","12","24","SOIC-24"
"on","标准逻辑---收发器","MC74ACT245","MC74ACT245DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT245DTG","http://www.onsemi.com/pub/Collateral/MC74AC245-D.PDF","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","Pb-free
Halide free","Active","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","1","3-State","4.5","5.5","8","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---收发器","MC74ACT245","MC74ACT245DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT245DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC245-D.PDF","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","Pb-free
Halide free","Active","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","1","3-State","4.5","5.5","8","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---收发器","MC74ACT245","MC74ACT245DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT245DWG","http://www.onsemi.com/pub/Collateral/MC74AC245-D.PDF","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","Pb-free
Halide free","Active","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","1","3-State","4.5","5.5","8","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---收发器","MC74ACT245","MC74ACT245DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT245DWR2G","http://www.onsemi.com/pub/Collateral/MC74AC245-D.PDF","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","Pb-free
Halide free","Active","Octal Bidirectional Transceiver with 3-State Inputs/Outputs","1","3-State","4.5","5.5","8","24","SOIC-20W
TSSOP-20"
